"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","14582","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.",,,"","497","","Victor Jr., V.",2013,1,10,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15209","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.","Geovane S. Siqueira",2013,"","3","","Correia, V.M.",2013,10,8,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Casca dura","Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","UEFS","HUEFS","193465","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.",,,"","338","","Morokawa, R.",2011,4,15,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Trilha do Flamengo. Km4",-19,-40,,"Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB00788869","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.",,,"","338","","R. Morokawa; et al",2011,4,15,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Trilha do Flamengo, km 4.",-19,-40,"Árvore, ca. 5m alt. Frutos imaturos","Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","114966","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.",,,"","338","","Morokawa, R.",2011,4,15,"Brazil","Espírito Santo","Linhares",,,,,"Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB00576029","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.",,,"","616","","J.E. Meireles; C. Fraga, J. Neri, M. Savedra, G. Siqueira",2009,6,23,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce. Av. Flamengo. Mussununga.",,,"Arvore de 10 m. Ramos meio flexuosos. Folhas nitidas. Frutos passados, marrons, coletados no chao. ~DNA ~ seco em alcool","Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14078","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.","Geovane S. Siqueira",2012,"","4760","","J.R. Stehmann",2007,2,8,"Brazil","Es","LINHARES","Curso de Taxonomia UFMG",-19.1512,-40.070422,"frutos verdes, arvore de 7m <ll>dwc_commonname:</ll> Casca dura","Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB00492244","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.","Liuth, H.",,"","4598","","C.Farney; R.D.Ribeiro, L.F.T.Menezes",2007,3,14,"Brazil","Espírito Santo","São Mateus","Bairro Liberdade, Restinga.",-18.889444,-39.750278,"Arvoreta; 4 m; folhas discolores; frutos imaturos verdes.","Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","9507","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.","Domingos A. Folli",2006,"","218","","Siqueira, G.S.",2006,4,19,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Casca dura","Humiriastrum mussungense Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","11472","Humiriastrum mussungense","","Humiriaceae","Humiriastrum","mussungense","","Cuatrec.","Rodrigues, C.D.N.; Lorenzo, L.",2006,"","519","","Ferreira-Pinho, M.A.",2006,4,5,"Brazil","Es","LINHARES","Taxonomia de Campo USP, UNICAMP, ESAlq",,,"Árvore, 8m. Fruto imaturo verde. <ll>dwc_commonname:</ll> Casca dura","Humiriastrum mussungense Cuatrec.","",,"GBIF"
