"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01420300","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.",,,"","3823","","C.N. Fraga; Santos, P.M.L.A. & J. Kulkamp",2019,7,22,"Brazil","Espírito Santo","Linhares","Areias Pleistocênicas ao fundo do Vale do Suruaca. Restinga.",-19.180833,-39.881389,"Arvoreta, ca. 3m. Folhas verde brilhosas. Flores com sépalas verdes pétalas brancas e centro amarelado","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB01348520","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","S.S. Silva",2015,"","622","","S.S. Silva; L.A. Dambrós; E.C. Freire; M.M. Santos",2015,5,19,"Brazil","Bahia","Lençóis","Projeto Sistematização IBGE. Folha: SD-24-V-A. Ponto 24",-12.486389,-41.343611,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15013","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Geovane S. Siqueira",2014,"","2027","","Amorim, B.S.",2014,9,3,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Umiri-açú","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","135143","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","G. T. Prance",,"","110","","Melito, M.",2012,4,9,"Brazil","Bahia","UNA","REBIO de Una, trilha da cerca, lado esquerdo",-15.159722,-39.054722,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB00788873","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","A. Quinet",,"","110","","M. Melito; J.L. Paixão; L. Alberti",2012,4,9,"Brazil","Bahia","Una","REBIO de Una, trilha da cerca, lado esquerdo.",-15.159722,-39.054722,"Arbórea, ca. 15m. Folhas discolores, coriáceas. Nervura primária na face abaxial verde-amarelada, na face adaxial nervura contrasta com a coloração verde-bandeira da lâmina foliar. Inflorescência verde, botões florais verdes. Fruto imaturo","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB00713467","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Haroldo C. de Lima",,"","7523","","Haroldo C. de Lima; Rogerio Gribel & Maristerra Lemes",2012,8,6,"Brazil","Espírito Santo","Linhares","Reserva Natural do Vale. Estrada da Gavea. Campo nativo e mussununga.",-19.21,-39.961944,"Arbusto ou arvoreta com 1-4 m alt. Frutos castanho escuro. Muito frequente. Material para banco de DNA. Fotos RG.","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","UEFS","HUEFS","193870","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.",,,"","570","","Meireles, J.E.",2011,4,18,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale. Estrada da Boleira. Nativo da Gávea.",-19.209444,-39.965278,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB00779946","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","R.P. Naves",2011,"","570","","J. Meirelles; et al",2011,4,18,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale. Estrada da Boleira. Nativo da Gávea.",-19.209444,-39.965278,"Arvoreta, ca. 4m alt.; frutos verdes, drupa","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","115304","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Naves, R.P",,"","570","","Meirelles, J.",2011,4,18,"Brazil","Espírito Santo","Linhares",,,,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","UFES","VIES","12011","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.",,,"","149","","Lopes, L.C.M.",2010,2,26,"Brazil","Espírito Santo","Conceição da Barra","Itaúnas.",,,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","13523","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Geovane S. Siqueira",2011,"","59","","Ferreira, V.B.R.",2010,5,18,"Brazil","Es","LINHARES","C.N.Roxinho (graminóide)",,,"<ll>dwc_commonname:</ll> Umiri-açú","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","13552","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Geovane S. Siqueira",2011,"","124","","Ferreira, V.B.R.",2010,10,13,"Brazil","Es","LINHARES","C.N.Gávea (Graminóide denso)",,,"<ll>dwc_commonname:</ll> Umiri-açú","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","78156","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","W. Nascimento",,"","5456","","M. L. Guedes",2009,1,1,"Brazil","Bahia","PRADO","#?#Próximo a cidade.",-17.266667,-39.183333,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","UFES","VIES","27134","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.",,,"","162","","Monteiro, M.M.; Coelho, R.; Oliveira, A.G. & Lopes, L.C.M.",2009,5,3,"Brazil","Espírito Santo","Conceição da Barra","Itaúnas.",,,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12470","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Geovane S. Siqueira",2009,"","9872","","Maas, P.J.M.",2009,5,9,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Umiri-açú","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"",,"Botany","L.3812639","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.",,,"",,"","Maas PJM; et al.",2009,5,9,"Brazil",,,"Brazil, Espírito Santo, Linhares, Reserva do Vale de Rio Doce, Estrada Aceiro Paraju.",-19.133333,-39.883333,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB00576026","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.",,,"","613","","J.E. Meireles; C. Fraga, J. Neri, M. Savedra, G. Siqueira",2009,6,23,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale do Rio Doce. Nativo da Gavea, Km 5.",,,"Arvore de 4 m. Casca cinza. Folhas discolores. Frutos imaturos verdes. ~DNA ~ seco em alcool","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","NY","NY","1039298","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.",,,"","613","","J. E. Meireles",2009,6,23,"Brazil","Espírito Santo",,"Reserva Natural da Vale do Rio Doce. Nativo da Gavea, km 5.",-19.138199,-39.961174,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","UFES","VIES","27173","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Liuth, H.",2012,"","35","","Lopes, L.C.M.",2009,7,6,"Brazil","Espírito Santo","Conceição da Barra","Itaúnas.",,,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","108136","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","G. T. Prance",,"","5085","","L. A. Mattos-Silva",2009,8,21,"Brazil","Bahia","UNA","Reserva Biológica de Una (REBIO) - MMA/CMBIO. Ramal com entrada no KM 46 Rod. BA-001 (trecho Ilhéus/Una). Coletas ao longo da picada do Rumo à esquerda do portão d eentrada.",,,"<ll>dwc_commonname:</ll>","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","UFES","VIES","27221","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.",,,"","540","","Giaretta, A.O.; Monteiro, M.M. & Lopes, L.C.M.",2009,8,1,"Brazil","Espírito Santo","Conceição da Barra","Itaúnas.",,,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","UFES","VIES","27053","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Liuth, H.",2012,"","168","","Giaretta, A.O.; Menezes, L.F.T.; Souza, M.C.; Monteiro, R.F. & Saavedra, M.M.",2008,1,10,"Brazil","Espírito Santo","São Mateus",,,,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","123443","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Sem Informação",,"","5287","","J. G. Jardim",2008,6,25,"Brazil","Bahia","CANAVIEIRAS","Rodovia para Santa Luzia, ca. 15Km do entroncamento, margem da rodovia.",,,,"Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","126202","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Sem Informação",,"","5422","","Jardim, J. G.",2008,10,17,"Brazil","Bahia","CANAVIEIRAS","Rod. BA001 Una/Canavieiras ca. 2km S do povoado de Oiticica.",-15.418889,-38.994444,"Foto.","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","JBRJ","RB","RB00994445","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","G.T. Prance",,"","492","","H.M. Dias; J.B.G. Jesus & J.A.S. Serafim",2008,11,5,"Brazil","Bahia","Caravelas","Extremo Sul da Bahia. Rio do Cuído, complexo estuarino Caravelas - Nova Viçosa.",-17.798055,-39.398055,"Arbusto escandente, com folhas simples e botões florais abundantes, amarelados. Ocasional na área","Vantanea bahiaensis Cuatrec.","",,"GBIF"
"","Reserva Natural Vale","CVRD","13963","Vantanea bahiaensis","","Humiriaceae","Vantanea","bahiaensis","","Cuatrec.","Mota, N.F.O.",,"","4643","","J.R. Stehmann",2007,2,7,"Brazil","Es","LINHARES","Curso de Taxonomia UFMG",-19.209417,-39.962778,"Arbusto de aprox 2,5m em campina. Frutos imaturos verdes. <ll>dwc_commonname:</ll> Umiri-açú","Vantanea bahiaensis Cuatrec.","",,"GBIF"
