"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","42532","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins",,,"","663","","Nepomuceno, A.; Sossai, B.G.; Mello, B.N.; Mendes, B.; Miranda, V.S.; Pena, N.T.L.; Oliveira, R.M.; Nunes, P.M.; Dias, L.D.F.",2019,2,7,"Brazil","Espírito Santo","Conceição da Barra","Trilha do Paliteiro (borda). Flona do Rio Preto",,,,"Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","UEFS","HUEFS","249973","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins",,,"","168","","Martins, K.",2018,9,26,"Brazil","Bahia","Itacaré","Trilha Jeribucaçu.",,,,"Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","22583","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","H.C.Gomes",2018,"","168","","K. Martins",2018,9,26,"Brazil","Bahia","Itacaré","trilha Jeribucaçu",,,"Árvore ca. 8,5 m alt.; caule nervurado, lembrando o caule da candeia, porém mais claro; fruto marrom esverdeado, lembra a fruta da era do gelo; látex avermelhado-alaranjado. Frequente. (material banhado no álcool)","Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","128576","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","Guedes, ML",2017,"","25815","","Guedes, ML; Barros, JS da H; Sales, C; Barreto, TS; et al.",2017,6,29,"Brazil","Bahia","Uruçuca","Serra Grande",-14.583333,-39.283333,"Folhas cartáceas, ferrugíneas. Inflorescência com flores de cálice ferrugíneo , pétalas tomentosas alvas.; em estádio Secundário","Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","UESB","HUESB","13490","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","Guedes, M.L.",2017,"","25815","","Guedes, M.L.; Barros, JS da H; Sales, C.; Barreto, T.S.; Barros, JS da H; Sales, C.; Barreto, T.S.",2017,6,29,"Brazil","Bahia","Uruçuca","Serra Grande",-14.583333,-39.283333,"Árvore. Folha cartácea, ferrugíneas. Inflorescência com flores de cálice ferrugíneo, pétalas tomentosa alvas.; Floresta Ombrófila em estágio Secundário","Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","UEFS","HUEFS","244677","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","L.C.Marinho",2018,"","1098","","Marinho, L.C.",2015,11,28,"Brazil","Bahia","Camamu","Barcelos do Sul. Restinga arbóreo-arbustiva, solo branco. Área em direção ao rio.",-14.059167,-39.007222,"Restinga","Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","UFES","VIES","37271","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","M.V. Martins & G.H. Shimizu",2017,"","230","","Souza, W.O.; Machado, J.O. & Alves-Araújo, A.",2014,2,12,"Brazil","Espírito Santo","Conceição da Barra","Parque Estadual de Itaúnas.",,,,"Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","Reserva Natural Vale","CVRD","15175","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","Lucas C. Marinho",2018,"","1030","","Siqueira, G.S. & Lourenço, R.T.",2014,11,23,"Brazil","Es","SÃO MATEUS",,,,"Proximo a BR 101 em grota bem hidromorfica <ll>dwc_commonname:</ll> Copiã vermelho","Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","JBRJ","RB","RB01357203","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","R. Asprino",,"","153","","Paulino, R. C.",2014,12,4,"Brazil","Bahia","Itabela","Conglomerado BA_1391-47-4",-16.575,-39.553333,"Árvore, exsudado não observado","Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","151164","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","R. Asprino",,"","153","","Paulino, R.C.",2014,12,4,"Brazil","Bahia","ITABELA","Conglomerado BA_1391-4-7-4",-16.575,-39.553333,"<ll>dwc_commonname:</ll>","Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
"","UEFS","HUEFS","183146","Vismia atlantica","","Hypericaceae","Vismia","atlantica","","L. Marinho & M.V. Martins","L.C.Marinho",2016,"","710","","Matos, E.N.de",2011,10,30,"Brazil","Bahia","Valença","Estrada para Maricultura, após aeroporto.",-13.275,-39.994722,"Floresta.","Vismia atlantica L. Marinho & M.V. Martins","",,"GBIF"
