"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","193849","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.","Martins, MV",2017,"","388","","Martins, MV; Shimizu, GH; Mello, AT; Alencar, AC",2016,12,13,"Brazil","Amazonas","Manaus","Reserva Ducke, estrada principal a base da reserva, a direita sentido guarita da entrada",-2.924222,-59.974306,"Árvore 6m, exsudato alaranjado; caule fino; ramos indumentado; flores velhas e frutos jovens","Vismia cauliflora A.C.Sm.","",,"GBIF"
"","UEFS","HUEFS","200631","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.","L.C.Marinho",2015,"","15783","","Pereira-Silva, G.",2010,10,25,"Brazil","Rondônia","Porto Velho","Ramal Arrependido.",-9.325,-64.688889,"Floresta Ombrófila Mista (FOM).","Vismia cauliflora A.C.Sm.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","112929","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.","Martins, M.V.",2016,"","259","","Coelho, R.",2010,12,7,"Brazil","Amazonas","Manaus",,,,,"Vismia cauliflora A.C.Sm.","",,"GBIF"
"","Universidade Federal de Mato Grosso","CNMT","16","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.",,,"",,"","Cavalheiro, L.; Ongaro-Pinheiro, M.H.; Borges, F.R.",2007,9,5,"Brazil","Mato Grosso","Sinop","Fragmento Urbano. Parque Florestal Municipal.",-11.836667,-55.501667,"Cor do fruto ou esporos creme.","Vismia cauliflora A.C.Sm.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","212450","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.","Souza, M.C. de",2001,"","132","","Mike Hopkins",2001,11,16,"Brazil","Amazonas",,"Km 64, Reserva Florestal Walter Egler. Vertente.",,,,"Vismia cauliflora A.C.Sm.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","191343","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.","Bittrich, V.",1995,"","421","","Mike Hopkins",1997,9,19,"Brazil","Amazonas",,"Reserva Florestal Adolfo Ducke, Próximo Igarapé do Barro Branco, a montante do alojamento.",-2.883333,-59.97,,"Vismia cauliflora A.C.Sm.","",,"GBIF"
"","UNICAMP","UEC","105286","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.",,,"","421","","Souza, MAD",1997,9,19,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke - Manaus / Itaco, Manaus-Itacoatiara, km 26. Prox. Ao campo de futebol.",-2.883333,-59.966667,"Floresta de vertente. Arvoreta. Solo areno-argiloso, sub-bosque, 6m de altura, 3cm DAP. Tronco circular de base reta. Ritidoma marrom-claro, escamoso, lâminas finas irregulares, esfarelam na mão. Ao corte casca morta fina, casca viva","Vismia cauliflora A.C.Sm.","",,"GBIF"
"","MBM","MBM","243231","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.","Bittrich, V",,"","421","","Souza, MAD",1997,9,19,"Brazil","Amazonas","Manaus","Reserva Florestal Ducke, próximo ao Igarapaé Barro Branco",,,,"Vismia cauliflora A.C.Sm.","",,"GBIF"
"","NY","NY","01417262","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.","V. Bittrich",1995,"","421","","M. A. D. de Souza",1997,9,19,"Brazil","Amazonas",,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Igarapé do Barro Branco a montante do alojamento.",,,,"Vismia cauliflora A.C.Sm.","",,"GBIF"
"",,"Botany","U.1217923","Vismia cauliflora","","Hypericaceae","Vismia","cauliflora","","A.C.Sm.","Bittrich V",,"",,"","Souza MAD de",1997,9,19,"Brazil","Amazonas",,,-2.883333,-59.966667,,"Vismia cauliflora A.C.Sm.","",,"GBIF"
