"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","197310","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","Martins, MV",2017,"","396","","Martins, MV; Shimizu, GH; Lima, LV",2017,2,7,"Brazil","Minas Gerais","Lima Duarte","Estrada para cachoeira arco-íris",-21.895611,-43.874222,"Árvore 3m, exsudato alaranjado; pontuações nas folhas pouco evidentes; frutos e resto de flores","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","UNICAMP","UEC","197311","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","Martins, MV",2017,"","395","","Martins, MV; Shimizu, GH; Lima, LV",2017,2,6,"Brazil","Minas Gerais","Juiz de Fora","Universidade Federal de Juiz de Fora, vegetação atras da nutrição",,,"Arbusto 2m, exsudato alaranjado; frutos","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","UNICAMP","UEC","197304","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","Martins, MV",2017,"","404","","Martins, MV; Shimizu, GH; Schwartsburd, PB; Smith, N; Miranda, CV",2017,2,9,"Brazil","Minas Gerais","Viçosa","Mata do Paraíso, trilha do Aceiro",-20.806944,-42.853361,"Árvore 2,5m, exsudato alaranjado; frutos","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","UNICAMP","UEC","197307","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","Martins, MV",2017,"","405","","Martins, MV; Shimizu, GH; Schwartsburd, PB; Smith, N; Miranda, CV",2017,2,9,"Brazil","Minas Gerais","Viçosa","Mata do Paraíso, trilha do Aceiro",-20.805444,-42.859278,"Árvore 2m, exsudato alaranjado; frutos","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","UNICAMP","UEC","197302","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","Martins, MV",2017,"","409","","Martins, MV; Shimizu, GH",2017,2,11,"Brazil","Minas Gerais","Serra do Cipó","APA Morro da Pedreira, margem da BR 242",-19.227722,-43.483278,"Árvore 3,5m, exsudato alaranjado; frutos verdes","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","UNICAMP","UEC","197308","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","Martins, MV",2017,"","397","","Martins, MV; Shimizu, GH; Lima, LV",2017,2,7,"Brazil","Minas Gerais","Lima Duarte","Estrada para cachoeira arco-íris",-21.897139,-43.87425,"Árvore 3,5m, exsudato alaranjado; frutos avermelhados","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","UNICAMP","UEC","197313","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","Martins, MV",2017,"","406","","Martins, MV; Shimizu, GH; Schwartsburd, PB; Smith, N; Miranda, CV",2017,2,9,"Brazil","Minas Gerais","Viçosa","Universidade Federal de Viçosa, estrada da horta velha, no barranco",-20.764889,-42.856278,"Árvore 1,5m, exsudato alaranjado; uma flor e frutos","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","UEFS","HUEFS","205260","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","L.C.Marinho",2017,"","1125","","Snak, C.",2014,2,21,"Brazil","Minas Gerais","Almenara","Região de Limoeiro, próximo a Pedra Grande, acesso pela MG 406, de Almenara para Pedra Azul.",-16.098333,-40.843333,,"Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","JBRJ","RB","RB00870755","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.","M.V.Martins & G.H.Schimizu",,"","562","","Uller, H. F.; Terra, G.; Naves, R. P. & Guimarães,  R. F",2013,11,6,"Brazil","Rio de Janeiro","Bom Jardim","Conglomerado 171-2-2-7-R. UTM E(778496.20m) N(7549202.62m) Fuso do GPS (23K).",,,"Arbusto com látex alaranjado, pouco abundante. Flor creme.","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","185569","Vismia magnoliifolia","","Hypericaceae","Vismia","magnoliifolia","","Cham. & Schltdl.",,2019,"","5475","","Tameirão Neto, E; Vidal, CV",2013,11,25,"Brazil","Minas Gerais","Conceição do Mato Dentro",,-19.081739,-43.357261,"Arbóreo; Floração; Altura 3m; Floresta estacional semidecidual candeial","Vismia magnoliifolia Cham. & Schltdl.","",,"GBIF"
