"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","193844","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","Martins, MV",2017,"","394","","Martins, MV; Uemoto, KAV",2017,1,12,"Brazil","São Paulo","Jundiaí","Serra do Japi, trilha para mirante, na bifurcação, proximo a antena",-23.232417,-46.94025,"Arbusto 3m, exsudato alaranjado; botões e flores","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","UNICAMP","UEC","193831","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","Martins, MV",2017,"","401","","Martins, MV; Shimizu, GH; Lima, LV",2017,2,7,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, lado oposto da loja de souvenir",-21.712444,-43.897111,"Arbusto 1,5 m, exsudato alaranjado; poucas flores abertas, inicio de frutificação, pétalas brancas com listras negras","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","UNICAMP","UEC","193830","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","Martins, MV",2017,"","400","","Martins, MV; Shimizu, GH; Lima, LV",2017,2,7,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, lado oposto do centro de visitantes Saint-Hilaire",-21.712417,-43.897083,"Arbusto 70 cm, exsudato alaranjado; flores abundantes, pétalas brancas com listras negras","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","IAC","IAC","37026","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","T.P. Pires",2013,"","4","","T.P. Pires",2013,2,19,"Brazil","São Paulo","Jundiaí","Reserva Biológica da Serra do Japi",-23.236576,-46.932987,"Projeto de Coleta de Sementes do Jardim Botânico de Jundiaí, coordenadas UTM: 23K 302265, 7429019","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","130296","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","Souza, V.C.",2013,"","35499","","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",2013,3,22,"Brazil","São Paulo","Queluz","Fragmento 41 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.",-22.5087,-44.8187,,"Vismia micrantha A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB00786979","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","M.V.Martins & G.H.Schimizu",,"","238","","A.M. Moraes",2012,1,31,"Brazil","Minas Gerais","Espera Feliz","Reserva Particular do Patrimônio Natural Meu Reino Encantado.",,,"Árvore 20m. Inflorescência racimosa. Flores fechadas, cheiro adocicado. Folhas opostas espiraladas","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","149110","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.",,2019,"","144","","Mansur, T; Vidal, CV",2011,1,20,"Brazil","Minas Gerais","Santa Bárbara","Serra Gandarela",-20.032961,-49.679122,"Projeto Mina Apolo.; Arbóreo (3,0m).; Transição entre o campo rupestre sobre canga couraçada e a floresta estacional semidecidual.","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB00758262","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","M.V.Martins & G.H.Schimizu",,"","171","","T.A. Batista; C. Moraes; C. Boechat",2011,1,19,"Brazil","Minas Gerais","Itamonte","Hotel Casa Alpina, Beira da cachoeira próxima ao hotel.",-22.35,-44.783333,"Árvore com 6m de altura. Folhas com a face abaxial verde limão, pilosos ferrugíneos e com presença de pontos translúcidos pretos. Pecíolos, caule e gemas também cobertos por pilosidade ferrugínea. Botões florais verdes. Ritidoma descama em placas. Casca externa alaranjada e interna vege com odor que exsudam resina laranja","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","57895","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","G.H. Shimizu; M.V. Martins",2017,"","11","","R.M.Mello; L.C.Pereira; A.S. Rodrigues",2011,5,28,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual de Ibitipoca",,,"Arvoreta, folhas opostas, simples, de borda lisa, lanceolada. Frutos pequenos, do tipo baga, verdes e maduros, estes de coloração marrom escuro. &nf;Coletado na estrada a caminho da Mata Grande, próximo a bifurcação para a ponte de pedra / lago dos espelho","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB00674254","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","M.V.Martins & G.H.Schimizu",,"","169","","D.P. Saraiva; R.C. Forzza; R.S. Ribeiro; L.A. Silva & J.L. Silva",2011,5,18,"Brazil","Minas Gerais","Ouro Branco","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",-20.498611,-43.708889,"Arbusto de 1,5-2m. Na beira da estrada. Folhas verdes. Frutos verdes.","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","JBRJ","RB","RB00758261","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","M.V.Martins & G.H.Schimizu",,"","409","","T.A. Batista; A.R. Naves",2011,8,4,"Brazil","Minas Gerais","Itamonte","Hotel Casa Alpina, Beira da estrada, próxima a estrada que dá para a outra portaria da fazenda.",-22.35,-44.783333,"Árvore com 4m de altura. Folhas semidiscolores com nervuras na face abaxial descamantes e pilosas ferrugíneas. Pecíolo acinzentado, caule, cascas e folhas com odor característicos. Folhas e pecíolos pilosos. Frutos verdes alaranjados com pintas pretas.No interior dos frutos e do caule exsuda uma seiva alaranjada","Vismia micrantha A.St.-Hil.","",,"GBIF"
"","USP","SPF","196707","Vismia micrantha","","Hypericaceae","Vismia","micrantha","","A.St.-Hil.","Shimizu, GH; Martins, MV",2017,"","3270","","Mello-Silva, R",2010,1,27,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca",-21.706722,-43.89125,,"Vismia micrantha A.St.-Hil.","",,"GBIF"
