"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","36957","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.",,,"","JAC 475","","Gurtler, J.; Dutra, S.C.",2018,2,21,"Brazil","Espírito Santo","Nova Venécia","Fazenda Santa Rita. Ao pé da pedra da torre (P7).",-18.782222,-40.439444,,"Lacistema serrulatum Mart.","",,"GBIF"
"","JBRJ","RB","RB01349057","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","M.A. da Silva",2015,"","8269","","M.A. da Silva; B.T.M. Goes; D. Alvarenga; L.L. Guimarães",2015,8,26,"Brazil","Goiás","Padre Bernardo","Estrada de terra na margem da BR-251. Córrego Cana Brava. Folha: SD-22-Z",-15.484167,-48.348889,,"Lacistema serrulatum Mart.","",,"GBIF"
"","UFG","UFG","50788","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","Aparecida da Silva, M.",2015,"","8269","","Aparecida da Silva, M.",2015,8,26,"Brazil","Goiás","Padre Barnardo",,-15,-48,"Arvoreta ramificada ca. 6 m altura. Inflorescência esverdeada. Folhas discolores verdes.","Lacistema serrulatum Mart.","",,"GBIF"
"","JBRJ","RB","RB01237803","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","R. Moura",,"","389","","Gaui­, T. D.",2015,10,14,"Brazil","Rio de Janeiro","Rio Claro","Conglomerado 316-Extra 2. UTM do Ponto Central: E (592419m) N (7486642m) Fuso do GPS (23K)",,,"Arbusto, com 2,5 m de altura. Casca interna avermelhada e externa marrom, fina, lisa. Fruto maduro, com 1,0 cm, oval, externamente rosa,  Nome Vulgar: Chichuá","Lacistema serrulatum Mart.","",,"GBIF"
"","JBRJ","RB","RB00519127","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","A.A.M. de Barros",2007,"","3047","","A.A.M. de Barros; B. Alves",2007,4,28,"Brazil","Rio de Janeiro","Niterói","Parque Estadual da Serra da Tiririca, Morro do Cordovil, Vale das Borboletas, trilha da Jararaca. Indivíduo 66 do Transect TJ8. CAP 3,0 cm. Folhas membranáceas discolores verdes. Estéril. Município de Niterói, Engenho do Mato.",-22.9225,-42.999167,,"Lacistema serrulatum Mart.","",,"GBIF"
"","JBRJ","RB","RB00588359","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","Ana Angélica M. de Barros",2007,"","2838","","A.A.M. de Barros; L.J.S. Pinto, A. Alves",2007,4,21,"Brazil","Rio de Janeiro","Niterói","Engenho do Mato, parque Estadual da Serra da Tiririca, Morro do Clodovil, Vale das Borboletas, trilha da Jararaca.",-22.922778,-42.999444,"Arvoreta com cerca de 5,50m de altura, DAP 10,0 cm, ciófila, folhas membranáceas discolores verdes, inflorescência esverdeada. Indivíduo 104 do trasect TJ 07.","Lacistema serrulatum Mart.","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","23298","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","Paiva, VF",2007,"","706","","Martins, RC; et al.",2007,10,11,"Brazil","Distrito Federal","Brasília","Jardim Botânico de Brasília - área administrativa - atrás da antiga cantina.",,,"Arbusto de 2 m; Inflorescência amarelo-esverdeada, sementes com endosperma branco, frutos maduros; Fruto Vermelha; Borda da mata; Relevo Plano","Lacistema serrulatum Mart.","",,"GBIF"
"","JBRJ","RB","RB00585909","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","Ana Angélica M. de Barros",2006,"","2668","","A.A.M. de Barros; N. Coqueiro, T.H.S.S. Gomes, J.M. Dias & C. D´Amato",2006,6,14,"Brazil","Rio de Janeiro","Rio de Janeiro","Divisa dos Municípios de Noterói e Maricá, entre Engenho do Mato e Itaipuaçu, Parque Estadual da Serra da Tiririca, Morro do Telégrafo, trilha da Cumeeira.",,,"Árvore com cerca de 7,0 m de altura, heliófila, folhas cartáceas discolores verdes, inflorescência esverdeada.","Lacistema serrulatum Mart.","",,"GBIF"
"","JBRJ","RB","RB00588357","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","Ana Angélica M. de Barros",2007,"","03","","C. d´Amato; A.A.M. de Barros, N. Coqueiro & L. Timbó",2006,10,17,"Brazil","Rio de Janeiro","Niterói","Engenho do Mato, Parque Estadual da Serra da Tiririca, Morro do Telégrafo. Trilha da Barreira.",,,"Arbusto com cerca de 1,80 m de alt., ciófilo, folhas membranáceas discolores verdes, frutos vermelhos.","Lacistema serrulatum Mart.","",,"GBIF"
"","JBRJ","RB","RB00588355","Lacistema serrulatum","","Lacistemataceae","Lacistema","serrulatum","","Mart.","Ana Angélica M. de Barros",2005,"","2506","","A.A.M. de Barros; L.J.S. Pinto, N. Coqueiro, R. Mendonça e T.F. Laurindo",2005,8,13,"Brazil","Rio de Janeiro","Niterói","Engenho do mato, Parque Estadual da Serra da Tiririca, Morro do Telégrafo, Sítio Manoel Bonfim-Grotão, trilha da Barreira.",,,"Arbusto com cerca de 2,50m de altura, ciófilo, folhas membranáceas discolores verdes, inflorescência alvo-esverdeada.","Lacistema serrulatum Mart.","",,"GBIF"
