"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","191180","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore",,2018,"","971","","Quaresma, AS; Meyer, PB",2018,5,15,"Brazil","Minas Gerais","Nova Lima",,-20.114447,-43.96195,"Campo sujo","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","181699","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore",,,"","s.n.","","Brina, AE",2015,3,9,"Brazil","Minas Gerais","Itabirito",,-20.420056,-43.916944,"Subarbusto; Canga Nodular","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","66568","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore","M.C.A. Mota",2015,"","35","","J.G.F. Mendonça; E. Landroz; F.A. Carvalho; J.H.C. Ribeiro; L.D. Santana",2015,5,25,"Brazil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Chapadão",-22.131111,-44.721389,"Erva, 50cm. Campo de Altitude. Caule piloso, folha discolor e com cheiro, inflorescência arroxeada.","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","66587","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore","M.C.A. Mota",2015,"","55","","J.G.F. Mendonça; T.O. Orsi; L.D. Santana; J.H.C. Ribeiro",2015,6,18,"Brazil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Perto da Sede do PESP",-22.142081,-44.730644,"Erva, 60cm. Campo de Altitude. Folhas verde claro com tricomas brancos. Flores liláses com base da corola alva.","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","FZB-BH","BHZB","10880","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore","Meyer, P.B.",2014,"","4638","","Rezende, S.G et al.",2014,7,2,"Brazil","Mg","Ouro Preto","Distrito de Miguel Burnier, Mina da Gerdau.",-20.44,-43.801944,"Doação de duplicata para herbário CTBS em julho de 2016","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","USP","SPF","209244","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore","Antar, GM",2017,"","190","","Antar, GM; et al.",2013,6,21,"Brazil","Minas Gerais","Rio Vermelho","Serra do Ambrósio, Vargem do anjo, virando para Mato Virgem.",-18.144139,-43.03725,"Arbusto ca. 60 cm alt. Perianto arroxeado.; Campo rupestre. Solo arenoso seco.","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","UFV","VIC","43232","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore",,,"","1980","","Simon, M.F.; et al.",2013,8,22,"Brazil","Minas Gerais","São Roque de Minas","Estrada vicinal a 10 km W da entrada para a Cachoeira Casca D'Anta. &nf;&nf;Alt.: 1174m &nf;Lat.: 20º18'54""&nf;Long.: 46º35""'15"" O",,,"Arbusto de 1 m, flores lilases.","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","Cenargen","CEN","86994","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore","J. F. B. Pastore",2013,"","1980","","Marcelo Fragomeni Simon",2013,8,22,"Brazil","Mg","SAO ROQUE DE MINAS","Estrada vicinal a 10 km W da entrada para a Cachoeira Casca D'Anta.",-20.315,-46.5875,"Arbusto 1 m. Flores lilases.","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","S","VascularPlants","S14-44000","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore",,,"","4282","","E. Emanuelsson",2012,10,18,"Brazil","Minas Gerais",,"Minas Gerais, Serra da Canastra.",,,,"Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
"","UFSJ","HUFSJ","4327","Cyanocephalus lippioides","","Lamiaceae","Cyanocephalus","lippioides","","(Pohl ex Benth.) Harley & J.F.B.Pastore","Sobral, M",2012,"","15169","","Sobral, M",2012,11,19,"Brazil","Minas Gerais","Nazareno","BR-265",-21.253694,-44.53275,"Erva até 0,4 m; inflorescências purúreo-claras.","Cyanocephalus lippioides (Pohl ex Benth.) Harley & J.F.B.Pastore","",,"GBIF"
