"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","38155","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","Moura, R.",2015,"","380","","Julkoski, D.",2014,11,19,"Brazil","Espírito Santo","Itarana",,,,,"Vitex mexiae Moldenke","",,"GBIF"
"","JBRJ","RB","RB01158241","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","R. Moura",2015,"",,"","Julkoski, D.",2014,11,19,"Brazil","Espírito Santo","Itarana","Conglomerado 77, Sub. 2, Subp. 9, Na. 31. Coord.: 40.8600º S 19.9800º W.",,,"Arbusto de 6,5m. Flores lilás e branca.","Vitex mexiae Moldenke","",,"GBIF"
"","JBRJ","RB","RB00348374","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","2","","W. da Silva",2002,3,19,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada Barrelão-Reunião. REBIO do Tinguá",,,"Árvore bifurcada, ca. 12 m de altura; madeira escura, casca lisa e escura; folhas concolores crtáceas; frutos imaturos verdes e maduros nigrescentes. N.P.: Carobuçu.","Vitex mexiae Moldenke","",,"GBIF"
"","UFV","VIC","46734","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","2","","W. da Silva",2002,3,19,"Brazil","Rio de Janeiro","Nova Iguaçú","Estrada Barrelão-Reunião",,,"Árvore bifurcada, ca. 12m de altura; madeira escura, casca lisa e escura; folhas concolores cartáceas; frutos imaturos verdes e maduros nigrescentes.; Árvore bifurcada, ca. 12m de altura; madeira escura, casca lisa e escura; folhas con","Vitex mexiae Moldenke","",,"GBIF"
"","MBM","MBM","410237","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","2","","Silva, W da",2002,3,19,"Brazil","Rio de Janeiro","Nova Iguaçu","Estrada Barrelão-Reunião.",,,"Árvore bifurcada, ca. 12 m de altura; madeira escura, casca lisa e escura; folhas concolores cartáceas; frutos imaturos verdes e maduros nigrescentes.","Vitex mexiae Moldenke","",,"GBIF"
"","UEFS","HUEFS","35722","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","F.França",2003,"","48","","Miranda, E.B.",1999,2,5,"Brazil","Bahia","Mucugê","4Km de Brejo de Cima na estrada para Mucugê.",-13.324167,-41.549722,"caatinga.","Vitex mexiae Moldenke","",,"GBIF"
"","UEFS","HUEFS","40891","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","F.França",2003,"","310","","Miranda, E.B.",1999,10,25,"Brazil","Bahia","Abaíra","Catolés Catolés: margem da estrada Catolés e Ouro Verde.",-13.318611,-41.799722,,"Vitex mexiae Moldenke","",,"GBIF"
"","IF","SPSF","17062","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","623","","J.B.Baitello",1994,3,30,"Brazil","Sp","Cunha","Parque Estadual da Serra do Mar",,,"COLETA: XLS: SPSFAntigo&nf;Solo arenoso, pedregoso e em alguns locais bastante úmido.&nf;Arvoreta 5m., frutos vináceos.;","Vitex mexiae Moldenke","",,"GBIF"
"","UEFS","HUEFS","27904","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","623","","Baitello, J.B.",1994,3,30,"Brazil","São Paulo","Cunha","Parque Estadual da Serra do Mar, pedreira e arredores.",,,"Solo arneoso-pedregoso.","Vitex mexiae Moldenke","",,"GBIF"
"","IF","SPSF","24118","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","574","","E.A.Anunciaçao",1994,5,20,"Brazil","Sp","Iguape","Estação Ecológica Juréia-Itatins",,,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: restinga arbórea&nf;;","Vitex mexiae Moldenke","",,"GBIF"
"","MBM","MBM","228485","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","1388","","Marquete, R",1993,12,8,"Brazil","Rio de Janeiro","Parati","Laranjeiras, Cachoeira das Pedras",,,,"Vitex mexiae Moldenke","",,"GBIF"
"","JBRJ","RB","RB00447947","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","A.Luiz",,"","1388","","R.Marquete",1993,12,8,"Brazil","Rio de Janeiro","Paraty","Laranjeiras, Cachoeira das Pedras, caminho para a Praia do Sono.",,,"Semi- ciófila, arvore ca 15m alt., tronco com casca  esfoliante de cor acinzentada com líquens, folhas membráceas, discolores verdes, inflorescências eretas com pedúnculos verdes e botões azulados, cálice verde e corola azul, filetes e estiletes azuis, anteras alvas e estigma azul. Flores aromáticas","Vitex mexiae Moldenke","",,"GBIF"
"","IF","SPSF","24130","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","938","","L.Rossi",1991,11,28,"Brazil","Sp","Iguape","Estação Ecológica Juréia-Itatins",,,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: margens do rio Verde&nf;;","Vitex mexiae Moldenke","",,"GBIF"
"","IF","SPSF","24117","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","680","","L.Rossi",1990,8,17,"Brazil","Sp","Iguape","Estação Ecológica Juréia-Itatins",,,"COLETA: XLS: SPSFAntigo;","Vitex mexiae Moldenke","",,"GBIF"
"","IF","SPSF","24144","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","721","","L.Rossi",1990,10,18,"Brazil","Sp","Iguape","Estação Ecológica Juréia-Itatins",,,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: mata de restinga&nf;;","Vitex mexiae Moldenke","",,"GBIF"
"","IF","SPSF","24145","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","759","","L.Rossi",1990,11,21,"Brazil","Sp","Iguape","Estação Ecológica Juréia-Itatins",,,"COLETA: XLS: SPSFAntigo;","Vitex mexiae Moldenke","",,"GBIF"
"","UEFS","HUEFS","109200","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","2570","","Farney, C.",1990,11,25,"Brazil","Rio de Janeiro","Parati","Pico Cairuçu - Acesso pela Praia Negra.",,,"Mata Nebular.","Vitex mexiae Moldenke","",,"GBIF"
"","JBRJ","RB","RB00447943","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","Andréa Luizi",1991,"","2570","","C.Farney; J.C.Gomes,N.J.Costa",1990,11,25,"Brazil","Rio de Janeiro","Paraty","Pico do Cairuçu- Acesso pela Praia Negra.",,,"Arvoreta,6m, folhas discolores verdes, cálice verde, corola alva","Vitex mexiae Moldenke","",,"GBIF"
"","JBRJ","RB","RB00447951","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","F.R.Salimena-Pires",,"","1868","","Haroldo C. de Lima; T.Plowman",1983,2,22,"Brazil","Rio de Janeiro","Santa Maria Madalena","Pedra Dubois.",,,"Arbusto 1-2m alt. Flores com cálice verde e corola alva com base e lacíneos azuis. Botões alvos. Frutos novos esverdeados. Ocasional nos campos de altitude","Vitex mexiae Moldenke","",,"GBIF"
"","NY","NY","592400","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","H. N. Moldenke",1981,"","1231","","I. Mimura",1962,1,30,"Brazil","São Paulo",,"Ca. 8,0 lm SW em linha reta da praça principal de Sao José dos Campos",-23.1741596601934,-45.8803535288034,,"Vitex mexiae Moldenke","",,"GBIF"
"","UFV","VIC","004599","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","2062","","Irwin, H.S.",1958,10,10,"Brazil","Minas Gerais","Viçosa","ESAV",,,"Tree to 8 m, in secondary forest, red clay soil, Co pale lavendar, common.","Vitex mexiae Moldenke","",,"GBIF"
"","US","Botany","2281262","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","2062","","H. S. Irwin",1958,11,10,"Brazil","Minas Gerais",,"Minas Gerais: State Agricultural School, Viçosa.",,,,"Vitex mexiae Moldenke","",,"GBIF"
"","NY","NY","00956756","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","H. N. Moldenke",,"","2062","","H. S. Irwin",1958,11,10,"Brazil","Minas Gerais",,"State Agricultural School, Viçosa",-20.761343,-42.868031,,"Vitex mexiae Moldenke","",,"GBIF"
"","IAC","IAC","42397","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","H.N. Moldenke",1941,"","s/nº","","O. Handro",1938,11,5,"Brazil","São Paulo","São Paulo","cultivada na capital, Jardim Botânico",-23.5475,-46.6361,"Mudas obtido da escola agricultura luiz de Queirós, piracicaba","Vitex mexiae Moldenke","",,"GBIF"
"","UEFS","HUEFS","27924","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"",,"","Handro, O.",1938,11,16,"Brazil","São Paulo","São Paulo","Jardim Botânico.",,,,"Vitex mexiae Moldenke","",,"GBIF"
"","USP","SPF","148320","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","Moldenke, HN",1941,"","s.n.","","Handro, O",1938,11,16,"Brazil","São Paulo","São Paulo","Jardim Botânico de São Paulo",,,,"Vitex mexiae Moldenke","",,"GBIF"
"","JBRJ","RB","RB00447953","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","Moldenke",,"","325","","J.Santos Lima",1935,11,19,"Brazil","Rio de Janeiro","Santa Maria Madalena","Serra da Fumaça.",,,,"Vitex mexiae Moldenke","",,"GBIF"
"","NY","NY","592399","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke","H. N. Moldenke",1949,"","325","","J. Lima dos Santos",1935,11,19,"Brazil","Rio de Janeiro",,"Sta Magdalena.  Serra da Fumaça",,,,"Vitex mexiae Moldenke","",,"GBIF"
"","UEFS","HUEFS","32701","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","5474","","Mexia, Y.",1931,1,2,"Brazil","Minas Gerais","Rio Branco","Fazenda de Bom Jardim; orvergrown slope.",,,,"Vitex mexiae Moldenke","",,"GBIF"
"","MO","MO","2901981","Vitex mexiae","","Lamiaceae","Vitex","mexiae","","Moldenke",,,"","Mexia 5474","","Ynés Mexia",1931,1,2,"Brazil","Minas Gerais",,"Districto Rio Branco. Fazenda de Bom Jardim; Pedera; overgrown slope.",,,,"Vitex mexiae Moldenke","",,"GBIF"
