"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","141436","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","Souza, V.C.",2018,"","41159","","Souza, V.C.",2018,9,8,"Brazil","São Paulo","Bertioga",,,,"Árvore, ca. 5 m alt.; cúpula vermelho-rosada; frutos imaturos verdes.","Aniba viridis Mez","",,"GBIF"
"","IF","SPSF","51755","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","M.L. Brotto",2017,"","2383","","M.L. Brotto & E.D. Lozano",2017,1,18,"Brazil","Pr","Adrianópolis","Parque estadual das lauráceas",-24.846944,-48.669444,"COLETA: Árvore com 15 m de altura; flores castanhas.; GEOGRAFIA: Floresta Ombrófila Densa Montana.;","Aniba viridis Mez","",,"GBIF"
"","MBM","MBM","407591","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","Brotto, ML",2017,"","2383","","Brotto, ML",2017,1,18,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas",-24.846944,-48.669444,"Árvore com 15 m de altura; flores castanhas.; Floresta Ombrófila Densa Montana.","Aniba viridis Mez","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","16275","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","Brotto, M.L.",2017,"","2383","","Brotto, M.L.",2017,1,18,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas",-24.8469,-48.6694,"Árvore com 15 m de altura; flores castanhas.Floresta Ombrófila Densa Montana","Aniba viridis Mez","",,"GBIF"
"","MBM","MBM","409927","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","Brotto, ML",2017,"","2565","","Brotto, ML",2017,12,6,"Brazil","Paraná","Adrianópolis","estrada da Berneck a Tatupeba",-24.742778,-48.769444,"Árvore com 23 metros de altura; botões florais e fruto imaturo.; Floresta Ombrófila Densa Submontana.","Aniba viridis Mez","",,"GBIF"
"","Instituto de Botânica","SP","490557","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","Aragaki, S; Petri, L",2016,"","697","","Petri, L; Biasoli, SM",2016,6,30,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga",,,,"Aniba viridis Mez","",,"GBIF"
"","IF","SPSF","51763","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","M.L. Brotto",2016,"","2358","","M.L. Brotto & E.D. Lozano",2016,12,6,"Brazil","Pr","Adrianópolis","Parque estadual das lauráceas",-24.853611,-48.710556,"COLETA: Árvore com 12 m de altura; flores amareladas.; GEOGRAFIA: Floresta Ombrófila Densa Montana;","Aniba viridis Mez","",,"GBIF"
"","UEFS","HUEFS","232080","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","M.L.Brotto",2016,"","2358","","Brotto, M.L.",2016,12,6,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas.",-24.853611,-48.710556,"Floresta Ombrófila Densa Montana.","Aniba viridis Mez","",,"GBIF"
"","MBM","MBM","407310","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","Brotto, ML",2016,"","2358","","Brotto, ML",2016,12,6,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas",-24.853611,-48.710556,"Árvore com 12 m de altura; flores amareladas.; Floresta Ombrófila Densa Montana.","Aniba viridis Mez","",,"GBIF"
"","JBRJ","RB","RB01414715","Aniba viridis","","Lauraceae","Aniba","viridis","","Mez","M.L. Brotto",2016,"","2358","","M.L. Brotto; E.D. Lozano",2016,12,6,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas.",-24.853611,-48.710556,,"Aniba viridis Mez","",,"GBIF"
