"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01418355","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","H.C. Lima",2019,"","8966","","Haroldo C. de Lima; L.B. do Nascimento, R. Albuquerque & P.M. de Oliveira",2019,9,13,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Estrada do Comércio, próx. ao Km 28. Floresta de encosta. m.",-22.576111,-43.467222,"Árvore ca. 16 m alt. Tronco com casca lisa e pardo-escura, liberando cheiro de canela, DAP 46,5 cm. Frutos passados no chão. Ocasional. Nome vulgar: canela.","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","JBRJ","RB","RB01396464","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","Quinet, A.",2019,"","8704","","Haroldo C. de Lima; P.F.F.P. Rodrigues, A.Q. Lobão, F.F. Negreiros, L.B. do Nascimento, A.F.N. Brand, M. Iguatemy, R.P.N. Albuquerque e B.F. Borja",2018,8,7,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Boa Esperança, ORBEL II, Módulo PPBio Mata Atlântica, Parcela 1. Floresta de encosta.",-22.568056,-43.3975,"Árvore com 10 m alt. DAP 19,8 cm. Ramos e folhas com odor agradável. Botões e flores esverdeados. Frutos acastanhados. Ocasional. Módulo PPBIO - Parc. I, ind. 618.","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","UFES","VIES","34019","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","Moreau, J.S.",2014,"","146","","Moreau, J.S.",2014,1,21,"Brazil","Espírito Santo","Aracruz",,-19.802222,-40.123889,,"Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","135728","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.",,,"","88","","Moreira, NC; Efigênio, JA",2009,8,16,"Brazil","Minas Gerais","Ribeirão das Neves","Represa Canto dos Pássaros",-19.829167,-44.045833,"Arbórea, ca de 9m de altura, beira da estrada; flores verdes, odor fresco.","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","7027","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","J.B. Baitello",2007,"","1611","","R. Tsuji, H. Lorenzi et al.",2007,1,31,"Brazil","Mg","Carangola","Coletado na Fazenda Santa Rita em vegetação de floresta ombrófila densa",,,,"Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","MO","MO","100656080","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","H. van der Werff (MO)",2013,"","Amorim 6723","","André M. Amorim|et al.",2007,1,20,"Brazil","Bahia",,"Serra do Peito-de-Moça. Estrada que liga Arataca á Ybam ranak ca. 22,4 km de Arataca cin entrada no Assentamento Santo Antonio. RPPN ""Caminio das Pedras"". Floresta Ombrófila Densa Montana.",-15.173611,-39.341667,,"Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","USP","SPF","199361","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","Assis, LCS",2011,"","2868","","Vervloet, RR",2007,7,17,"Brazil","Espírito Santo","Santa Leopoldina","Fazenda Caioaba.",-20.059167,-40.470556,,"Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","9368","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","V.C. Souza",2011,"","2078","","R. Tsuji",2007,8,26,"Brazil","Mg","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.",,,,"Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","MBML","MBML-HERBARIO","31474","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","T.D.M. Barbosa/18-XI-2008",,"","3311","","R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz",2007,8,28,"Brazil","Espírito Santo","Santa Leopoldina","Pedra Branca. Prop. Crist. Bremenkanp",-20.035556,-40.495278,"Arbusto 4m, frutos imaturos de cor marrom. Mata.","Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
"","USP","SPF","201841","Beilschmiedia taubertiana","","Lauraceae","Beilschmiedia","taubertiana","","(Schwacke & Mez) Kosterm.","Assis, LCS",2011,"","2078","","Tsuji, R",2007,8,26,"Brazil","Minas Gerais","Santana do Paraíso",,,,,"Beilschmiedia taubertiana (Schwacke & Mez) Kosterm.","",,"GBIF"
