"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01396476","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","A. Quinet",,"","8716","","Haroldo C. de Lima; P.F.F.P. Rodrigues, A.Q. Lobão, F.F. Negreiros, L.B. do Nascimento, A.F.N. Brand, M. Iguatemy, R.P.N. Albuquerque e B.F. Borja",2018,8,7,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Boa Esperança, ORBEL II, Módulo PPBio Mata Atlântica, Parcela 1. Floresta de encosta.",-22.568056,-43.3975,"Árvore com 7 m alt. DAP 14,2 cm. Frutos verde-escuro. Módulo PPBIO - Parc. I, ind. 605.","Cryptocarya micrantha Meisn.","",,"GBIF"
"","JBRJ","RB","RB01384404","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","A.Quinet",,"","1135","","D.N.S.Machado; L.R.Caires e L.S.Cunha",2017,1,10,"Brazil","Rio de Janeiro","Niterói","São Francisco. Parque Natural Municipal de Niterói. Morro Santo Inácio",-22.921389,-43.083889,,"Cryptocarya micrantha Meisn.","",,"GBIF"
"","JBRJ","RB","RB01183777","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","A. Quinet",2016,"","438","","Gaui­, T. D.",2015,10,14,"Brazil","Rio de Janeiro","Piraí","Conglomerado  21-1-7-53.  UTM  do  Ponto  Central:  E  (620111m)  N  (7481466m).  Fuso  do  GPS  (23K)",,,"Árvore, com 9 m de altura. Base digitada. Casca interna amarelada e externa marrom, fina, lisa, lenticelada, com agradável odor ao ser cortada. Botões verdes.  Nome Vulgar: Canela-sassafrás","Cryptocarya micrantha Meisn.","",,"GBIF"
"","IF","SPSF","50399","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","E.H.P.Barretto",2014,"","272","","E.H.P. Barretto",2014,4,28,"Brazil","Sp","São Paulo","Marsilac, Estrada das Arapongas.",,,"COLETA: Árvore de 15m de altura com folhas com face abaxial glauca, frutos verdes.; GEOGRAFIA: Estrada das Arapongas.&nf;UTM: 23K, X=324079, Y=7352909;","Cryptocarya micrantha Meisn.","",,"GBIF"
"","MBML","MBML-HERBARIO","50339","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.",,,"","30","","A.D. Ferreira; P.J. Coelho",2014,6,6,"Brazil","Espírito Santo","Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, início da trilha da divisa virada para o leste",,,"Arvoreta de 3m, DAP 1cm, com odor, frutos verdes, sépalas avermelhadas","Cryptocarya micrantha Meisn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","68229","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","V.A. Campos",2013,"","s.n.","","V.A. Campos",2013,,,"Brazil","Minas Gerais","Rio Preto","RPPN Mato Limpo",,,"Árvore, ca 17m. Indivíduo ML1434. Dentro da parcela 20 da fitossociologia. Altitude 1030 m.s.m.","Cryptocarya micrantha Meisn.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","146589","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","A. Quinet",,"","435","","E. M. Saddi",2011,4,16,"Brazil","Rio de Janeiro","PIRAÍ","Parcela P24 dos estudos para o EIA do Minerioduto Bom Sucesso, MG - Itaguaí.",-22.5625,-43.895833,,"Cryptocarya micrantha Meisn.","",,"GBIF"
"","JBRJ","RB","RB00650913","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","Alexandre Quinet",,"","435","","E.M.Saddi; Pedro Samor, João Henrique Martins & Robson Oliveira",2011,4,16,"Brazil","Rio de Janeiro","Piraí","Parcela P24 dos estudos para o EIA do Minerioduto Bom Sucesso, MG - Itaguaí, RJ.",-22.5625,-43.895833,"Árvore em vegetação secundária de encosta. Frutos maduros verdes.","Cryptocarya micrantha Meisn.","",,"GBIF"
"","USP","SPF","191212","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","Quinet, A",2009,"","932","","Borges, R",2009,2,15,"Brazil","Rio de Janeiro","Guapimirim","Área de estudo da Embrapa Agrobiologia.",-22.565278,-42.860556,,"Cryptocarya micrantha Meisn.","",,"GBIF"
"","JBRJ","RB","RB00556763","Cryptocarya micrantha","","Lauraceae","Cryptocarya","micrantha","","Meisn.","A. Quinet",,"","932","","R. Borges; M. Iguatemy, R. Abreu, T. Zveibil",2009,2,15,"Brazil","Rio de Janeiro","Guapimirim","Área de estudo da Embrapa Agrobiologia. Floresta ombrófila densa secundária sobre morrote.",-22.565278,-42.860556,"Árvore 10m, folhas levemente discolores, frutos verdes.","Cryptocarya micrantha Meisn.","",,"GBIF"
