"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01382366","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","A. Quinet",,"","1388","","C. Baez; E. Fernandez, R. Gomes, D. Maurenza",2018,1,31,"Brazil","Rio de Janeiro","Barra do Piraí","Antigo Refúgio da Vida Silvestre, Trilha do caçador. Parque Estadual da Serra da Concórdia",-22.372222,-43.787778,"Árvore matriz nº 02; CAP 157 cm; Tronco cinza com odor agradável quando cortado. Folhas verdes com nervuras amrelas. Flores em botão.","Nectandra leucantha Nees","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","60567","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","Kassner-Filho, A.",2018,"","3451","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",2018,9,25,"Brazil","Santa Catarina","Apiúna","Ribeirão Vinte.",-27.09,-49.410833,"fruto imaturo Habitat: interior do fragmento florestal Habito: árvore","Nectandra leucantha Nees","",,"GBIF"
"","MBM","MBM","409702","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","Brotto, ML",2017,"","2465","","Brotto, ML",2017,5,13,"Brazil","Paraná","Morretes","Estrada da Graciosa, próximo ao Recanto Mãe Catira",-25.361667,-48.877778,"Árvore com 10 metros de altura; flores brancas com odor intenso adocicado e agradável.; Floresta Ombrófila Densa Submontana.","Nectandra leucantha Nees","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","55719","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","Schwirkowski, P.",2017,"","2438","","Schwirkowski, P.",2017,10,5,"Brazil","Santa Catarina","São Bento do Sul","Rio natal. Na trilha de subida para o Morro da Igreja.",-26.361111,-49.263889,"Flores brancas Habitat: Heliófita Habito: Árvore","Nectandra leucantha Nees","",,"GBIF"
"","JBRJ","RB","RB01384777","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","Brotto, M.L.",,"","1374","","Voltz, R.R.; Brotto, M.L. & Meyer, F.S.",2017,10,13,"Brazil","Paraná","Antonina","Bairro alto, trilha da Conceição",-25.230556,-48.768333,"Árvore 10 m alt.; fruros verdes.","Nectandra leucantha Nees","",,"GBIF"
"","JBRJ","RB","RB01394369","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","P.Schwirkowski",,"","2438","","P.Schwirkowski",2017,10,5,"Brazil","Santa Catarina","São Bento do Sul","Rio Natal. Na trilha de subida para o Morro da Igreja",-26.361111,-49.263889,,"Nectandra leucantha Nees","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","40285","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","Schwirkowski, P",2017,"","2438","","Schwirkowski, P",2017,10,5,"Brazil","Santa Catarina","São Bento do Sul","Rio Natal, Na trilha de subida para o Morro da Igreja.",-26.214,-49.155,"Árvore, heliófita, flores brancas","Nectandra leucantha Nees","",,"GBIF"
"","JBRJ","RB","RB01410854","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","M.L. Brotto",2017,"","1374","","R.R. Voltz; M.L. Brotto; M.S. Meyer",2017,10,13,"Brazil","Paraná","Antonina","Alto, trilha da Conceição.",-25.230556,-48.768333,,"Nectandra leucantha Nees","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","16396","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","Brotto, M.L.",2017,"","1374","","Völtz, R.R.; Brotto, M.L.; Meyer, F.S.",2017,10,13,"Brazil","Paraná","Antonina","Bairro Alto, trilha da Conceição",-25.2305,-48.7683,"Árvore 10 m, frutos verdes, borda de Floresta Ombrófila Densa Submontana secundária","Nectandra leucantha Nees","",,"GBIF"
"","UFPR","UPCB","95038","Nectandra leucantha","","Lauraceae","Nectandra","leucantha","","Nees","Brotto, M.L.",2017,"","1374","","Völtz, R.R. | Brotto, M.L. | Meyer, F.S.",2017,10,13,"Brazil","Paraná","Antonina","Bairro Alto",-25.230833,-48.770556,"Borda de Floresta Ombrófila Densa Submontana secundária. Árvore 10 m alt.; frutos verdes","Nectandra leucantha Nees","",,"GBIF"
