"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","15758","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","Geovane S. Siqueira",2017,"","1177","","Siqueira, G.S.",2017,8,30,"Brazil","Es","LINHARES",,,,"Col. Adic. : Niel, Celivaldo, Jonatas <ll>dwc_commonname:</ll> Canela louro","Ocotea argentea Mez","",,"GBIF"
"","Reserva Natural Vale","CVRD","15759","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","Geovane S. Siqueira",2017,"","1178","","Siqueira, G.S.",2017,8,30,"Brazil","Es","LINHARES",,,,"Col. Adic. : Niel, Celivaldo, Jonatas <ll>dwc_commonname:</ll> Canela louro","Ocotea argentea Mez","",,"GBIF"
"","JBRJ","RB","RB01378987","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","G.S.Siqueira",2017,"","1178","","G.S. Siqueira",2017,8,30,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.   UTM: 396937 - 7881446",,,,"Ocotea argentea Mez","",,"GBIF"
"","JBRJ","RB","RB01378986","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","G.S.Siqueira",2017,"","1177","","G.S. Siqueira",2017,8,30,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.   UTM: 396937 - 7881446",,,,"Ocotea argentea Mez","",,"GBIF"
"","JBRJ","RB","RB01174112","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","A. Quinet",2016,"","607","","C.Baez; Rafael Gomes, Patrícia da Rosa, Mássimo Bovini e Carlos Ferreira",2016,7,12,"Brazil","Rio de Janeiro","Rio de Janeiro","Trilha para morro queimado. Antes do primeiro platô. Parque Nacional da Tijuca",-22.966944,-43.256667,"Terrícola, heliófila, ramos pilosos. Tépalas vermelhas/vinosas com anteras alvas. Apenas um indivíduo avistado.","Ocotea argentea Mez","",,"GBIF"
"","Instituto de Botânica","SP","491610","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","Quinet, A",2016,"","607","","Baez, C; et al.",2016,7,12,"Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Trilha para morro queimado",-22.966944,-43.256667,,"Ocotea argentea Mez","",,"GBIF"
"","JBRJ","RB","RB01174182","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","A. Quinet",2016,"",,"","Mendonça-Junior, J. O.; Mendonça, C. R.",2014,8,18,"Brazil","Rio de Janeiro","Cabo Frio","Conglomerado 143-2-8-48. UTM do Ponto Central: E (807695m) N (7498777m). Fuso do GPS (23K)",,,"Árvore com 12 m de altura. Base reta. Casca interna rosa e externa cinza, fina, lenticelada, odor primitivo ao ser cortada. Fruto imaturo, com 1 cm, redondo, internamente e externamente verde, carnoso, com polpa","Ocotea argentea Mez","",,"GBIF"
"","MBM","MBM","410040","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","Quinet, A",2016,"","s.n.","","Mendonça-Junior, JO",2014,8,18,"Brazil","Rio de Janeiro","Cabo Frio","Conglomerado 143-2-8-48. UTM do Ponto Central: E (807695m) N (7498777m). Fuso do GPS (23K).",,,"Árvore com 12 m de altura. Base reta. Casca interna rosa e externa cinza, fina, lenticelada, odor primitivo ao ser cortada. Fruto imaturo, com 1 cm, redondo, internamente e externamente verde, carnoso, com polpa.; Restinga arbórea an","Ocotea argentea Mez","",,"GBIF"
"","JBRJ","RB","RB01395856","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez",,,"","119","","Grupo de Coletores do Núcleo Sapucaia",2014,10,2,"Brazil","Bahia","Mucuri","Assentamento Paulo Freire. Núcleo Sapucaia, Matriz 119.",-18.068889,-33.669444,"árvore, terrícola, de solo argiloso, topo de morro, interior do fragmento, dominada subosque, de acesso difícil","Ocotea argentea Mez","",,"GBIF"
"","UFRB","HURB","14186","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez",,,"","222","","Victor Jr., V.",2013,1,18,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Ocotea argentea Mez","",,"GBIF"
"","IF","SPSF","47403","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","G.A.D.C.Franco",2013,"","6454","","N.M.Ivanauskas & D.F.Bertani & I.A.Mattos & P.S.Espíndola",2013,5,23,"Brazil","Sp","Cajuru","Fazenda Santa Carlota",-21.275,-47.303889,"COLETA: Árvore de 13 metros de altura. Frutos imaturos. Nome vulgar: Capitão; GEOGRAFIA: Floresta Estacional Semidecidual. Mata da Estiva. Borda do fragmento (WGS84, Zona 23k).;","Ocotea argentea Mez","",,"GBIF"
"","JBRJ","RB","RB01174187","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","A. Quinet",2016,"","504","","Uller, H. F.; Terra, G.",2013,10,22,"Brazil","Rio de Janeiro","Cabo Frio","Conglomerado 143-2-8-93. UTM do Ponto Central: E (807693,65m) N (7498777,41m). Fuso do GPS (23K)",,,"Árvore. Fruto imaturo verde","Ocotea argentea Mez","",,"GBIF"
"","MBM","MBM","410081","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","Quinet, A",2016,"","504","","Uller, HF",2013,10,22,"Brazil","Rio de Janeiro","Cabo Frio","Conglomerado 143-2-8-93. UTM do Ponto Central: E (807693,65m) N (7498777,41m). Fuso do GPS (23K).",,,"Árvore. Fruto imaturo verde.; Restinga arbórea.","Ocotea argentea Mez","",,"GBIF"
"","IF","SPSF","49122","Ocotea argentea","","Lauraceae","Ocotea","argentea","","Mez","R.Monteiro",2012,"","s/n","","G.P. Sabino",2012,7,9,"Brazil","Sp","Porto Ferreira","Parque Estadual de Porto Ferreira",-21.816667,-47.416667,"GEOGRAFIA: Face norte da Lagoa do Serrado.;","Ocotea argentea Mez","",,"GBIF"
