"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Estadual Paulista, UNESP","HRCB","56139","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez",,,"","3244","","Moraes, P.L.R. de",2011,9,11,"Brazil","Espírito Santo","Santa Teresa","Mata da Prefeitura",,,"Árvore 15m, estéril.","Ocotea insignis Mez","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","127925","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez","P. Moraes",,"","2740","","P.L.R. de Moraes",2009,8,12,"Brazil","Bahia","arataca","Serra do Peito-de-Moça",-15.202778,-39.408056,,"Ocotea insignis Mez","",,"GBIF"
"","UEFS","HUEFS","163285","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez",,,"","2740","","Moraes, P.L.R.de",2009,8,12,"Brazil","Bahia","Arataca","Serra do Peito-de-Moça",,,,"Ocotea insignis Mez","",,"GBIF"
"","IAC","IAC","50322","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez","J.B. Baitello",2009,"","493","","J.A.M.A. Gomes; O.A. Santos; S. Santos & F.J. Benedetti",2007,10,11,"Brazil","São Paulo","Ubatuba","Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",-23.367009,-45.083511,"subparcela 48, indivíduo I 0951.","Ocotea insignis Mez","",,"GBIF"
"","UNICAMP","UEC","166648","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez","Brotto, ML",2018,"","444","","Paixão, JL; Amorim, AMA; Teixeira, M; et al.",2005,6,5,"Brazil","Bahia","Camacã","RPPN Serra Bonita. 9,7 Km W de Camacã na estrada para Jacarecí, daí 6 Km SW na estrada para a RPPN e torre da Embratel. Floresta Ombrófila Densa Montana.",-15.391667,-39.565278,"Árvore, ca. 19,0 m alt. Folhas discolores. Frutos imaturos verdes.","Ocotea insignis Mez","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","109458","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez","Sem Informação",,"","444","","Paixão, J. L.",2005,6,5,"Brazil","Bahia","CAMACAN","RPPN Serra Bonita. 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre.",-15.391667,-39.565278,,"Ocotea insignis Mez","",,"GBIF"
"","MO","MO","100169466","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez","P.L.R. de Moraes",2008,"","Paixão 444","","J. Lima da Paixão",2005,6,5,"Brazil","Bahia",,"Camacã: RPPN Serra Bonita. 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel. Floresta Ombrófila Densa Montana.",-15.391667,-39.565278,,"Ocotea insignis Mez","",,"GBIF"
"","JBRJ","RB","RB00421868","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez","A. Quinet",2006,"","444","","J. L. Paixão; A. Amorim, Michela Teixeira & L. Carlos",2005,6,5,"Brazil","Bahia","Bahia","Camacã. RPPN Serra Bonita. 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel. RPPN Serra Bonita",-15.391667,-39.565278,"Árvore, ca. 19,0 m altura; folhas discolores; frutos imaturos verdes.","Ocotea insignis Mez","",,"GBIF"
"","NY","NY","01197952","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez","H. H. van der Werff",2008,"","444","","J. L. Paixão",2005,6,5,"Brazil","Bahia",,"Camacã: RPPN Serra Bonita. 9.7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel.",-15.3917,-39.5653,,"Ocotea insignis Mez","",,"GBIF"
"","IF","SPSF","45803","Ocotea insignis","","Lauraceae","Ocotea","insignis","","Mez","J.B.Baitello",2012,"","75","","R.N.C.Teixeira & M.M.M.Lopes",2005,8,5,"Brazil","Es","Santa Maria de Jetibá","a 5 km do municipio",-20.045278,-40.696111,"COLETA: Interior de mata&nf;Árvore 32m altura; odor de terebentina, frutos verde-amarelados.; GEOGRAFIA: Propriedade do Sr. Paulo Sick, Fragmento Florestal.&nf;EX VIC-29933;","Ocotea insignis Mez","",,"GBIF"
