"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB00901061","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","D.A. Folli",2014,"","7227","","D.A. Folli",2014,6,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada boleira.",,,"Terrestre; porte arbóreo, 28m, fuste 10m, CAP 240cm, copa 12m; fruto imaturo verde; exsudação incolor; descamação ausente","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","JBRJ","RB","RB01408104","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P. Moraes",2014,"","3698","","P.L.R. de Moraes; D.A. Folli; M.C. Vergne; M. Cruz",2014,6,23,"Brazil","Espírito Santo","Linhares","Estrada Boleira",-19.223889,-39.97,,"Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","JBRJ","RB","RB01408107","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P. Moraes",2014,"","3687","","P.L.R. de Moraes; M. Cruz",2014,6,20,"Brazil","Espírito Santo","Linhares","Pomar de Frutas Tropicais",-19.140833,-40.068333,,"Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","IF","SPSF","53665","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P.Moraes",2014,"","3687","","P.L.R.Moraes & M.Cruz",2014,6,20,"Brazil","Es","Linhares","Reserva Natural Vale",-19.140833,-40.068056,"COLETA: Árvore de 18m de altura. Frutos imaturos.; GEOGRAFIA: Pomar de Frutas Tropicais.;","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","MBM","MBM","408265","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","Moraes, PLR",2014,"","3698","","Moraes, PLR",2014,6,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Boleira",-19.223861,-39.970111,"Árvore 25 m, frutos imaturos.","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","IF","SPSF","53653","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P.Moraes",2014,"","3716","","P.L.R.Moraes & M.C.Vergne & M.Cruz",2014,9,23,"Brazil","Es","Linhares","Reserva Natural Vale",-19.140833,-40.068056,"COLETA: Árvore de 18m de altura. Fruto em estágio final de maturação.; GEOGRAFIA: Pomar de frutas tropicais.;","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","IF","SPSF","53655","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P.Moraes",2014,"","3721","","P.L.R.de Moraes et al.",2014,9,23,"Brazil","Es","Linhares","Reserva Natural Vale",-19.223889,-39.97,"COLETA: Árvore de 25m de altura. Frutos maduros atropurpúreos.; GEOGRAFIA: Estrada Boleira.;","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","MBM","MBM","408321","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","Moraes, PLR",2014,"","3721","","Moraes, PLR",2014,9,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Boleira",-19.223861,-39.970111,"Árvore 18 m, frutos maduros atropurpúreos.","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","MBM","MBM","408320","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","Moraes, PLR",2014,"","3716","","Moraes, PLR",2014,9,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, pomar de frutas tropicais",-19.140944,-40.068194,"Árvore 18 m, frutos em estágio final de maturação.","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","IAC","IAC","57322","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P.L.R. Moraes",2014,"","3721","","P.L.R. Moraes; M.C. Vergne; M.A.V. Cruz & G.S. Siqueira",2014,9,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, estrada Boleira",-19.223861,-39.970111,"Coordenadas originais: 19º13#?#25.9""S, 39º58#?#12.4""W","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","IAC","IAC","57321","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P.L.R. Moraes",2014,"","3716","","P.L.R. Moraes; M.C. Vergne & M.A.V. Cruz",2014,9,23,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Pomar de Frutas Tropicais",-19.140944,-40.068194,"Coordenadas originais: 19º08#?#27.4""S, 40º04#?#05.5""W","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","JBRJ","RB","RB00897582","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P.L.R. Moraes",2014,"","676","","G.S. Siqueira",2011,10,19,"Brazil","Espírito Santo","Linhares","Estrada aceiro com Pomar de Frutas Tropicais.",,,"Terrestre; porte arbóreo, 14m, fuste 7m, CAP 78cm, copa 5m; fruto imaturo verde, maduro preto; exsudação incolor; descamação ausente","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","MBML","MBML-HERBARIO","44266","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","H. van der Werff/Nov.2015",,"","319","","G.M. Carvalho; L. Daneu & L.C. Gomes",2010,3,13,"Brazil","Bahia","Porto Seguro","RPPN Estação Veracel. Floresta de Tabuleiros. Floresta Alta",-16.5,-39.25,"Árvore ca 25m alt., flores amareladas. Interior de floresta alta. Platô","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","58537","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","Maio, HLR; Moraes, PLR de",2018,"","395","","Carvalho, GM; Daneu, L; Gomes, LC; Paixão, JL da",2010,7,8,"Brazil","Bahia","Porto Seguro","RPPN Estação Veracel. Interior de Floresta Alta, Vale.",-16.5,-39.25,"ca.10m alt.. Folhas discolores. Frutos passados pretos. Coleta proveniente de galho caído no interior da floresta.; Floresta Alta.","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","JBRJ","RB","RB00853955","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil",,,"","3898","","E.P. Queiroz",2009,10,19,"Brazil","Bahia","Lençóis","Folha SD 24-V-A.",,,"Árvore 10m, folhas cartáceas, pêlos esparsos abaxialmente, cálice verde, frutos amarelos","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","JBRJ","RB","RB00853955","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil",,2018,"","3898","","E.P. Queiroz",2009,10,19,"Brazil","Bahia","Lençóis","Folha SD 24-V-A.",-12.563119,-41.394036,"árvore 10m, folhas cartáceas, pêlos esparsos abaxialmente, cálice verde, frutos amarelos","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","58990","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P. Moraes",,"","335","","S. C. de Sant'Ana",1993,7,28,"Brazil","Bahia","UNA","Entrada a direita, no Km 10,4 da Rod. Una/Ilhéus.",,,,"Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","IF","SPSF","09339","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P.R.L.Moraes",,"","77/1980","","A.Rylands & J.L.Hage",1980,11,11,"Brazil","Ba","Una","Estaçao Experimental Lemos Maia",,,"COLETA: Floresta primária.&nf;Nome popular: ""louro pimenta""&nf;árvore 23m altura e 21,3cm de diâmetro.;","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","3872","Ocotea kostermanniana","","Lauraceae","Ocotea","kostermanniana","","Vattimo-Gil","P.L.R.de Moraes",2014,"","23627","","M.T.Monteiro",1972,3,24,"Brazil","Bahia","Belmonte","Fazenda Marambaia",,,"Flores esbranquiçadas perfumadas","Ocotea kostermanniana Vattimo-Gil","",,"GBIF"
