"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01383496","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez","A.Quinet",2017,"","21","","J.Melo; L.P.M. de Moraes; D.N.S. Machado",2016,6,16,"Brazil","Rio de Janeiro","Itaipu","Parque Estadual da Serra da Tiririca. Morro do Telégrafo. Córrego dos Colibris",-22.951389,-43.023056,,"Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","JBRJ","RB","RB00523605","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez","Alexandre Quinet",,"","2645","","A. A. M. de Barros",2006,5,28,"Brazil","Rio de Janeiro","Niterói","Engenho do Mato, Parque Estadual da Serra da Tiririca, Morro do Telégrafo, Sítio Grotão-Manoel Bonfim.",,,"Arvoreta com ca. de 3,0 m de altura, ciófila, folhas membranáceas discolores verdes com óleo essencial, flores verdes, frutos verdes. Visitada por maritacas e sabiás.","Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","JBRJ","RB","RB00523607","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez","Alexandre Quinet",,"","2644","","A. A. M. de Barros",2006,5,28,"Brazil","Rio de Janeiro","Niterói","Engenho do Mato, Parque Estadual da Serra da Tiririca, Morro do Telégrafo, Sítio Grotão-Manoel Bonfim.",,,"Árvore com ca. de 8,0 m de altura, ciófila, folhas membranáceas discolores verdes com óleo essencial, flores verdes, frutos verdes. Visitada por maritacas e sabiás.","Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","LEB","BRASIL","77482-1","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez","S.F.Smith",,"",,"","A.Kegler",2002,6,2,"Brazil","Rio Grande do Sul",,"Caxias do Sul. Vila Oliva",,,"Mata de bracatinga","Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","US","Botany","3444183","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez",,,"","1367","","A. Kegler",2002,6,2,"Brazil","Caxias do Sul",,"Vila Oliva",,,,"Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","MBM","MBM","269649","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez","Smith, SF",,"","1091","","Wasum, R",2001,5,27,"Brazil","Rio Grande do Sul","São Francisco de Paula","Estrada para Taquara",,,,"Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","LEB","BRASIL","76502-1","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez","S.F.Smith",,"",,"","R.Wasum",2001,5,27,"Brazil","Rio Grande do Sul",,"Sao Francisco de Paula. Estrada para Taquara",,,"Na orla da mata","Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","US","Botany","3432556","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez",,,"","1091","","R. Wasum",2001,5,27,"Brazil","São Francisco de Paula",,"Estrada para Taquara",,,,"Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","USP","SPF","212116","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez","Quinet, A",2001,"","603","","Quinet, A",2001,8,28,"Brazil","Minas Gerais","Itamonte","Parque Nacional do Itatiaia",-22.25,-44.566667,,"Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","UEFS","HUEFS","173619","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez",,,"","620","","Quinet, A.",2001,8,29,"Brazil","Minas Gerais","Itamonte","Parque Nacional de Itatiaia. Serra negra, trilha do matão.",-22.25,-44.566667,,"Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","MO","MO","100472421","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez",,,"","Quinet 620","","A. Quinet|et al.",2001,8,29,"Brazil","Minas Gerais",,"Parque Nacional de Itatiaia. Serra Negra, trilha do Matão.",-22.25,-44.566667,,"Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","JBRJ","RB","RB00610477","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez",,,"","620","","A.Quinet; et al.",2001,8,29,"Brazil","Minas Gerais","Itamonte","Parque Nacional de Itatiaia. Serra Negra, trilha do Matão.",-22.25,-44.566667,"Árvore de 13m. de altura, aromática, tronco de casca lisa . Folhas discolores verdes, cartáceas. Flores com tépalas verdes. Semi-ciófila no interior de mata secindárias .","Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","JBRJ","RB","RB00610473","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez",,,"","603","","A.Quinet; et al.",2001,8,28,"Brazil","Minas Gerais","Itamonte","Parque Nacional de Itatiaia. Caminho para Serra Negra.",-22.25,-44.566667,"Árvore de 12m. de altura. aromática. Folhas cartáceas, discolores verdes. Botões com tépalas verdes. Heliófila em áreas descampadas, próximo a borda da mata.","Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
"","NY","NY","02703800","Ocotea microbotrys","","Lauraceae","Ocotea","microbotrys","","(Meisn.) Mez",,,"","603","","A. Quinet",2001,8,28,"Brazil","Minas Gerais",,"Parque Nacional de Itatiaia. Caminho para Serra Negra.",-22.25,-44.566667,,"Ocotea microbotrys (Meisn.) Mez","",,"GBIF"
