"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MBM","MBM","413775","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda","Brotto, ML",2018,"","2615","","Brotto, ML",2018,4,20,"Brazil","Minas Gerais","Diamantina","Parque Estadual Biribiri",-18.157222,-43.595278,"Árvore com 3 m de altura; flores brancas e frutos imaturos.; Floresta Estacional Semidecidual degradada.","Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","IF","SPSF","51233","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda","J.B.Baitello",2016,"","441","","T.A. Pontes & H.van der Werff",2015,2,8,"Brazil","Mg","Grão Mogol","Área de mata no entorno do aeroporto",-16.555833,-42.867222,"COLETA: Tree 7m, opposite leaves, fruit green with double border.&nf;Árvore 7m, folhas opostas, frutos verdes com rima dupla.;","Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","IF","SPSF","51238","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda","J.B.Baitello",2016,"","432","","T.A. Pontes & H.van der Werff",2015,2,8,"Brazil","Mg","Grão Mogol","Área de mata no entorno do aeroporto",-16.555833,-42.867222,"COLETA: Tree 7m, flowers white.&nf;Árvore 7m, flores brancas.;","Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","IF","SPSF","51241","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda","J.B.Baitello",2016,"","418","","T.A. Pontes & H.van der Werff & Seu Deco",2015,2,6,"Brazil","Mg","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, trilha da Baixada das Candeias",-18.116667,-43.366667,"COLETA: Tree 5m, flowers green-whitish&nf;Árvore 5m, flores verdes esbranquiçadas.;","Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","IF","SPSF","51236","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda","J.B.Baitello",2016,"","438","","T.A. Pontes & H.van der Werff",2015,2,8,"Brazil","Mg","Grão Mogol","Área de mata no entorno do aeroporto",-16.555833,-42.867222,"COLETA: Tree 7m, opposite leaves, fruit green with double border.&nf;Árvore 7m, folhas opostas, fruto verde com fronteira dupla.;","Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","JBRJ","RB","RB01360262","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda","L.C.S.ASSIS , C.C.A.Silva",,"","583","","P.L. Ribeiro; Turma de Agronomia 2013.2",2014,2,11,"Brazil","Bahia","Palmeiras","Vale do Capão, trilha para a cachoeira do Rio Preto, campo rupestre/mata ciliar.",-12.604722,-4.525833,,"Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150561","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda",,,"","72","","Rocha, F.O.",2014,8,15,"Brazil","Bahia","IBIRATAIA","Conglomerado BA_1144-4-8-6",-14.04,-39.600278,"<ll>dwc_commonname:</ll>","Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","MO","MO","100874510","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda",,,"","Moraes 4510","","Pedro L.R. de Moraes|H. van der Werff|Lukas Daneu",2014,12,10,"Brazil","Bahia",,"APA do Pratigi, Serra da Papuã.",,,,"Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","UFRB","HURB","14191","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda",,,"","808","","Victor Jr., V.",2013,1,12,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Ocotea oppositifolia S.Yasuda","",,"GBIF"
"","UFRB","HURB","14190","Ocotea oppositifolia","","Lauraceae","Ocotea","oppositifolia","","S.Yasuda",,,"","261","","Victor Jr., V.",2013,1,18,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Ocotea oppositifolia S.Yasuda","",,"GBIF"
