"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Regional de Blumenau, FURB","FURB","62090","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet",,,"","136","","Vergne, M.C.; van de Werff, H.; Ponte, T.A; Cruz, M.",2015,11,27,"Brazil","Espírito Santo","Santa Teresa","Trilha do palmito. Trilha do Palmito. Estação Ecológica de Santa Lúcia",-19.969167,-40.530556,"Imature fruits Habito: Árvore","Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","MO","MO","100969922","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet",,,"","Vergne 136","","Matheus C. Vergne|H. van der Werff|A. Pontes|M. Cruz",2015,11,27,"Brazil","Espírito Santo",,"Santa Lúcia. Estação Ecológica de Santa Lúcia, Trilha do Palmito.",-19.969306,-40.530611,,"Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","MBM","MBM","408280","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet","Vergne, MC",,"","136","","Vergne, MC",2015,11,27,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia, trilha do Palmito",-19.969306,-40.530611,"Tree 15 m, frutis mature.","Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","Reserva Natural Vale","CVRD","15434","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet","Pedro L.R. Moraes",2014,"","3727","","P.L.R. Moraes, M.C. Vergne, M.C. Cruz",2014,9,24,"Brazil","Es","SOORETAMA",,-19.142222,-40.075694,"Arvore de 8 m <ll>dwc_commonname:</ll> Canela pimenta","Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","Reserva Natural Vale","CVRD","15437","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet","Pedro L.R. Moraes",2014,"","3730","","P.L.R. Moraes, M.C. Vergne, M.C. Cruz",2014,9,24,"Brazil","Es","SOORETAMA",,-19.142222,-40.075694,"Arvore de 12 m <ll>dwc_commonname:</ll> Canela pimenta","Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","63618","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet","Moraes, P.L.R. de",2014,"","3727","","Cruz, M.",2014,9,24,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale",-19.142222,-40.075694,"Árvore 8m, frutos maduros atropurpúreos.","Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","63621","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet","Moraes, P.L.R. de",2014,"","3730","","Cruz, M.",2014,9,24,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale",,,"Árvore 12m, frutos maduros atropurpúreos.","Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","MBM","MBM","408287","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet","Moraes, PLR",2014,"","3727","","Moraes, PLR",2014,9,24,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, MME",-19.142222,-40.075694,"Árvore 8 m, frutos maduros atropurpúreos.","Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","61535","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet","Moraes, P.",2013,"","3610","","Moraes, P.L.R. de",2013,10,27,"Brazil","Espírito Santo","Linhares","Estrada Peroba Amarela",,,"Árvore 17 m, frutos imaturos","Ocotea pluridomatiata A.Quinet","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","HRCB","59824","Ocotea pluridomatiata","","Lauraceae","Ocotea","pluridomatiata","","A.Quinet","Moraes, P.",2012,"","3478","","Moraes, P.L.R. de",2012,7,10,"Brazil","Espírito Santo","Linhares","Estrada Peroba Amarela. 1100 metros.",-19.171528,-39.987306,"Árvore, 12 m, flores verde claras. <ll>dwc_commonname:</ll> Canela pimenta","Ocotea pluridomatiata A.Quinet","",,"GBIF"
