"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01384771","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","Brotto, M.L.",,"","1369","","Voltz, R.R.",2017,9,27,"Brazil","Paraná","Antonina","Fazenda Guaricia - SPVS",-25.242222,-48.674444,"Arvoreta 6 m alt.; frutos verdes; folhas com face abaxial glauca","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","27583","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","M.L. Brotto",2017,"","1369","","R.R. Völtz",2017,9,27,"Brazil","Pr","Antonina","Fazenda Guaricica, SPVS",-25.242222,-48.674444,"arvoreta 6 m alt. Frutos verdes. Folhas com face abaxial glauca. Floresta secundária em topo de morro.","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","16388","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","Brotto, M.L.",2017,"","1369","","Völtz, R.R.; et al.",2017,9,27,"Brazil","Paraná","Antonina","Fazenda Guaricica, SPVS",-25.2422,-48.6744,"Arvoreta 6 m, frutos verdes; folhas com face abaxial glauca, em topo de morro. Floresta Ombrófila Densa Submontana secundária","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","UFPR","UPCB","95042","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","Brotto, M.L.",2017,"","1369","","Völtz, R.R.",2017,9,27,"Brazil","Paraná","Antonina","Fazenda Guaricia - SPVS",-25.242222,-48.674444,"Floresta Ombrófila Densa Submontana secundaria, em topo de morro. Arvoreta 6 m alt.; frutos verdes, folhas com face abaxial glauca","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","55999","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","Kassner-Filho, A.",2017,"","1395","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.",2017,11,8,"Brazil","Santa Catarina","Santo Amaro da Imperatriz",,-27.72,-48.78,"fruto imaturo Habitat: interior do fragmento Habito: árvore","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","MBM","MBM","409929","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","Brotto, ML",2017,"","2567","","Brotto, ML",2017,12,6,"Brazil","Paraná","Adrianópolis","estrada da Berneck a Tatupeba",-24.823056,-48.706389,"Árvore com 7 metros de altura; fruto imaturos.; Floresta Ombrófila Densa Submontana.","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","MBM","MBM","409920","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","Brotto, ML",2017,"","2558","","Brotto, ML",2017,12,6,"Brazil","Paraná","Adrianópolis","estrada da Berneck a Tatupeba",-24.76125,-48.727667,"Árvore com 10 metros de altura; frutos imaturos verdes e flores secas.; Floresta Ombrófila Densa Montana.","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","22324","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","M.L. Brotto",2016,"","9361","","J.M. Silva",2016,7,15,"Brazil","Pr","Guaratuba","Balneário Eliane",-25.911389,-48.583333,"árvore com 5 m de altura; flor creme.","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","IF","SPSF","51775","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","M.L. Brotto",2016,"","9361","","J.M. Silva",2016,7,15,"Brazil","Pr","Guaratuba","Balneário Eliane",-25.911389,-48.583333,"COLETA: Árvore com 5 m de altura; flor creme.; GEOGRAFIA: Floresta Ombrófila Densa das Terras Baixas;","Ocotea pulchra Vattimo-Gil","",,"GBIF"
"","UEFS","HUEFS","234379","Ocotea pulchra","","Lauraceae","Ocotea","pulchra","","Vattimo-Gil","M.L.Brotto",2016,"","9361","","Silva, J.M.",2016,7,15,"Brazil","Paraná","Guaratuba","Balneário Eliane.",-25.911389,-48.583333,"Floresta Ombrófila Densa das Terras Baixas.","Ocotea pulchra Vattimo-Gil","",,"GBIF"
