"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MBML","MBML-HERBARIO","50349","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez",,,"","195","","A.D. Ferreira; P.J. Coelho",2014,9,12,"Brazil","Espírito Santo","Santa Teresa","RPPN Vale do Sol, Floresta Ombrófila Densa, trilha do lado esquerdo do cafezal, próximo ao córrego",,,"Árvore 3m. Frutos verdes e maduros","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00952100","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",2013,"","1627","","G.R. Souza",2013,6,14,"Brazil","Rio de Janeiro","Resende","Parque penedo.",-22.416667,-44.35,"Arbusto 3 m de alt.; flor branca esverdeada, cheiro caracteristico, folha glabra","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00594280","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez",,,"",,"","Rosangela A. Tristão",2008,8,,"Brazil","Rio de Janeiro","Silva Jardim","Faz. Biovert.",,,"Com flor.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00492546","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",,"","1895","","M. Nafruz; T. Cabral, P. Godinho & C. Parvo",2007,6,27,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional Serra dos Orgãos, vale do Soberbo, Rio Soberbo, subindo o rio. .",-22.489167,-43.013333,"Árvore; pecíolo esverdeado, lâmina membranácea esverdeada, levemente discolor, frutos sésseis, jovens esverdeados.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00531174","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A.Quinet",,"","42","","A.C.Giannerini; D.Monteiro",2006,12,2,"Brazil","Rio de Janeiro","Itatiaia","Trilha dos Três Picos.",,,"Árvore ca. 7m, ciófila. Folhas discolores verdes com nervuras principal amareladas na face abaxial; catáceas. Fruto seco enegrecido.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","94312","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez",,,"","105","","Ferreira, RM; França, GS",2005,4,16,"Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação Ambiental de Peti.",,,"Arbórea, área do Bom Será","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","UEFS","HUEFS","173622","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez",,,"","471","","Lima, M.P.M.",2005,9,10,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Trilha para o Lago Azul. Próximo ao rio.",,,,"Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00475848","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez",,,"","471","","M.P.M. de Lima; M. Barros",2005,9,10,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional de Itatiaia. Trilha para o Lago Azul. Próximo ao rio.",,,"Árvore, ca. 7 m de altura; inflorescência jovem.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00585147","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",,"","5455","","Amorim, A.M; et.al",2005,10,30,"Brazil","Bahia","Camacan","RPPN  Serra  Bonita,  9,7  Km  W  de  Camacan  na  estrada  para  Jacareci,  daí  8  Km  SW  na  estrada  para  a  RPPN  e  a  Torre  da  Embratel,  Trilha  nova  que  vai  da  base  da  torre  ao  alojamento.",-15.383333,-39.565278,"Árvore ca. 15 m alt. Raque verde, corola alva. Flores em álcool 70%","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00131217","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",,"","2959","","R.C. Forzza; L. C. S. Assis, J. G. Jardim, E. Lucas, B. R. Silva, M. Sobral, S. Edwards e D. Zappi",2004,3,7,"Brazil","Minas Gerais","Descoberto","Subida para a rampa da Pedra do Relogio, a 9,3km da entrada da Reserva Biológica da Represa.",,,"Arvoreta 4m alt, frutos verdes, 5ex.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","132419","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. C. Giannerini & A.Quinet",,"","6","","A. C. Giannerini",2004,8,10,"Brazil","Rio de Janeiro","ITATIAIA","Trilha dos Tres Picos.",-22.438056,-44.610278,,"Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00475809","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A.C.Giannerini & A.Quinet",2006,"","6","","A.C.Giannerini; A.Quinet, M.C.Silva, D.M.Ferreira",2004,8,10,"Brazil","Rio de Janeiro","Itatiaia","Trilha dos Tres Picos.",-22.438055,-44.610278,"Árvore de 6m de altura, semi-ciófila, folhas discolores verdes, cartaceas, botões florais verdes","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","NY","NY","02703808","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez",,,"","6","","A. C. Giannerini",2004,8,10,"Brazil","Rio de Janeiro",,"Trilha dos Tres Picos.",-22.438055,-44.610278,,"Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","94273","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez",,,"","66","","Ferreira, RM; França, GS; Stehmann, JR",2004,12,8,"Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estação Ambiental de Peti.",,,"Arbóreo, 4m, frutos imaturos verdes, Vertedouro","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00484506","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",,"","2425","","R.R.Vervloet; W.Pizziolo",2003,5,14,"Brazil","Espírito Santo","Santa Teresa","Nova Lombardia. Estada para João Neiva, parte inicial.",,,"Arvoreto de 5m , frutos imaturos de cor verde, passando a amarelado. Ramos com galhos, baixada, dossel 14m.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00131302","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",,"","2106","","R.C. Forzza; V.R. Almeida & B.K.S. Franco",2002,3,23,"Brazil","Minas Gerais","Minas Gerais","Descoberto, Reserva Biológica da Represa do Grama. Reserva Biológica da Represa do Grama",,,"Arbusto 2m. alt. Frutos verdes com hipanto vináceo.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","36935","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",2006,"","2106","","R.C. Forzza; V.R. Almeida; B.K.S. Franco",2002,3,23,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Arbusto 2m alt. Frutos verdes com hipanto vináceo.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","38743","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",2006,"","568","","L.C.S. Assis; R.C. Forzza; L.D. Meireles; V.R. Scalon; L. Menini Neto; V.R. Almeida",2002,9,21,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Arvoreta ca 4m no interior da mata, folhas discolores com domácias, perianto verde e estames amarelos. Frequente.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","38744","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",2006,"","570","","L.C.S. Assis; R.C. Forzza; L.D. Meireles; V.R. Scalon; L. Menini Neto; V.R. Almeida",2002,9,21,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Arvoreta ca 3m no interior da mata, folhas discolores com domácias, perianto verde, verticilos masculinos amarelos. Frequente.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00131225","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",,"","568","","L. C. S. Assis; R. C. Forzza, L. D. Meireles, V. R. Scalon, L. M. Neto e V. R. Almeida",2002,9,21,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama. Reserva Biológica da Represa do Grama",,,"Arvoreta ca. 4m. Folhas discolores com domácias, perianto verde e estames amarelos. Frequente.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","JBRJ","RB","RB00131312","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",,"","570","","L.C.S. Assi; R.C. Forzza, L.D. Meirelles, V.R. Scalon, L.M. Neto e V.R. Almeida",2002,9,21,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama. Reserva Biológica da Represa do Grama",,,"Arvoreta ca. 3m. no interior da mata , fls. discolores com domácias, perianto verde, verticilos masculinos.  Frequente.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","33596","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","A. Quinet",2006,"","426","","R.M. Castro; L.F.A. Fazza; V.R. Almeida; L.S. Fernandes; R.C. Forzza",2001,5,27,"Brazil","Minas Gerais","Descoberto","Reserva Biológica da Represa do Grama",,,"Arvoreta no interior da mata, com ca 4m de alt. Frutos pendentes. Receptáculo floral vermelho ou verde.","Ocotea tenuiflora (Nees) Mez","",,"GBIF"
"","MO","MO","3136938","Ocotea tenuiflora","","Lauraceae","Ocotea","tenuiflora","","(Nees) Mez","H. v. d. Werff",2001,"","Castro 426","","Castro",2001,5,27,"Brazil",,,"MG. Descoberto. Reserva Biologica da Represa do Grama.",,,,"Ocotea tenuiflora (Nees) Mez","",,"GBIF"
