"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNIVILLE","JOI","11442","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","A. Stival-Santos",2010,"","1658","","A. Stival-Santos",2010,2,1,"Brazil","Santa Catarina","Angelina","Rancho das TÃ¡buas.",-27.630278,-49.049444,"; HABITAT: interior do fragmento; HABITO: arbÃ³rea; TIPO VEGETACIONAL: EcÃ³tono Floresta O. Densa e F.O. Mista","Ocotea urbaniana Mez","",,"GBIF"
"","Universidade Estadual do Centro-Oeste","HUCO","3350","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","Stival-Santos, A.",2010,"","2634","","Stival-Santos, A.; et al.; et al.",2010,4,8,"Brazil","Santa Catarina","Major Gercino","Rio Fortuna",,,"Florística IFFSC 386, Lat.: 27° 27' 02"" S; Log.: 49° 03' 00"" O; Altitude: 841 m, FURB 25495; 15 metros, estádio de sucessão avançado; Floresta Ombrófila Mista; HABITAT: Floresta Ombrófila Mista; DESC: 15 metros, estádio de sucessão av","Ocotea urbaniana Mez","",,"GBIF"
"","JBRJ","RB","RB00134472","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","A. Quinet",2006,"","5513","","Haroldo C. de Lima; A.T. Brito; M. Leitman; D. Muller & S. Hogstrom",1997,12,13,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, Rio Flores, trilha para Pirineus, entre Pirineus e Vale do Rio das Flores.",,,"Arvoreta com 5 m alt. Botões asmarelo-ferrugineo. Folhas com face dorsal ferruginea. Frequente.","Ocotea urbaniana Mez","",,"GBIF"
"","IF","SPSF","20440","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez",,,"","817","","N.M.Ivanauskas & F.F.Mazine",1996,6,1,"Brazil","Sp","Pariquera-Açú","floresta atlantica",,,"COLETA: XLS: SPSFAntigo;","Ocotea urbaniana Mez","",,"GBIF"
"","UNICAMP","UEC","75862","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","Baitello, JB",,"","470","","Godoy, SAP; Pereira, DL; Ferreira, GMP; Garcia, RJF; Sordi, SJ",1995,4,19,"Brazil","São Paulo","Parelheiros","Camping Ana Paula. Área ajardinada.",-23.9,-46.774444,"Árvore ca. 14,0 m alt, DAP 0,25 m. Frutos imaturos verdes.","Ocotea urbaniana Mez","",,"GBIF"
"","Instituto de Botânica","SP","291575","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","Nicolau, SA",1996,"","5825","","Souza, VC; Moraes, PLR; Vitti, FX",1994,4,17,"Brazil","São Paulo","Itirapina","Estrada entre Itirapina e São Carlos, a ca. 9 km de Itirapina",-22.180278,-47.883056,,"Ocotea urbaniana Mez","",,"GBIF"
"","IAC","IAC","40845","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","S. Aragaki",1994,"","493","","S. Aragaki",1994,12,3,"Brazil","São Paulo","São Paulo","Parque Municipal Alfredo Volpi",-23.5475,-46.6361,,"Ocotea urbaniana Mez","",,"GBIF"
"","UEFS","HUEFS","29357","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez",,,"","61471","","Hatschbach, G.",1994,12,8,"Brazil","Paraná","Cerro Azul","Mato Preto, estrada para Ribeirão do Rocha.",,,"Mata pluvial.","Ocotea urbaniana Mez","",,"GBIF"
"","UnB","UB","150187","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","Werff, HVD",1995,"","61471","","Hatschbach, G",1994,12,8,"Brazil","Paraná","Cerro Azul","Mato Preto, estrada para Ribeirão do Rocha",,,"Alt. 600m; Árvore 25m, flor creme, odorífera. Verso das folhas ferrugíneas; Mata pluvial","Ocotea urbaniana Mez","",,"GBIF"
"","MO","MO","1460400","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","H. van der Werff (MO)",1995,"","Hatschbach 61471","","Gert G. Hatschbach|J.M. Silva",1994,12,8,"Brazil","Paraná",,"Mato Preto, estada para Rib. do Rocha (mun. Cerro Azul).",,,,"Ocotea urbaniana Mez","",,"GBIF"
"","NY","NY","537963","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","H. H. van der Werff",1995,"","61471","","G. G. Hatschbach",1994,12,8,"Brazil","Paraná",,"Mato Preto, estrada para Ribeirao do Rocha",-24.827473986578,-49.2613934968235,,"Ocotea urbaniana Mez","",,"GBIF"
"","MA","MA","MA-01-00582169","Ocotea urbaniana","","Lauraceae","Ocotea","urbaniana","","Mez","H. van der Werff",1995,"","61471","","G. Hatschbach & J. M. Silva",1994,12,8,"Brazil",,,"Mato Preto, estrada para Ribeirao do Rocha (mun. Cerro Azul) Paran",,,,"Ocotea urbaniana Mez","",,"GBIF"
