"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MBM","MBM","406316","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","Brotto, ML",2016,"","2318","","Brotto, ML",2016,8,4,"Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Trilha do Bracinho",-25.167222,-48.278056,"Árvore com 16 m de altura; ritidoma cinza escuro com lenticelas, casca interna castanha, odor suave um tanto cítrico. Flores brancas.; Floresta Ombrófila Densa Submontana.","Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","MBM","MBM","406315","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","Brotto, ML",2016,"","2317","","Brotto, ML",2016,8,4,"Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, Trilha do Bracinho",-25.166111,-48.277778,"Árvore com 18 m de altura; ritidoma cinza escuro com lenticelas, casca interna castanha, odor suave um tanto cítrico. Flores brancas.; Floresta Ombrófila Densa Submontana.","Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","Instituto de Botânica","SP","490604","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","Aragaki, S; Petri, L",2016,"","1123","","Petri, L; Biasoli, SM",2016,10,13,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga",,,,"Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","IF","SPSF","51757","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","M.L. Brotto",2017,"","2369","","M.L. Brotto & F. Marinero",2016,12,19,"Brazil","Pr","Guaraqueçaba","Reserva Natural Salto Morato",-25.1575,-48.293056,"COLETA: Árvore com 20 m de altura; fruto na fase final de desenvolvimento com cúpula vermelha. Madeira com odor levemente cítrico de intensidade moderada.; GEOGRAFIA: Floresta ombrófila densa submontana. Topo do morro.;","Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","UEFS","HUEFS","232085","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","M.L.Brotto",2017,"","2369","","Brotto, M.L.",2016,12,19,"Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, topo do morro.",-25.1575,-48.293056,"Floresta Ombrófila Densa Submontana.","Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","MBM","MBM","407321","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","Brotto, ML",2017,"","2369","","Brotto, ML",2016,12,19,"Brazil","Paraná","Guaraqueçaba","Reserva Natural Salto Morato, topo do morro",-25.157444,-48.293,"Árvore com 20 m de altura; fruto na fase final de desenvolvimento com cúpula vermelha. Madeira com odor levemente cítrico de intensidade moderada.; Floresta Ombrófila Densa Submontana.","Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","JBRJ","RB","RB01420427","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","M.L. Brotto",,"","2369","","M.L. Brotto; F. Marinero",2016,12,19,"Brazil","Paraná","Guaraqueçaba","Reserva Natural Santo Morato, topo do morro.",-25.1575,-48.293055,,"Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","128525","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello",,,"","902","","Delfini, C.",2013,3,30,"Brazil","São Paulo","Tapiraí","Região da UHE Fumaça, trilha do Chagas. Floresta Ombrófila Densa, à margem esquerda do rio Juquiá.",-24.01321,-47.29359,"Indivíduo jovem, ca. 2m alt.","Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","134447","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","Lima, R.A.F.",2014,"","807","",,2013,3,26,,,,,,,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 19523. Altura: 5m","Ocotea venulosa (Nees) Baitello","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","123694","Ocotea venulosa","","Lauraceae","Ocotea","venulosa","","(Nees) Baitello","Ivanauskas, N.M.",2013,"","1082","","Colletta, G.D. ; Souza, V.C.",2013,4,30,"Brazil","São Paulo","Tapiraí","Reserva Particular da Votorantim (CBA), Trilha da Serraria.",,,"Árvore, 4m","Ocotea venulosa (Nees) Baitello","",,"GBIF"
