"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","IF","SPSF","51753","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","M.L. Brotto",2017,"","2375","","M.L. Brotto & E.D. Lozano",2017,1,17,"Brazil","Pr","Adrianópolis","Parque estadual das lauráceas",-24.863889,-48.716944,"COLETA: Árvore com 5 m de altura; flores castanho-amareladas.; GEOGRAFIA: Floresta ombrófila densa altomontana.;","Persea alba Nees & Mart.","",,"GBIF"
"","MBM","MBM","407583","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","Brotto, ML",2017,"","2375","","Brotto, ML",2017,1,17,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas",-24.863889,-48.716944,"Árvore com 5 m de altura; flores castanho-amareladas.; Floresta Ombrófila Densa Altomontana.","Persea alba Nees & Mart.","",,"GBIF"
"","JBRJ","RB","RB01409425","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","M.L. Brotto",2017,"","2375","","M.L. Brotto; E.D. Lozano",2017,1,17,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas.",-24.863889,-48.716944,,"Persea alba Nees & Mart.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","16277","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","Brotto, M.L.",2017,"","2375","","Brotto, M.L.",2017,1,17,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas",-24.8639,-48.7169,"Árvore com 5 m de altura; flores castanho-amareladas. Floresta Ombrófila Densa Altomontana","Persea alba Nees & Mart.","",,"GBIF"
"","MBM","MBM","408360","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","Brotto, ML",2017,"","2432","","Brotto, ML",2017,3,21,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas, cume do morro Geremias",-24.830278,-48.693333,"Arbusto com 1,8 m de altura; frutos imaturos verdes.; Refúgio Vegetacional Altomontano (campo rupestre sobre quartzito).","Persea alba Nees & Mart.","",,"GBIF"
"","JBRJ","RB","RB01411946","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","M.L. Brotto",2017,"","2432","","M.L. Brotto; R.R. Voltz",2017,3,21,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas, cume do morro Geremias.",-24.830278,-48.693333,,"Persea alba Nees & Mart.","",,"GBIF"
"","MBM","MBM","409710","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","Brotto, ML",2017,"","2478","","Brotto, ML",2017,6,28,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas, topo de morro",-24.855833,-48.687778,"Arvoreta com 3,5 metros de altura; frutos imaturos.; Floresta Ombrófila Densa Altomontana.","Persea alba Nees & Mart.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","45695","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","Oliveira, AA de",2015,"","1099","","Oliveira, A.A. de",2015,2,8,"Brazil","Santa Catarina","Botuverá","Localidade de """".",-27.268611,-49.051944,"Fito IFFSC 468 /S/24","Persea alba Nees & Mart.","",,"GBIF"
"","IF","SPSF","51242","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","J.B.Baitello",2016,"","417","","T.A. Pontes & H.van der Werff & Seu Deco",2015,2,6,"Brazil","Mg","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto, trilha da Baixada das Candeias",-18.116667,-43.366667,"COLETA: Tree 3m, imature fruit green. DNA.&nf;Árvore 3m, frutos imaturos verdes. DNA.;","Persea alba Nees & Mart.","",,"GBIF"
"","MBM","MBM","388313","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","Brotto, ML",2014,"","1551","","Brotto, ML",2014,3,2,"Brazil","Paraná","Piraquara","pico Alvorada 3",-25.485881,-48.958142,"Arbusto de 1,5m; frutos imaturos.; Refúgio Vegetacional Altomontano (campo de altitude).","Persea alba Nees & Mart.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","17104","Persea alba","","Lauraceae","Persea","alba","","Nees & Mart.","Brotto, M.L.",2014,"","1551","","Brotto, M.L.",2014,3,2,"Brazil","Paraná","Piraquara","Pico Alvorada 3",-25.4858,-48.9581,"Arbusto de 1,5 m; frutos imaturos. Campo de altitude","Persea alba Nees & Mart.","",,"GBIF"
