"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MO","MO","100874415","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.","P.L.R. de Moraes",2015,"","Moraes 4715","","Pedro L.R. de Moraes|H. van der Werff|Tiago Arruda Pontes|M. Cruz",2015,1,27,"Brazil","Espírito Santo",,"Reserva Biológica de Santa Lúcia.",,,,"Persea caesia Meisn.","",,"GBIF"
"","MO","MO","100874412","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.",,,"","Moraes 4708","","Pedro L.R. de Moraes|H. van der Werff|Tiago Arruda Pontes|M. Cruz",2015,1,27,"Brazil","Espírito Santo",,"Reserva Biológica de Santa Lúcia.",,,,"Persea caesia Meisn.","",,"GBIF"
"","IF","SPSF","51264","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.",,,"","4708","","P.L.R. de Moraes & H.van der Werff & T.A. Pontes & M. Cruz",2015,1,27,"Brazil","Es","Santa Teresa","Reserva Biológica de Santa Lúcia",,,"COLETA: Árvore 15m, flores amareladas, frutos imaturos, pedúnculos vermelhos.;","Persea caesia Meisn.","",,"GBIF"
"","IF","SPSF","51339","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.","P.L.R. de Moraes",2015,"","4715A","","P.L.R. de Moraes & H. van der Werff & T.A. Pontes & M. Cruz",2015,1,27,"Brazil","Es","Santa Teresa","Reserva Biológica de Santa Lúcia",,,"COLETA: Árvore 18m, frutos imaturos.;","Persea caesia Meisn.","",,"GBIF"
"","IF","SPSF","51333","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.","P.L.R. de Moraes",2015,"","4715","","P.L.R. de Moraes & H. van der Werff & T.A. Pontes & M. Cruz",2015,1,27,"Brazil","Es","Santa Teresa","Reserva Biológica de Santa Lúcia",,,"COLETA: Árvore 18m, frutos imaturos.;","Persea caesia Meisn.","",,"GBIF"
"","MBM","MBM","408275","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.","Moraes, PLR",,"","4708","","Moraes, PLR",2015,1,27,"Brazil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia",-19.969722,-40.536389,"Árvore 15 m, flores amareladas, frutos imaturos, pedúnculos vermelhos.","Persea caesia Meisn.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","136573","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.","Moraes, PLR",2015,"","4715","","Moraes, PLR; Werff, HVD; Pontes, TA; Cruz, M",2015,1,27,"Brazil","Espírito Santo","Santa Teresa","Reserva Biológica de Santa Lúcia.",,,"Árvore 18 m, frutos imaturos.","Persea caesia Meisn.","",,"GBIF"
"","MO","MO","100874543","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.",,,"","Moraes 4789","","Pedro L.R. de Moraes|H. van der Werff|Lukas Daneu",2015,2,15,"Brazil","Bahia",,,,,,"Persea caesia Meisn.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","62095","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.","van de Werff, H.",,"","190","","Vergne, M.C.; van de Werff, H.; Ponte, T.A; Cruz, M.",2015,11,29,"Brazil","Espírito Santo","Santa Teresa","Trilha do Sagui. Estação Ecológica de Santa Lúcia",,,"flowers and buds yellowih Habito: Árvore","Persea caesia Meisn.","",,"GBIF"
"","MO","MO","100969927","Persea caesia","","Lauraceae","Persea","caesia","","Meisn.",,,"","Vergne 190","","Matheus C. Vergne|H. van der Werff|A. Pontes|M. Cruz",2015,11,29,"Brazil","Espírito Santo",,"Santa Lúcia. Estação Ecológica de Santa Lúcia, Trilha do Tapinoã.",,,,"Persea caesia Meisn.","",,"GBIF"
