"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","IAC","IAC","53917","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna","D.R.C. Ribeiro",2013,"","36","","D.R.C. Ribeiro",2012,4,16,"Brazil","São Paulo","Campinas","IAC, Fazenda Santa Elisa, Fitoquímica",-22.870251,-47.077171,"material não localizado no acervo! coordenada medida: 22°52#?#22""S, 47°04#?#62""W","Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","UNICAMP","UEC","79850","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna","Ferreira, CDM",2018,"","2002","","Stival-Santos, A; Legal, E; Silveira, S",2010,3,10,"Brazil","Santa Catarina","Florianópolis","Parque Municipal Lagoa do Peri",-27.7175,-48.5275,"Florística IFFSC 8003; Estádio suces.: Avançado; altura: 7 m; flor amarela; Em torno do Fragmento. Floresta ombrófila Densa Submontana","Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","FLAS",,"219313","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna",,,"",,"","Stephen H. Brown",2006,8,2,"United States of America","Florida",,,,,"[Common name:] Silk Floss Tree  --[Label note:] Submitted for identification by Stephen H. Brown, Lee County Cooperative Extension Service.","Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","FLAS",,"219314","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna",,,"",,"","Stephen H. Brown",2006,8,2,"United States of America","Florida",,,,,"[Common name:] Silk Floss Tree  --[Label note:] Submitted for identification by Stephen H. Brown, Lee County Cooperative Extension Service.","Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","4281","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna","H. Lorenzi",2001,"","2614","","H. Lorenzi",2001,3,19,"Brazil","Rs","Porto Alegre","Cultivada nas proximidades da cidade.",,,,"Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","Jardim Botânico Plantarum","HPL","4282","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna","H. Lorenzi",2001,"","2613","","H. Lorenzi",2001,3,19,"Brazil","Rs","Porto Alegre","Cultivada nas proximidades da cidade.",,,,"Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","JBRJ","RB","RB00947042","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna","M.G. Bovini",2004,"","4912","","C.Farney; J.C.Gomes",2000,9,20,"Brazil","Rio de Janeiro","São Pedro da Aldeia","Serra de Sapiatiba, Floresta Estacional Semidecídua, Vertente Sul, entre 260 e 289 msm.",,,"Arvoreta; 4 m de altura, DAP 4,5 cm; tronco com acúleos; folhas verdes discolores. Indivíduo SAP 1 - 39. (Material testemunho: Sá,C.F.C. 2006. Estrutura, Diversidade e Conservação de Angiospermas no Centro de Diversidade de Cabo Frio, Estado do Rio de Janeiro. Tese de Doutorado. UFRJ/PPGE. 250 p.)","Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","JBRJ","RB","RB00059085","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna","Carlos D.M. Ferreira",2015,"","1881","","L.C.S. Giordano; M.G. Borini e J.C. Silva",1995,3,30,"Brazil","Rio de Janeiro","Rio de Janeiro","Parati - Estrada para o Corisco (lado direito), paralela ao Rio Mateus Nunes. Aréa de Proteção Ambiental Cairuçu",,,"Arvore de 10 metros de altura, heliófila, folíolos membranáceos discolores, botões verde claro, flores levemente aromáticas com pétalas rosas, alvo amareladas na porção basal e com máculas vinosas.","Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","UEFS","HUEFS","199068","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna",,,"","544","","Vieira, C.M.",1994,2,26,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, aprox. da Fazenda Ouro Verde.",,,,"Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
"","MBM","MBM","405239","Ceiba crispiflora","","Malvaceae","Ceiba","crispiflora","","(Kunth) Ravenna","Crismun, PZ",2002,"","544","","Vieira, CM",1994,2,26,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, aprox. da Fazenda Ouro Verde",,,"Árvore de 16 m de alt. Tronco e ramos aculeados. Folhas discolores verdes. Pedicelo amarelado; botões verdes, flores com cálice verde-amarelado; pétalas com bordo ondulado, corola alvo-vinosa na face externa, na face interna amarelad","Ceiba crispiflora (Kunth) Ravenna","",,"GBIF"
