"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","122128","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague","Guedes, ML",2015,"","24140","","Guedes, ML; Chagas, F das; Silveira, ER",2015,10,6,"Brazil","Maranhão","Barra do Corda","Cachoeira do Rio do Corda.",-5.688056,-45.292778,"de ca 10 m de altura. Folhas cartáceas, discolores. Flores com pétalas alvas. Fruto cápsula.","Mollia burchellii Sprague","",,"GBIF"
"","Universidade Federal do Ceará, UFC","EAC","59564","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague","Guedes, M.L.",2015,"","24140","","Guedes, M.L.",2015,10,6,"Brazil","Maranhão","Barra do Corda","cachoeira do Rio do Corda.",-5.688056,-45.292778,"Árvore, ca. 10 m, folhas cartáceas, discolores, flores com pétalas alvas, fruto cápsula.; Mata ciliar.","Mollia burchellii Sprague","",,"GBIF"
"","JBRJ","RB","RB00872571","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague","A.S.F. Vaz",2011,"","6377","","M.L. Fonseca; F.C.A. Oliveira; A.P. Silva Filho; B.S. Barros",2010,3,21,"Brazil","Tocantins","Araguacema","Folha: SC-22-X-C. Bacia do Araguaia. Sub-bacia do rio Caiapó. (A-7, área 9, pto 8). Povoado de Santa Clara.",-9.186667,-49.137222,"Árvore heliófita ca. 12m altura e 20cm DAP. Folhas cartáceas, discolores. Frutos maduros marrons. Comum","Mollia burchellii Sprague","",,"GBIF"
"","Universidade Estadual de Londrina, UEL","FUEL","51438","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","1783","","Santos, ER; Pereira, AC",2009,10,23,"Brazil","Tocantins",,"Floresta Estacional Semidecidual, ao lado da ponte sobre Lago da UHE Lajeado, na estrada Luzimangue-Miracema",-9.782611,-48.414389,"Árvore com cerca de 5m de altura. Cálice, corola e gineceu de cor branca/creme, filete branco com anteras marrons.","Mollia burchellii Sprague","",,"GBIF"
"","UNITINS","HUTO","2303","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","1783","","Santos, E.R.",2009,10,23,"Brazil","Tocantins","Miracema do Tocantins","Ao lado da UHE Lajeado",-9.782611,-48.414389,"Árvore com cerca de 5 m de altura. Cálice, corola e gineceu de cor branca/creme, filete branco com anteras marrons; Floresta estacional semidecidual","Mollia burchellii Sprague","",,"GBIF"
"","UNITINS","HUTO","3533","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague","Haidar, R.F.",2008,"","818","","Haidar, R.F.",2008,7,12,"Brazil","Tocantins","Pium","Neossolo quartzarêncio",-10.189167,-49.493889,"Árvore 8 m de altura. Flores amarelas e brancas. Frutos diescentes; Cerradão","Mollia burchellii Sprague","",,"GBIF"
"","UNITINS","HUTO","540","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","512","","Santos, E.R.",2006,8,1,"Brazil","Tocantins","Palmas","Sub-bacia do Ribeirão São João",-10.418889,-48.301944,"Árvore com cerca de 4 m de altura. Frutos imaturos verde quase maduros; Mata de galeria","Mollia burchellii Sprague","",,"GBIF"
"","UNICAMP","UEC","107274","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague","Bridgewater, S",,"","S1100","","Bridgewater, S; Ratter, JA; Fonsêca Filho, J",1998,11,20,"Brazil","Tocantins",,"58 Km from Rio Sono on the Road to Mansinha",-9.416667,-47.616667,"Tree to 10m; bark grey and lightly fissured.; Gallery forest.","Mollia burchellii Sprague","",,"GBIF"
"","UnB","UB","157735","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague","Bridgewater, S",,"","1100","","Bridgewater, S; Ratter, JA; Fonseca Filho, J",1998,11,20,"Brazil","Tocantins","Mansinha","58km from Rio Sono on the road to Mansinha.",-9.416667,-47.616667,"Tree to 10m, bark grey and lightly fissured.; Gallery forest.","Mollia burchellii Sprague","",,"GBIF"
"","K","Herbarium","K001212137","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","1100","","Bridgewater, S.",1998,11,20,"Brazil",,,"58km from Rio Sono on the road to Mansinha.",,,,"Mollia burchellii Sprague","",,"GBIF"
"","E","E","E00103823","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","S1100","","Bridgewater, S., Ratter, J.A. & Filho, J.F.",1998,11,20,"Brazil",,,,,,,"Mollia burchellii Sprague","",,"GBIF"
"","E","E","E00103840","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","S1100","","Bridgewater, S., Ratter, J.A. & Filho, J.F.",1998,11,20,"Brazil",,,,,,,"Mollia burchellii Sprague","",,"GBIF"
"","E","E","E00055568","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","R 7878","","Bridgewater, S.; Ratter, J.A. & Filho, J.F.",1997,8,2,"Brazil","Tocantins",,"18 km from Porto Nacional on the road to Palmas.",-10.516667,-48.366667,,"Mollia burchellii Sprague","",,"GBIF"
"","E","E","E00055518","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","R 7878","","Ratter, J.A.; Bridgewater, S. & Filho, J. Fonsêca",1997,8,2,"Brazil",,,,,,,"Mollia burchellii Sprague","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","204512","Mollia burchellii","","Malvaceae","Mollia","burchellii","","Sprague",,,"","7878","","Mike Hopkins",1997,11,2,"Brazil","Tocantins",,"18 km from Porto Nacional on the road to Palmas.",-10.516667,-48.37,,"Mollia burchellii Sprague","",,"GBIF"
