"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFES","VIES","38261","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Rocha, D.",2015,"","537","","Julkoski, D.",2014,12,1,"Brazil","Espírito Santo","São Mateus",,,,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","UFES","VIES","23447","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","E.M. Saddi",2012,"","778","","E.M. Saddi; P.O. Samor; S. Neves & R. Chaves",2012,7,17,"Brazil","Espírito Santo","Linhares","Parcela 4 para os estudos do EIA do Mineroduto Morro do Pilar/MG - Linhares/ES.",-19.378889,-39.920556,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","JBRJ","RB","RB00780770","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","E.M.Saddi",,"","778","","E.M.Saddi; Pedro Otavio Samor, Silfo Neves & Roni Chaves",2012,7,17,"Brazil","Espírito Santo","Linhares","Parcela 4 para os estudos do EIA do Mineroduto Morro do Pilar/MG - Linhares/ES.",-19.378889,-39.920556,"Arvore com cerca de 7m de altura. Brácteas verdes, pétalas amarelas.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","US","Botany","3668122","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin",,,"","170","","J. C. Lopes, E. R. Martins, J. Mangueira & K. R. Braga",2011,4,16,"Brazil","Espirito Santo",,"Linhares. Reserva Natural da Vale. Estrada Jacaranda - Caveuna. Floresta de Tabuleiro",-19.1504,-39.9287,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","JBRJ","RB","RB00759268","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","R.R. Rodrigues",2011,"","170","","J.C. Lopes; E.R. Martins; J.R. Mangueira; K.R.R. Braga",2011,4,16,"Brazil","Espírito Santo","Linhares","Reserva Natural da Vale. Estrada Jacarandá-Caveuna. 19,15036 S 39,92869 W.",,,"Árvore, ca. 6m alt. Epicálice e cálice verdes, corola amarela.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","115108","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Rodrigues, R.R.",,"","170","","Lopes, J.C.",2011,4,16,"Brazil","Espírito Santo","Linhares",,,,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","JBRJ","RB","RB00580574","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","M.G. Bovini",,"","10525","","L. Kollmann; L.Magnago",2008,1,31,"Brazil","Espírito Santo","Pinheiros","Santa Rita, terreno do Branco .",,,"Arbusto 3 m, flores verdes.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","JBRJ","RB","RB00594334","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","G.L. Esteves",,"","410","","Versieux, L.M.; Calvente, A.M. & Poubel, J.M.",2007,2,1,"Brazil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado, trilha de educação ambiental.",-18.370833,-40.141944,"Arbusto c/ ca. de 4m de altura, flores c/ cálice verde, corola amarela e anteras laranja. Prensado em álcool.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","USP","SPF","181148","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Esteves, GL",,"","87","","Zuntini, AR",2007,7,26,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, Antiga estrada Jacaranda caviuna.",,,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Reserva Natural Vale","CVRD","12276","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Geovane S. Siqueira",2009,"","87","","Zuntini, A.R. et al.",2007,7,26,"Brazil","Es","LINHARES",,,,"Cálice verde claro e pétalas amarelas. <ll>dwc_commonname:</ll> Algodoeiro","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","UEFS","HUEFS","123911","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin",,,"","633M","","Ferreira, M.A.P.",2006,4,10,"Brazil","Espírito Santo","Linhares","Reserva da Companhia Vale do Rio Doce. Estrada Parajú, Km 1.",,,"Mata de Tabuleiro.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Reserva Natural Vale","CVRD","11436","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Paula-Souza, J. & Paciencia, M.",2006,"","2431","","Paciencia, M.B.",2006,4,10,"Brazil","Es","LINHARES","Taxonomia de Campo USP, UNICAMP, ESAlq",,,"arbusto, 3m alt; pátalas amarelo-esverdeadas, sépalas verdes, estames amarelos <ll>dwc_commonname:</ll> Algodoeiro","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Reserva Natural Vale","CVRD","11737","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Rodrigues, C.D.N.; Lorenzo, L.",2006,"","633","","Ferreira-Pinho, M.A.",2006,4,10,"Brazil","Es","LINHARES","Taxonomia de Campo USP, UNICAMP, ESAlq",,,"Calículo, cálice e corola verdes. <ll>dwc_commonname:</ll> Algodoeiro","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","JBRJ","RB","RB00422953","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","C. D. N. Rodrigues e L. Lorenzo",,"","633","","M. A. Pinho-Ferreira; L. Lorenzo, C. D. N. Rodrigues, R. A. G. Viana, V. C. Souza e V. R. Scalon",2006,4,10,"Brazil","Espírito Santo","Linhares","Reserva da Campanhia Vale do Rio Doce. Estrada Parajú, km 1.",-19,-39,"Arbusto. Calículo, cálice e corola verdes.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","104396","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Rodrigues, C.N.D. & Lorenzo, L.",2006,"","633","","Pinho-Ferreira, M.A.M.",2006,4,10,"Brazil","Espírito Santo","Linhares",,,,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","114266","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Sem Informação",,"","6291","","Amorim, A. M.",2006,9,16,"Brazil","Bahia","CAMACAN","RPPN Serra Bonita. 9,7 km de Camacan na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre da Embratel.",-15.391667,-39.565278,"Flores em álcool.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","MBML","MBML-HERBARIO","27574","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin",,,"","3079","","V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen",2006,11,15,"Brazil","Espírito Santo","Governador Lindenberg","Córrego Dependência, Igreja de Imaculada Conceição",-19.219167,-40.536667,"Arbusto 2m, frutos verdes. Borda de mata, beira de asfalto.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","JBRJ","RB","RB00580572","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","M.G. Bovini",,"","3079","","V. Demuner; L.F.S. Magnago, T. Cruz & Elias Bausen",2006,11,15,"Brazil","Espírito Santo","Governador Lindenberg","Córrego Dependencia, Igreja de Imaculada Conceição.",-19.219167,-40.536667,"Arbusto 2 m, frutos verdes.","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","USP","SPF","169091","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Gonçalez, VM",2017,"","2796","","Fiaschi, P",2005,3,12,"Brazil","Bahia","Almadina",,-14.640833,-39.713056,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","NY","NY","1462156","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","P. A. Fryxell",2008,"","2796","","P. Fiaschi",2005,3,12,"Brazil","Bahia",,"Rodovia de Almadina para Ibitupã, ca. 20 km. Fazenda São Roque, ca. 10 km da entrada do ramal.",-14.6408,-39.7131,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","JBRJ","RB","RB00216663","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","M.G. Bovini",,"","5780","","L.S. Leoni",2004,6,15,"Brazil","Espírito Santo","Pinheiros","Rebio Córrego do Veado, fonte do Parajú REBIO Córrego do Veado",,,"Subarbusto lenhoso, ramos longos, brácteas de cor castanho, áalice verde e corola amarela","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","NY","NY","1419209","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","P. A. Fryxell",2008,"","280","","J. L. Paixão",2003,11,12,"Brazil","Bahia",,"Rod. BA 650, Camamu/Travessão, Faz. Zumbi dos Palmares, Cachoeira de Crespe.",-14.068,-39.107,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","NY","NY","585581","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","V. M. Gonçalez",2015,"","2","","F. S. Juchum",2000,1,4,"Brazil","Bahia",,"Na Rod. Jussari/Palmira ca. 15 km até a entrada que dá acesso para a Rod. Jussari/Itapé, ca. 2.2 km para a Faz. Sao Roque (Luís Fernando Verde)",-15.1954157528398,-39.4952160228309,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","UFES","VIES","32230","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","V.M. Gonçalez",2016,"","6540","","Pereira, O.J.; Gomes, J.M.L. & Castro, R.",2000,10,3,"Brazil","Espírito Santo","Linhares",,,,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Reserva Natural Vale","CVRD","4563","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin",,,"","2615","","Esteves, G.L.",1993,5,31,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Algodoeiro","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","NY","NY","406998","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","P. A. Fryxell",1996,"","2615","","G. L. Esteves",1993,5,31,"Brazil","Espírito Santo",,"Reserva Florestal da Companhia Vale do Rio Doce",-19.138199,-39.961174,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Reserva Natural Vale","CVRD","4140","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin",,,"","544","","Farias, G.L.",1992,8,5,"Brazil","Es","LINHARES","Bloco C.",,,"Arbusto abundante, flores com aroma desagradável, pétalas amarelo pálido. <ll>dwc_commonname:</ll> Algodoeiro","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","USP","SPF","76006","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Gonçalez, VM",2015,"","2399","","Esteves, GL",1992,10,16,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, No início da estrada Caingá.",,,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Reserva Natural Vale","CVRD","2822","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Paul A. Fryxell",1992,"","371","","Farias, G.L.",1990,7,31,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Algodoeiro","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","UNICAMP","UEC","53789","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Esteves, GL",1996,"","22122","","Buzato, S; Franco, ALM",1989,8,1,"Brazil","Espírito Santo","Linhares","Reserva da Vale do Rio Doce",,,"Arbusto 4m,folhas alternas flores amarelas","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","JBRJ","RB","RB00216667","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","M.G.Bovini",,"","22122","","Buzato",1989,8,1,"Brazil","Espírito Santo","Linhares","Reserva da Vale do Rio Doce.",,,"Arbusto, 4m, folhas alternas flores amarelas","Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","132358","Pavonia calyculosa","","Malvaceae","Pavonia","calyculosa","","A.St.-Hil. & Naudin","Krapovickas, A.",1985,"","48718","","Mike Hopkins",1984,12,8,"Brazil","Bahia",,,,,,"Pavonia calyculosa A.St.-Hil. & Naudin","",,"GBIF"
