"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPR","UPCB","84630","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","Passos, L.S.",2016,"","02","","Passos, L.S.",2016,2,5,"Brazil","Paraná","Antonina","Cota 800 - Usina Hidrelétrica Parigot de Souza. Refúgio vegetacional altomontano.",-25.320833,-45.706667,"Indivíduo coletado com flores. Pétalas brancas e estames amarelos..","Behuria insignis Cham.","",,"GBIF"
"","UFPR","UPCB","84632","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","Passos, L.S.",2016,"","04","","Passos, L.S.",2016,2,5,"Brazil","Paraná","Antonina","Cota 800 - Usina Hidrelétrica Parigot de Souza. Refúgio vegetacional altomontano.",-25.257778,-48.762778,"Indivíduo coletado com flores. Pétalas brancas e estames amarelos..","Behuria insignis Cham.","",,"GBIF"
"","UFPR","UPCB","84631","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","Passos, L.S.",2016,"","03","","Passos, L.S.",2016,2,5,"Brazil","Paraná","Antonina","Cota 800 - Usina Hidrelétrica Parigot de Souza. Refúgio vegetacional altomontano.",-25.257778,-48.762778,"Indivíduo coletado com flores e frutos secos. Flores com pétalas brancas e estames amarelos..","Behuria insignis Cham.","",,"GBIF"
"","JBRJ","RB","RB01331360","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","L.S. Passos",,"","02","","L.S. Passos",2016,2,5,"Brazil","Paraná","Antonina","Cota 800 - Usina Hidrelétrica Parigot de Souza",,,,"Behuria insignis Cham.","",,"GBIF"
"","UFPR","UPCB","82547","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.",,,"","2223","","Goldenberg, R.",2015,6,19,"Brazil","Paraná","Antonina","Área da Parigot de Souza, Cota 800",-25.257435,-48.778568,"Arbusto 1m; frutos velhos marrons.","Behuria insignis Cham.","",,"GBIF"
"","JBRJ","RB","RB00994112","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.",,,"","2223","","R. Goldenberg ; F. Michelangeli, F. Maia",2015,6,19,"Brazil","Paraná","Antonina","Área da Parigot de Souza, Cota 800. (-25,255425, -48,778789).",,,"Arbusto 1m; frutos velhos marrons.","Behuria insignis Cham.","",,"GBIF"
"","UFPR","UPCB","83984","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","Maia, F.R.",2014,"","110","","Maia, F.R.",2013,1,26,"Brazil","Paraná","Antonina","Pico Paraná/Usina Hidrelétrica Parigot de Souza/COTA800/encontrado em locais úmidos em refúgio vegetacional altomontano",,,"Arbusto, pétalas amareladas, estames amarelos..","Behuria insignis Cham.","",,"GBIF"
"","UFPR","UPCB","78746","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","Goldenberg, R.",2012,"","1634","","Goldenberg, R.",2012,2,14,"Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu, trilha do mirante (próximo ao mirante)",,,"Arbusto 1m, folhas verdes ou avermelhadas. Brácteas e bractéolas verdes, hipanto e cálice verde-claro, pétalas brancas e estames amarelos. Outras plantas na população têm gradação até folhas, brácteas, bractéolas, hipanto e cálice ve","Behuria insignis Cham.","",,"GBIF"
"","JBRJ","RB","RB00728003","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","R. Goldenberg",2012,"","1634","","R. Goldenberg; M. Reginato, F.S. Meyer & O.T. Aguiar",2012,2,14,"Brazil","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu, trilha do mirante (próximo ao mirante).",,,"Arbusto 1m, folhas verdes ou avermelhadas. Brácteas e brácteolas verdes, hipanto e cálice verde-claro, pétalas brancas e estames amarelos. Outras palntas na população têm gradação até folhas, brácteas, brácteolas, hipanto e cálice vermelhos. F.O.D.M.","Behuria insignis Cham.","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","28221","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","R. Goldenberg",2012,"","1634","","R. Goldenberg",2012,2,14,"Brazil","Sp","São Paulo","Parque Estadual da Serra do Mar, Núcleo",,,"arbusto 1 m, folhas verdes ou avermelhadas. Brácteas e bractéolas verdes, hipanto e cálice verde claro, pétalas brancas e estames amarelos. Outras plantas na população têm gradação até folhas, brácteas, bractéolas, hipanto e cálice vermelho.","Behuria insignis Cham.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","119322","Behuria insignis","","Melastomataceae","Behuria","insignis","","Cham.","Bochorny, T.",2015,"","680","","Colletta, G.D.",2012,6,18,"Brazil","São Paulo","São Paulo","Estrada da Cumbica n° 500, mata ao lado do ct do São Paulo",,,"Árvore, 7m, frutos secos 5561","Behuria insignis Cham.","",,"GBIF"
