"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPR","UPCB","92417","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","Bochorny,T.",2017,"","2312","","Goldenberg, R. | Amorim, A.M. | Paixão, J.L.",2017,4,29,"Brazil","Bahia","Amargosa","Região da Serra do Timbó. Topo de serra com arbustivo-herbácea sobre lage de arenito, entremeada com fragmentos de floresta.",-13.106111,-39.701667,"Arbusto 4m. Frutos marrons.","Huberia consimilis Baumgratz","",,"GBIF"
"","UNICAMP","UEC","203216","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","Bochorny, T",2016,"","209","","Bochorny, T; Bacci, LF",2016,1,29,"Brazil","Rio de Janeiro","Macaé","Pico do Frade de Macaé, Nova Friburgo.",-22.210278,-42.073611,"Árvore, 3m, flores com pétalas brancas e estames amarelos, Próxima a trilha, no primeiro platô antes do acesso ao topo.","Huberia consimilis Baumgratz","",,"GBIF"
"","UNICAMP","UEC","203204","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","Bochorny, T",2016,"","225","","Bochorny, T; Bacci, LF",2016,4,17,"Brazil","Rio de Janeiro","Santa Maria Madalena","Brasil, Rio de Janeiro:Santa Maria Madalena.Parque Estadual do Desengano.",-21.891944,-41.910556,"Árvore, 4 m, frutos castanhos secos.","Huberia consimilis Baumgratz","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","139461","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","T. Bochorny",,"","263","","L. F. Bacci",2015,12,16,"Brazil","Bahia","WENCESLAU GUIMARÃES","Estação Ecológica Wenceslau Guimarães, trilha para o Pico do urubu.",,,"<ll>dwc_commonname:</ll>","Huberia consimilis Baumgratz","",,"GBIF"
"","UNICAMP","UEC","203219","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","Bochorny, T",2015,"","181","","Bochorny, T; Braga, LS",2015,12,23,"Brazil","Rio de Janeiro","Santa Maria Madalena","Pedra Debois.",-21.942778,-41.994722,"Arbusto, 3m, frutos secos antigos.","Huberia consimilis Baumgratz","",,"GBIF"
"","UFPR","UPCB","80330","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","Goldenberg, R.",2014,"","2110","","Goldenberg, R.",2014,10,15,"Brazil","Bahia","Lençois","Estrada entre Estiva (Afrânio Peixoto) e a BA-144",-12.272,-41.432,"Arbusto 3m; frutos velhos marrons, botões ainda pequenos verdes..","Huberia consimilis Baumgratz","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","148297","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","R. Goldenberg",,"","2110","","R. Goldenberg",2014,10,15,"Brazil","Bahia",,"Estrada entre Estiva (Afrânio Peixoto) e a BA-144",-12.271667,-41.432222,,"Huberia consimilis Baumgratz","",,"GBIF"
"","JBRJ","RB","RB00922881","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","R. Goldenberg",2014,"","2110","","R. Goldenberg",2014,10,15,"Brazil","Bahia","Lençóis","Estrada entre estiva (Afrânio Peixoto) e a BA-144.",-12.266667,-41.416667,"Arbusto 3 m; frutos velhos marrons, botões ainda pequenos verdes","Huberia consimilis Baumgratz","",,"GBIF"
"","NY","NY","02104664","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","R. Goldenberg",2014,"","2110","","R. Goldenberg",2014,10,15,"Brazil","Bahia",,"Estrada entre Estiva (Afrânio Peixoto) e a BA-144",-12.27172,-41.43214,,"Huberia consimilis Baumgratz","",,"GBIF"
"","JBRJ","RB","RB00922881","Huberia consimilis","","Melastomataceae","Huberia","consimilis","","Baumgratz","R. Goldenberg",2014,"","2110","","R. Goldenberg",2014,10,15,"Brazil","Bahia","Lençóis","Estrada entre estiva (Afrânio Peixoto) e a BA-144.",-12.26667,-41.41667,"arbusto, 3m; frutos velhos marrons, botões ainda pequenos verdes","Huberia consimilis Baumgratz","",,"GBIF"
