"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNICAMP","UEC","203218","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Bochorny, T",2016,"","210","","Bochorny, T; Bacci, LF",2016,1,29,"Brazil","Rio de Janeiro","Macaé","Pico do Frade de Macaé, Nova Friburgo.",-22.210278,-42.073611,"Árvore, 4m, botões florais, na trilha para o topo.","Huberia glazioviana Cogn.","",,"GBIF"
"","UNICAMP","UEC","203205","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Bochorny, T",2016,"","199","","Bochorny, T; Bacci, LF; Bolson, M",2016,1,22,"Brazil","Rio de Janeiro","Nova Friburgo","Distrito de Lumiar. Serra Queimada. Na trilha que desce após o cume da Serra Queimada.",-22.382778,-42.293333,"árvore, 5m, Botões, flores com pétalas brancas , estames amarelos, odor forte, folhas e ramos com muitos tricomas.","Huberia glazioviana Cogn.","",,"GBIF"
"","UNICAMP","UEC","203217","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Bochorny, T",2016,"","205","","Bochorny, T; Bacci, LF; Bolson, M",2016,1,25,"Brazil","Rio de Janeiro","Nova Friburgo","Distrito de São Pedro da Serra. Pico da Sibéria.",-22.309444,-42.319722,"Árvore. 4m, botões florais.","Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB01174647","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","P. Rosa",,"","19426","","G.Martinelli; M.Moraes, T.Lima, E Lerina",2016,8,11,"Brazil","Rio de Janeiro","Nova Friburgo","Matas de altitude na cumieira da Serra dos Pirineus, na divisa dos Municípios de Nova Friburgo e Silva Jardim. mata atlântica de altitude. APA de Macaé de Cima",-22.438055,-42.525833,"arvoreta, 4m, semi-heliófila; folhas verdes, marcadamente discolores; frutos passados de cor castanho.","Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB01181453","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","J. F. A. Baumgratz",,"","708","","C. Baez; Thalis Lima, Patrícia da Rosa, Marta Moraes, Lucas Moraes, Daniel Maurenza, Raquel Negrão, Girso e Rafael",2016,8,8,"Brazil","Rio de Janeiro","Silva Jardim","Rio Bonito de Macaé de Cima. Serra da Velutina. Entrada pela Reserva Biológica do Matão. APA Macaé de Cima",-22.436944,-42.504444,"Terrícola, heliófila. Folhas discolores com indumento alaranjado na face abaxial. Margem serreada. Frutos secos castanhos. Pedúnculo reto castanho.","Huberia glazioviana Cogn.","",,"GBIF"
"","UFPR","UPCB","91282","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Rosa, P.",2017,"","19426","","Martinelli, G. et al.",2016,8,11,"Brazil","Rio de Janeiro","Nova Friburgo","Área de Proteção Ambiental de Macaé de Cima. Matas de Altitude na cumieira da Serra dos Pirineus, na divisa dos Municípios de Nova Friburgo e Silva Jardim",-22.438056,-42.525833,"Mata atlântica de altitude. Arvoreta, 4m, semi-heliófila; folhas verdes, marcadamente discolores; frutos passados de cor castanho.","Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB00587269","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","L.A.F. Santo Filho",2010,"","125","","L.A.F. Santo Filho; J.F.A. Baumgratz; I.M. Miller; S.R.S. Cardoso; M.W.E. Paladino",2010,4,13,"Brazil","Rio de Janeiro","Nova Friburgo","Margeando a Grande Curva dos Escosseses. Macaé de Cima. Reserva Ecológica de Macaé de Cima",-22.377222,-42.485278,"ramos e pecíolos pardacentos; folhas verdes discolores; frutos passados pardacentos.","Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB01361089","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","L.S. Leoni",2005,"","6125","","L.S. Leoni; A.E. Silva",2005,2,25,"Brazil","Minas Gerais","Araponga",,,,,"Huberia glazioviana Cogn.","",,"GBIF"
"","NY","NY","1522619","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","L. de S. Leoni",2005,"","6125","","L. de S. Leoni",2005,2,25,"Brazil","Minas Gerais",,"Parque Estadual do Brigadeiro.",-20.7105,-42.4716,,"Huberia glazioviana Cogn.","",,"GBIF"
"","UFU","HUFU","36769","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Faria, C.A.",2004,"","5991","","Leoni, L.S.; Faria, C.A. & Rocha, M.J.R.",2004,4,19,"Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó, Trilha da Cachoeira Bonita.",,,"Árvore ereta, ca. 5-6 m. Frutos imaturos.","Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB01361090","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","L.S. Leoni",2004,"","5691","","L.S. Leoni",2004,4,19,"Brazil","Minas Gerais","Alto Caparaó",,,,,"Huberia glazioviana Cogn.","",,"GBIF"
"","UFPR","UPCB","80424","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Goldenberg, R.",,"","28966","","Souza, V.C.",2003,2,11,"Brazil","Rio de Janeiro","Nova Friburgo","Reserva de Macaé de Cima. Beira da estrada. 1200m.s.m.",-22.383,-42.483,"Árvore, ca. 4m alt.; flores alvas..","Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB00855847","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","R. Goldenberg",,"","28966","","V.C. Souza et. al.;",2003,2,11,"Brazil","Rio de Janeiro","Nova Friburgo","Reserva de Macaé de cima; Beira de estrada.",-22.383333,-42.483333,"Árvore, ca 4 m alt.; flores alvas","Huberia glazioviana Cogn.","",,"GBIF"
"","UFPR","UPCB","46239","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Bochorny, T.",2015,"","2237","","Silva, A.F.",2002,2,1,"Brazil","Minas Gerais","Araponga","Parque Estadual da Serra do Brigadeira, Fazenda da Neblina",,,"Arvoreta ca. 2m, frutos escuros. Ocorrendo na beira da estrada e dentro da mata. Alt.: 1410m s.n.m..","Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB00236511","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","J. F. A. Baumgratz",2003,"","99/19","","L. Y. S. aona; A. D. Faria ; L. O. Anderson, J. c. galvão & R. Belinello",1999,1,20,"Brazil","Rio de Janeiro","Nova Friburgo","Res. Macaé de Cima, trilha no caminho para o sitio de David e Isabel miller.",,,,"Huberia glazioviana Cogn.","",,"GBIF"
"","USP","SPF","200095","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Baumgratz, JFA",2010,"","s.n.","","Almeida, VC",1995,1,25,"Brazil","Minas Gerais","Lima Duarte","Serra São José dos Lopes",,,,"Huberia glazioviana Cogn.","",,"GBIF"
"","UEFS","HUEFS","165912","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.",,,"","RB494583","","Almeida, V.C.",1995,1,25,"Brazil","Minas Gerais","Lima Duarte","Fazenda Serra São José dos Lopes.",,,"Mata.","Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB00584852","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","J.F.A. Baumgratz",2010,"",,"","V.C. Almeida",1995,1,25,"Brazil","Minas Gerais","Lima Duarte","Fazenda Serra São José dos Lopes.",,,"Flores brancas.","Huberia glazioviana Cogn.","",,"GBIF"
"","NY","NY","1281358","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","J. F. A. Baumgratz",2010,"","s.n.","","V. C. Almeida",1995,1,25,"Brazil","Minas Gerais",,"Fazenda São José dos Lopes. Mata do Alfredo, alto da pedreira.",-21.792687,-43.888024,,"Huberia glazioviana Cogn.","",,"GBIF"
"","USP","SPF","66453","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Baumgratz, JFA",1997,"","723","","Leoni, LS",1989,3,12,"Brazil","Minas Gerais","Carangola","Serra da Araponga",-20.716667,-42.483333,,"Huberia glazioviana Cogn.","",,"GBIF"
"","JBRJ","RB","RB01361110","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","J.F.A. Baumgratz",1997,"","723","","L.S. Leoni; A.M. Leone",1989,3,12,"Brazil","Minas Gerais","Carangola","Serra da Araponga, Fazenda Neblina.",-20.716667,-42.483333,,"Huberia glazioviana Cogn.","",,"GBIF"
"","Instituto de Botânica","SP","244540","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Baumgratz, JFA",1997,"","s.n.","","Leoni, LS; Leoni, AM",1989,3,12,"Brazil","Minas Gerais","Carangola","Serra da Araponga, Fazenda Neblina, área de Transição entre a Mata de Encosta e o Campo de altitude",-20.716667,-42.483333,,"Huberia glazioviana Cogn.","",,"GBIF"
"","MBML","MBML-HERBARIO","5611","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","Wurdack/1991",,"","2751","","H. Q. Boudet Fernandes; et al",1989,4,19,"Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima",-22.281944,-42.531111,"Arvoreta 7m, indumento castanho, frutos verdes. Vegetação florestal baixa, altitude cerca de 1425m.","Huberia glazioviana Cogn.","",,"GBIF"
"","MO","MO","3252695","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.","R. Goldenberg (UPCB)",2012,"","BOUDET-FERNANDES 2751","","* BOUDET-FERNANDES",1989,4,19,"Brazil","Rio de Janeiro",,"Nova Friburgo, Distr. de Macaé de Cima, nascente do Rio das Flores (fazenda sophronitis), caminho para a pedra Bicuda.",,,,"Huberia glazioviana Cogn.","",,"GBIF"
"","US","Botany","3184390","Huberia glazioviana","","Melastomataceae","Huberia","glazioviana","","Cogn.",,,"","2751","","H. Q. Boudet Fernandes & et al.",1989,4,19,"Brazil","Rio de Janeiro",,"Macaé de Cima, nascente do Rio das Flores (fazenda sophronitis), caminho para a pedra Bicuda",,,,"Huberia glazioviana Cogn.","",,"GBIF"
