"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","121563","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin","Guedes, ML",2015,"","23898","","Guedes, ML; Casaes, M",2015,8,20,"Brazil","Bahia","Mucugê","Chapada Diamantina, Arredores de Mucugê.",-13,-41.516667,"de ca 3 m de altura. Folhas lanceoladas. Flores terminal, pétalas amarelas, externamente manchada de vermelho.","Lavoisiera nervulosa Naudin","",,"GBIF"
"","UNIVASF","HVASF","22847","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin","J.A. Siqueira-Filho",2015,"","3523","","J.A. Siqueira Filho",2015,11,28,"Brazil","Bahia","Andaraí","Chapada Diamantina, Serra do Capa Bode, trilha para Igatú",-12.936,-41.322888,"Arbusto ca. de 3,5 m alt. Flores amarelas protegidas por brácteas, terminais. Ocasional.","Lavoisiera nervulosa Naudin","",,"GBIF"
"","UFPR","UPCB","82459","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin","Versiane, A.F.A.",2016,"","1816","","Goldenberg, R.",2014,2,24,"Brazil","Bahia","Mucegê","Estrada para Andaraí, em grota na beira da estrada. 1130m. Campo rupestre",-12.961,-41.316,"Arbusto 2,5m; flores com pétalas e estames amarelos.","Lavoisiera nervulosa Naudin","",,"GBIF"
"","NY","NY","3107416","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin",,,"","1816","","R. Goldenberg",2014,2,24,"Brazil","Bahia",,"Estrada para Andaraí, em grota na beira da estrada",-12.96131,-41.31608,,"Lavoisiera nervulosa Naudin","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","141578","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin","A. F. A. Versiane",,"","1816","","Goldenberg, R.",2014,2,24,"Brazil","Bahia","MUCUGÊ","Estrada para Andaraí, em grota na beira da estrada.",-12.961111,-41.315833,,"Lavoisiera nervulosa Naudin","",,"GBIF"
"","UEFS","HUEFS","230782","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin",,,"","414","","Martins, C.T.V.D.",2014,5,2,"Brazil","Bahia","Mucugê","Córrego Sertãozinho.",-13.004167,-41.388889,,"Lavoisiera nervulosa Naudin","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","111858","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin","Guedes, ML",2014,"","21030","","Guedes, ML; Alunos de Microbiologia de Adriana",2013,12,12,"Brazil","Bahia","Mucugê","Chapada Diamantina, Margem do rio Tibuchino.",,,"de ca 1,80 m de altura. Folhas rígidas,discolores, opostas cruzadas. Flores passadas.","Lavoisiera nervulosa Naudin","",,"GBIF"
"","Universidade Federal Rural de Pernambuco","HST","20566","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin","M.L.Guedes",2014,"","21030","","M.L.Guedes; Alunos de Microbiologia de Adriana Medeiros",2013,12,12,"Brazil","Bahia","Mucugê","Chapada Diamantina",,,"Arbusto ca. 1,8 m alt.; folhas rígidas, discolores, opostas cruzadas; flores passadas.","Lavoisiera nervulosa Naudin","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","102663","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin","Pataro, L",2012,"","177","","Ogasawara, HA; Alves, MBB",2012,1,8,"Brazil","Bahia","Mucugê","Chapada Diamantina, distrito de Guiné, Gerais do Rio Preto, próximo ao Morro do Canto Escuro",,,"c. 1,70m alt. Folhas discolores viscosas, c/ tricomas glandulares pretos; corola amarela c/ margem vermelha (face externa); estames amarelos.","Lavoisiera nervulosa Naudin","",,"GBIF"
"","UEFS","HUEFS","187202","Lavoisiera nervulosa","","Melastomataceae","Lavoisiera","nervulosa","","Naudin","A.K.A.Santos",2015,"","4162","","Conceição, A.A.",2012,7,5,"Brazil","Bahia",,,,,,"Lavoisiera nervulosa Naudin","",,"GBIF"
