"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Juiz de Fora","CESJ","69265","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","L.L. Justino",2017,"","335","","G.B. Oliveira; L.V.V. Cruz; M.A. Manhães; A. Cabral",2016,10,24,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta Nebular, Gruta dos Fugitivos, 15-20m da entrada da gruta",-21.677778,-43.883056,"Subarbusti ca. 30 cm, folhas discolores, flores alvas e estames rosas","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","66703","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","L.L. Justino",2015,"","50","","L.V.V. Cruz; F.R.G. Salimena",2015,8,14,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual de Ibitipoca, Entorno Lagoa Seca",,,"Arbusto; folhas discolores, opostas; anteras róseas, em mata próxima a campo encharcável","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","64094","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","L.L. Justino",2014,"","33","","L.L. Justino; F.R.G. Salimena; M.C.A. Mota; P.H. Nobre",2014,4,17,"Brazil","Minas Gerais","Rio Preto","Estrada para RPPN São Lourenço do Funil, Campo rupestre arbustivo com solo quartizíaco",,,"Arbusto ca. 1m; flores alvas; anteras róseas.","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","64368","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","L.L. Justino",2014,"","54","","L.L. Justino; F.R.G. Salimena; P.H. Nobre",2014,6,7,"Brazil","Minas Gerais","Olaria","Síto do Degredo",,,"Arbusto ca. 1,5 m em encosta com solo quartzítico. Área com grante número de espécies arbsutivas e pouca vegetação. O local permanece sombrado por um longo período do dia. Presença marcante das candeias. Flores alvas com estames rosa. Frutos imaturos esv","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","64343","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","L.L. Justino",2014,"","64","","L.L. Justino; J.H.C. Ribeiro; S.M. Souza",2014,7,16,"Brazil","Minas Gerais","Rio Preto","Serra Negra, Trilha para o Ninho da Égua.",,,"Arbusto, 1 m alt. em solo quartzítico no arbustal latifoliado. Flores alvas com anteras vinho.","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","64753","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","L.L. Justino",2014,"","83","","L.L. Justino; J.H.C. Ribeiro; S.M. Souza",2014,7,16,"Brazil","Minas Gerais","Rio Preto","Serra Negra, Trilha para o Ninho da Égua.",,,"Arbuto aprox. 1,5 m alt., no arbustal latifoliado. Folhas discolores, pétalas alvas e anteras vinosas. Frutos imaturos recobertos por tricomas verdes esbranquiçados.","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","65175","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","L.L. Justino",2014,"","100","","L.L. Justino; A. Cabral; M.C.A. Mota; V.D. Paiva",2014,8,29,"Brazil","Minas Gerais","Rio Preto","RPPN Mato Limpo",,,"Arvoreta 1,6 m no arbustal latifoliado. Solo quartzítico em local parcialmente sombreado. Presença maarcante de espécies de Myrtaceae e Malpighiaceae. Frutos maduros tipo velatídio.","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","63354","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","M. Reginato",2016,"","1837","","V.A.O. Dittrich",2013,7,21,"Brazil","Minas Gerais","Bom Jardim de Minas","Na trilha para o topo, face norte",-22.014569,-44.003208,"Arbusto de 1,6m de altura em borda de Floresta Montana. Pétalas alvas, filetes cor-de-rosa e tecas lilases.","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","UFPR","UPCB","83420","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","Reginato, M.",2016,"","1837","","Dittrich, V.A.O.",2013,7,21,"Brazil","Minas Gerais","Bom Jardim de Minas","Na trilha para o topo, face norte",-22.014,-44.003,"Arbusto de 1,6m de altura em borda de Floresta Montana.","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","UFPR","UPCB","72960","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","Reginato, M.",2012,"","1353","","Reginato, M.",2012,2,17,"Brazil","Minas Gerais","Lima Duarte","P.E. do Ibitipoca. Trilha para a Ponte de Pedra",,,"Arbusto 1m sobre os afloramentos. Flores com pétalas alvas, anteras róseas, indumento castanho.","Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","NY","NY","01874842","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.","M. Reginato",2012,"","1353","","M. Reginato",2012,2,17,"Brazil","Minas Gerais",,"P.E. do Ibitipoca, trilha da Ponte de Pedra",-21.714958,-43.894264,,"Leandra pennipilis (Triana) Cogn.","",,"GBIF"
"","NY","NY","02012840","Leandra pennipilis","","Melastomataceae","Leandra","pennipilis","","(Triana) Cogn.",,,"","1353","","M. Reginato",2012,2,17,"Brazil","Minas Gerais",,"P.E. do Ibitipoca, trilha da Ponte de Pedra",-21.714958,-43.894264,,"Leandra pennipilis (Triana) Cogn.","",,"GBIF"
