"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPR","UPCB","91250","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.","Goldenberg, R.",2019,"","2343","","Goldenberg, R. et al.",2017,4,30,"Brazil","Bahia","Amargosa","Região da Serra do Timbó, margem de estrada em acesso ao Sítio do Sr. Edivaldo.",,,"Arbusto 2m. Frutos jovens verdes, com sépalas persistentes vermelhas.","Leandra umbellata DC.","",,"GBIF"
"","JBRJ","RB","RB00910156","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.","J.F.A. Baumgratz",2018,"","1392","","J.F.A. Baumgratz; M.G. Bovini, T. Meneguzzo & M. Suzy Wrängler",2014,11,28,"Brazil","Rio de Janeiro","Rio de Janeiro","Mun. Paraty, Cunha; Floresta Ombrófila Densa Submontana alterada; estrada para a Cachoeira das Sete Queda; próximo a margem de rio. Parque Nacional da Serra da Bocaina",-23.183333,-44.781111,"Arbusto ca. 1,8 m alt., esciófilo; ramos, pecíolos e ramos da inflorescência verdes, c/ nuances castanhas, indumento dos ramos das infloresc|ênciasa com tricomas glandulares, cabeça glandular alva; folhas verdes discolores, indumento alvo; brácteas e bractéolas alvo-esverdeadas; flores c/ hipanto e cálice alvos, ápice das lacínias esverdeado, tricomas glandulares alvos c/ cabeça glandular alva a vinosa, pétala, filetes e estilete alvos, anteras róseas.","Leandra umbellata DC.","",,"GBIF"
"","UFPR","UPCB","79954","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.","Reginato, M.",2016,"","5424","","Labiak, P.H. et al.",2013,2,4,"Brazil","Minas Gerais","Catas Altas","Vegetação de Canga ás margens da rodovia MG-129, sentido Mariana.",-20.266,-43.475,"Arbusto ca. 1m. Flores alvas com anteras róseas. Viscosa..","Leandra umbellata DC.","",,"GBIF"
"","UFPR","UPCB","84297","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.",,,"","1444","","Reginato, M.",2013,2,9,"Brazil","Rio de Janeiro","Itatiaia","P. N. do Itatiaia, Parte Baixa.",,,"Arbusto 1m, borda da mata. Flores com pétalas alvas, filetes e estilete alvos, anteras róseas..","Leandra umbellata DC.","",,"GBIF"
"","UFPR","UPCB","84320","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.",,,"","1420","","Reginato, M.",2013,2,5,"Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Reserva da PETI-CEMIG. Estrada para o Bom Será.",-19.890198,-43.364882,"Arbusto 1m. Pétalas, estilete e filetes alvos, anteras róseas. Planta viscosa. Borda da mata secundária..","Leandra umbellata DC.","",,"GBIF"
"","NY","NY","01874486","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.","M. Reginato",2014,"","1444","","M. Reginato",2013,2,9,"Brazil","Rio de Janeiro",,"P.N. do Itatiaia, Parte Baixa.",-22.457042,-44.606553,,"Leandra umbellata DC.","",,"GBIF"
"","NY","NY","01874483","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.","M. Reginato",2014,"","1420","","M. Reginato",2013,2,5,"Brazil","Minas Gerais",,"Reserva da PETI-CEMIG. Estrada para o Bom Será.",-19.890197,-43.364883,,"Leandra umbellata DC.","",,"GBIF"
"","MO","MO","101046147","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.","M. Reginato",2014,"","Reginato 1420","","Marcelo Reginato|J. B. Pereira|Paulo H. Labiak",2013,2,5,"Brazil","Minas Gerais",,"Reserva da PETI-CEMIG. Estrada para o Bom Será.",-19.890198,-43.364882,,"Leandra umbellata DC.","",,"GBIF"
"","JBRJ","RB","RB01418654","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.","M.Reginato",2014,"","1420","","M.Reginato; J.B.S.Pereira & P.H.Labiak",2013,2,5,"Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Reserva da PETI-SEMIG. Estrada para Bom Será.",-19.89,-43.364722,,"Leandra umbellata DC.","",,"GBIF"
"","UFPR","UPCB","72941","Leandra umbellata","","Melastomataceae","Leandra","umbellata","","DC.","Reginato, M.",2012,"","1334","","Reginato, M.",2012,2,15,"Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia. Ultimo Adeus e trilha do Véu de Noiva",,,"Arbusto 2m. Brácteas verdes depois róseas. Pétalas alvas, filetes alvos, anteras róseas. Planta viscosa, borda da mata..","Leandra umbellata DC.","",,"GBIF"
