"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MPEG","HERBMG","MG224292","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.","Lobato, L.C.B.",,"",,"","Lobato, L.C.B.; Smith, N.",2016,10,27,"Brazil","Pará",,"Comunidade de Flexinha",,,,"Macairea theresiae Cogn.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","239121","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.","Prata, E.M.B.",2010,"","875","","Mike Hopkins",2010,10,30,"Brazil","Amazonas",,"Parque Estadual do Matupiri",-5.0126,-61.27,,"Macairea theresiae Cogn.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","257795","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.","Ramos, J.F.",,"","1830","","Mike Hopkins",2010,10,28,"Brazil","Amazonas",,"Vila de Balbina., Estrada da morena, ramal do assentamento.",,,,"Macairea theresiae Cogn.","",,"GBIF"
"","UFPR","UPCB","84621","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.","Ramos, J.F.",,"","1830","","Silva, J.A.C.da",2010,10,28,"Brazil","Amazonas","Presidente Figueiredo","Vila de Balbina., Estrada da morena, ramal do assentamento. Campina de solo arenoso.",,,"Arbusto de 1,5m de altura com botões florais e flores lilases; frutos imaturos verdes..","Macairea theresiae Cogn.","",,"GBIF"
"","MPEG","HERBMG","MG190834","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.","Lobato, L.C.B.",,"",,"","Rocha, A.E.S.; Lobato, P.L.",2008,1,21,"Brazil","Pará",,"Faro",,,,"Macairea theresiae Cogn.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","227501","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.",,,"","391","","Mike Hopkins",2007,7,7,"Brazil","Amazonas",,"Rebio Uatumã., Entorno. Estrada do Ramal da Morena.",-1,-59,,"Macairea theresiae Cogn.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","227458","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.","Carvalho-Sobrinho, J.G. de",,"","829","","Mike Hopkins",2006,8,1,"Brazil","Amazonas",,"Rebio Uatumã., Entorno. Próximo à entrada para o CPPQMA, na estrada para a vila de Balbina.",1,-59,,"Macairea theresiae Cogn.","",,"GBIF"
"","UFPR","UPCB","82194","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.","Carvalho-Sobrinho, J. G. de",2007,"","829","","Carvalho-Sobrinho, J.G.de",2006,8,1,"Brazil","Amazonas","Presidente Figueiredo","Balbina. Entorno. Próximo à entrada para o CPPQMA, na estrada par a vila de Balbina.",1,-59,"Árvore ca. 15m alt. Folhas cartáceas, ásperas. Flores com cálice verde-claro, pétalas com base branca e ápice lilás, androceu com 4 estames com anteras roxas e 4 estaminódios verde-claros..","Macairea theresiae Cogn.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","258166","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.",,,"","11693","","Mike Hopkins",1999,9,23,"Brazil","Amapá",,"BR-156, Km 95, A 400m da margem da estrada, localidade Areial.",0.33,-51.25,,"Macairea theresiae Cogn.","",,"GBIF"
"","MPEG","HERBMG","MG156562","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.",,,"",,"","Miranda, I.S.",1998,6,24,"Brazil","Rondônia",,"Pimenta Bueno",-0.081667,-60.6325,,"Macairea theresiae Cogn.","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","186069","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.","Wurdack, J.J.",1992,"","21839","","Mike Hopkins",1991,7,23,"Brazil","Amazonas",,"Rio Cuieras.  Campina de Jaradá.",-2.683333,-60.32,,"Macairea theresiae Cogn.","",,"GBIF"
"","US","Botany","3104537","Macairea theresiae","","Melastomataceae","Macairea","theresiae","","Cogn.",,,"","234","","M. L. Kawasaki, H. C. Lima, D. W. Stevenson, J. Ramos & G. Mueller",1987,11,22,"Brazil","Amazonas",,"Igarapé Tibuiari, afluente do rio Uaupés perto do local chamado Monte Cristo e próximo da confluência com o rio Negro",0.08,-67.33,,"Macairea theresiae Cogn.","",,"GBIF"
