"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MBML","MBML-HERBARIO","48746","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","R. Goldenberg/2015",,"","2160","","R. Goldenberg; L.F. Bacci, T. Bochorny",2015,5,10,"Brazil","Espírito Santo","Santa Leopoldina","Pedra Preta, floresta na base da pedra",,,"Árvore 8m (mas com indivíduos vizinhos até 16m); estéril (mas estava com frutos, estes não alcançados)","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","UFPR","UPCB","83044","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","Goldenberg, R.",2015,"","2160","","Goldenberg, R.",2015,5,10,"Brazil","Espírito Santo","Santa Leopoldina","Pedra preta, floresta na baes da pedra",,,"Árvore 8m (mas com individuos vizinhos até 16m); Estéril (mas estava com frutos, estes não alcançados)..","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","MBML","MBML-HERBARIO","49055","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","R. Goldenberg/2019",,"","7827","","A. P. Fontana; V.G. Leite & M.F.B. Costa",2013,10,22,"Brazil","Espírito Santo","Santa Teresa","Penha. Propriedade de Rubinho Pizziolo.",-19.934722,-40.556111,"Arbusto, ca. 4m. Frutos secos.","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","UFPR","UPCB","71758","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","Goldenberg, R.",2011,"","1609","","Michelangeli, F.A.",2011,2,8,"Brazil","Espírito Santo","Santa Teresa","BLOQUEADO",,,"Tree 8 m tall, 12 cm DBH; petals deep pink in bud and at anthesis, later turning white; filaments white at the base, purple apically, connective white, appendage yellow, large anthers purple, small anthers white; ovary dark pink, sty","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","MBML","MBML-HERBARIO","46581","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","R. Goldenberg/Fev.2011",,"","1609","","F.A. Michelangeli; R. Goldenberg, M.K. Caddah, M. Reginato & L. Kollmann",2011,2,8,"Brazil","Espírito Santo","Santa Teresa","Reserva Santa Lúcia, top of Ridge (Bonita) trail",-19.171667,-40.868889,"Tree 8m tall, 12cm DHB, petals deep pink in bud and at anthesis, later turning white, filaments white at the base, purple apically, connective white, appendage yellow, large anthers purple, small anthers white, ovary dark pink, style w","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","MO","MO","100610601","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","R. Goldenberg",2011,"","Michelangeli 1609","","Fabián A. Michelangeli|Renato Goldenberg|Mayara K. Caddah|Marcelo Reginato|Ludovic Kollmann",2011,2,8,"Brazil","Espírito Santo",,"Reserva Santa Lucia, top of Ridge (Bonita) trail. (19° 98' 18"" S, 40° 52' 80"" W)",,,,"Meriania calophylla (Cham.) Triana","",,"GBIF"
"","JBRJ","RB","RB00741847","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","R. Goldenberg",,"","1609","","F.A. Michelangeli; R. Goldenberg; M.K. Caddah; M. Reginato; L. Kollmann",2011,2,8,"Brazil","Espírito Santo","Santa Teresa","Reserva Santa Lucia, top of Ridge (Bonita) trail.",-20.638333,-40.888889,"Tree 8m tall, 12cm DBH; petals deep pink in bud and at anthesis, later turning white; filaments white at the base, purple apically, connective white, appendage yellow, large anthers purple, small anthers white; ovary dark pink, style white","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","CAS","BOT-BC","517271","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana",,,"","1609","","Michelangeli, F. A.; Goldenberg, R.; Caddah, M. K.; Reginato, M.; Kollmann, L.",2011,2,,"Brazil","Espirito Santo",,"Reserva Santa Lucia, top of Ridge (Bonita) trail.",-19,-40,"Tree 8 m tall, 12 cm DBH; petals deep pink in bud and at anthesis, later turning white; filaments white ant the base, puprle apically, connective white, appendage yellow, large anthers purple, small anthers white; ovary dark pink, style white. GPS coordinates given as 19°98'18"" S, 40°52'80"".","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","NY","NY","1654154","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","R. Goldenberg",2011,"","1609","","F. A. Michelangeli",2011,2,8,"Brazil","Espírito Santo",,"Reserva Santa Lucia, top of Ridge (Bonita) trail",-19.98179,-40.52799,,"Meriania calophylla (Cham.) Triana","",,"GBIF"
"","UFPR","UPCB","65687","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","Fontana, A.P.",2007,"","2984","","Fontana, A.P.",2007,2,23,"Brazil","Espírito Santo","Santa Teresa","BLOQUEADO",,,"Árvore, ca. 5m. Flores com cálice e inflorescência marrom e parte abaxial das folhas. Flores com corola rosada..","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","MBML","MBML-HERBARIO","40339","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","A.P. Fontana/2007",,"","2984","","A. P. Fontana; K.A. Brahim",2007,2,23,"Brazil","Espírito Santo","Santa Teresa","Julião, prop. do Sr. João Luiz Rodrigues de Souza. Floresta Ombrófila Aberta, mata de encosta",-19.741861,-40.539972,"Árvore ca 5m. Flores com cálice e inflorescência marrom e parte abaxial das folhas. Flores com corola rosada","Meriania calophylla (Cham.) Triana","",,"GBIF"
"","JBRJ","RB","RB00561875","Meriania calophylla","","Melastomataceae","Meriania","calophylla","","(Cham.) Triana","A. P. Fontana",2007,"","2984","","A. P. Fontana; K.A. Brahim",2007,2,23,"Brazil","Espírito Santo","Santa Teresa","Julião, propr. De João Luiz Rodrigues de Souza. Floresta Ombrófila Densa, Mata de Encosta.",-19.818611,-40.599722,"Árvore, ca. 5m. Flores com cálice e inlorescência marrom e parte abaxial das folhas. Flores com corola rosada.","Meriania calophylla (Cham.) Triana","",,"GBIF"
