"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01407616","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana","J.F.A. Baumgratz & M.R. Moutinho",,"","54","","M.R. Moutinho; J. Külkamp, M.E. Lopes, L.F. Gonçalves(Bermuda), M.P. Morim.",2019,2,20,"Brazil","Rio de Janeiro","Teresópolis","Em Floresta ombrófila densa montana. Trilha p/ Rancho Frio. Parque Nacional da Serra dos Órgãos.",-22.458333,-43.004722,"Folhas verdes discolores, frutos castanhos.","Meriania paniculata (DC.) Triana","",,"GBIF"
"","UFPR","UPCB","80307","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana","Goldenberg, R.",2017,"","1477","","Reginato, M.",2014,10,5,"Brazil","Rio de Janeiro","Teresópolis","P. N. da Serra dos Órgãos. Trilha Suspensa",,,"Arbórea 10m, frutos jovens verdes, floresta montana..","Meriania paniculata (DC.) Triana","",,"GBIF"
"","JBRJ","RB","RB00777860","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana","B.C. Bandeira e J.F.A. Baumgartz",,"","311","","Finotti; D. Holz, E. Ramos e A. Sanchez-Tapia",2013,1,9,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha do Rancho Frio, indivíduo 335 da grade PROBIO II.",-22.771667,-43.000278,"Floresta Ombrófila Densa Montana","Meriania paniculata (DC.) Triana","",,"GBIF"
"","JBRJ","RB","RB00764500","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana","B.C. Bandeira & J.F.A. Baumgratz",2013,"","209","","B.C. Bandeira; J.F.A. Baumgratz, L.S.B Jordão e Eliana Rodrigues",2013,4,4,"Brazil","Rio de Janeiro","Rio de Janeiro","Magé, Santo Aleixo. Volta do Morro da Capela, inicio pela trilha da R. Saquarema em direção à Antiga fazenda Rio das Pedras Negras.",-22.573333,-43.084167,"Arvoreta, 2m, folhas discolores, frutos pardacentos.","Meriania paniculata (DC.) Triana","",,"GBIF"
"","JBRJ","RB","RB00766332","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana","B.C. Bandeira & J.F.A. Baumgratz",2013,"","217","","B.C. Bandeira; J.F.A. Baumgratz, L.S.B Jordão e Eliana Rodrigues",2013,4,4,"Brazil","Rio de Janeiro","Rio de Janeiro","Magé, Santo Aleixo. Volta do Morro da Capela, inicio pela trilha da R. Saquarema em direção a Fazenda Rio das Pedras Negras.",,,"Arvoreta, ca. 2m alt., ramos esverdeado pardacentos, folhas discolores, frutos pardacentos.","Meriania paniculata (DC.) Triana","",,"GBIF"
"","JBRJ","RB","RB00824484","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana",,,"","11","","C. Marques",2013,5,25,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional Serra dos Órgãos, Trilha Suspensa.",,,"Árvore ca. 3,5m altura, folha cartácea, discolor, botões e flores com cálice verde e corola branca, antera amarela com base arroxeada","Meriania paniculata (DC.) Triana","",,"GBIF"
"","JBRJ","RB","RB01058519","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana",,,"","248","","K.C. Silva-Gonçalves; F.S. Gonçalves",2013,7,6,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","REGuapiaçu, Trilha Vermelha. Área de interseção com o Parque Estadual dos Três Picos.",,,"Árvore ca. 3,5m alt. Folhas verdes. Botões brancos. Frutos secos","Meriania paniculata (DC.) Triana","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","47362","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana","Bandeira, B.C.",,"","69","","Bandeira, B.C.; et alii",2012,3,20,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Orgãos, Cascata dos Amores.",,,"arvoreta com folhas membranáceas discolores, flor pardacento, 3m altura","Meriania paniculata (DC.) Triana","",,"GBIF"
"","MBML","MBML-HERBARIO","45232","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana","B.C. Bandeira",,"","88","","B.C. Bandeira; L.S.B. Jordão, T.E.C. Meneguzzo, D. Monteiro & L.F. Gonçalves (Bermuda)",2012,3,22,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para o Rancho Frio",-22.412222,-42.965556,"Arvoreta ciófila 3m, folhas discolores, frutos pardacentos","Meriania paniculata (DC.) Triana","",,"GBIF"
"","MBML","MBML-HERBARIO","45236","Meriania paniculata","","Melastomataceae","Meriania","paniculata","","(DC.) Triana","B.C. Bandeira/04-04-2012",,"","69","","B.C. Bandeira; J.F.A. Baumgratz, L.S.B. Jordão, T.E.C. Meneguzzo, D. Monteiro & L.F. Gonçalves (Bermuda)",2012,3,20,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos. Trilha para a Cascata dos Amores",-22.412222,-42.965556,"Cachoeira. Arvoreta ciófila ca 3m. Folhas menbranáceas discolores, frutos pardacentos","Meriania paniculata (DC.) Triana","",,"GBIF"
