"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","196953","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.",,,"","6657","","Rezende, SG; Justo, AG",2018,1,26,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.088333,-43.705278,"Árvore; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Miconia brunnea DC.","",,"GBIF"
"","JBRJ","RB","RB01400453","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.","J.F.A. Baumgratz",2019,"","3446","","M. Nadruz; L. Temponi, M. Camelo, R. Ribeiro & F. Marcolino",2018,11,13,"Brazil","Minas Gerais","Fervedouro","Trilha para pedra do pato",-20.737778,-42.475,"Lâmina foliar cartácea esverdeada adaxialmente, amarelada abaxialmente; pedúnculo acastanhado, pedicelo e botoes cor de palha.","Miconia brunnea DC.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","196952","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.",,,"","6656","","Rezende, SG; Justo, AG",2017,12,12,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.073056,-43.697778,"Árvore; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Miconia brunnea DC.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","183865","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.",,2016,"","377","","Sousa, NL; Souza, JAM; Avelar, R",2016,11,22,"Brazil","Minas Gerais","Itabirito","RPPN Córrego Seco",-20.266111,-43.843333,"Arbóreo, 7,8m alt. Terrestre. Botões florais brancos.; Floresta Estacional Semidecidual. Ao lado de curso d'água em encosta de barranco.","Miconia brunnea DC.","",,"GBIF"
"","MBM","MBM","407315","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.","Brotto, ML",2016,"","2363","","Brotto, ML",2016,12,7,"Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas",-24.837917,-48.691917,"Árvore com 5 m de altura; com botões florais.; Floresta Ombrófila Densa Montana (de porte baixo).","Miconia brunnea DC.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","177300","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.",,2015,"","2138","","Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L",2015,4,29,"Brazil","Minas Gerais","Mariana","Mina Fazendão",-20.153611,-43.436667,"Floresta Estacional Semidecidual","Miconia brunnea DC.","",,"GBIF"
"","Universidade Federal dos Vales do Jequitinhonha e Mucuri","HDJF","5393","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.","Moreira, SN",2015,"","1899","","Moreira, SN; Pereira, E",2015,9,7,"Brazil","Minas Gerais","Conceição do Mato Dentro","Cava Sul - Anglo American",-18.912189,-43.419133,,"Miconia brunnea DC.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","185660","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.",,,"","5567","","Tameirão Neto, E; Campos, RDL",2014,1,25,"Brazil","Minas Gerais","Itabira",,-19.612842,-43.261931,"Arbóreo; Frutificação; Mata do Borrachudo, face inferior da folha vermelha, altura 4,5m; Floresta estacional semidecidual","Miconia brunnea DC.","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","129022","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.","Colletta, G.D. et al.",2014,"","1438","","Colletta, G.D.",2014,4,16,"Brazil","São Paulo","Tapiraí","Reserva CBA, Represa",,,"Árvore, 6m, frutos imaturos esverdeados","Miconia brunnea DC.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","185842","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.",,,"","856","","Gontijo, FD; Tameirão Neto, E; Souza, DT",2014,8,23,"Brazil","Minas Gerais","Morro do Pilar",,-19.278911,-43.316808,"Arbóreo; Frutificação; Floresta estacional semidecidual","Miconia brunnea DC.","",,"GBIF"
"","JBRJ","RB","RB00853692","Miconia brunnea","","Melastomataceae","Miconia","brunnea","","DC.",,,"","895","","F.N. Cabral; C.M. Potascheff; A.P. Liboni; I.C. Fagundes; V.C. Souza; R.R. Rodrigues; J.Y. Tamashiro; N.M. Ivanauskas",2013,3,30,"Brazil","São Paulo","Tapiraí","Trilha do Chagas, UHE da Fumaça, à margem esquerda do Rio Juquiá.",-24.516389,-52.870278,"Árvore com fruto","Miconia brunnea DC.","",,"GBIF"
