"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPR","UPCB","92420","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","Goldenberg, R.",2017,"","2262","","Goldenberg, R. | Amorim, A.M. | Paixão, J.L.",2017,4,28,"Brazil","Bahia","Presidente Tancredo Neves","Região da Tesoura 1, Estrada de Acesso ao Sítio do Burijao, 5.7km da BR 101 em estrada não pavimentada.",-13.447778,-39.468889,"Floresta Úmida, em topo de morro.. Árvore 17m. Flores com pétalas brancas e estames com filetes brancos e anteras escurecidas, bege.","Miconia formosa Cogn.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","154331","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","R. Goldenberg",,"","2262","","R. Goldenberg",2017,4,28,"Brazil","Bahia","TANCREDO NEVES",,,,"<ll>dwc_commonname:</ll>","Miconia formosa Cogn.","",,"GBIF"
"","JBRJ","RB","RB01084930","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","Paulo Guimarães",,"","468","","C. Baez; Thalis Lima",2016,1,27,"Brazil","Rio de Janeiro","São Fidélis","Serra Pedra do Marial. Mata Nebular no vale entre a Crista da montanha e o cume. Parque Estadual do Desengano",-21.863611,-41.905,"Terrícola, umbrófila. Pecíolo castanho piloso. Folhas marcadamente discolores pilosas na face abaxial. Pedicelo da infrorescência alvacento piloso. Flores em botão verdes com tricomas castanhos.","Miconia formosa Cogn.","",,"GBIF"
"","UFPR","UPCB","84583","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","Goldenberg, R.",2016,"","331","","Araújo, E.A.",2015,2,,"Brazil","Espírito Santo","Ibitirama","Santa Marta, PARNA do Caparaó: Parcela 08, indivíduo 73",-20.491,-41.77,"Folha discolor, pecíolo alongado, fruto capsular..","Miconia formosa Cogn.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","47532","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","Oliveira, AA de",2015,"","650","","Uller, H.F.; Klitzke, A.R.",2015,4,9,"Brazil","Santa Catarina","Massaranduba","Pico Jaraguá.",-26.535278,-49.031389,,"Miconia formosa Cogn.","",,"GBIF"
"","JBRJ","RB","RB01400082","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","A. A. de Oliveira",2015,"","650","","H. F. Uller; A. R. Klitzke",2015,4,9,"Brazil","Santa Catarina","Massaranduba","Pico Jaraguá",-26.535278,-49.031389,"Ramificada desde a base. Folhas lustrosas, verdes, na parte adaxial e verde esbranquiçada na parte abaxial. Flores brancas com estames longos, amarelos","Miconia formosa Cogn.","",,"GBIF"
"","JBRJ","RB","RB00935128","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","J. F. A. Baumgratz",,"","s/n","","Resende, J.; Terra, G.",2014,4,23,"Brazil","Rio de Janeiro","Santa Maria Madalena","Conglomerado 45-3-4-51. UTM E(196349m) N(7568687m). Fuso do GPS (24K).",,,"Árvore com 13 metros de altura, base reta. Casca interna vermelha, externa escurecida, grossa, rugosa. Primórdios florais de cor parda.","Miconia formosa Cogn.","",,"GBIF"
"","MBML","MBML-HERBARIO","48795","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","L.F. Bacci/2013",,"","110","","L.F. Bacci; D.F. Lima",2013,11,26,"Brazil","Espírito Santo","Santa Teresa","REBIO Augusto Ruschi, trilha para a cachoeira",,,"Árvore ca 8m alt., frutos imaturos verdes","Miconia formosa Cogn.","",,"GBIF"
"","UFPR","UPCB","90820","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","Bacci, L.F.",2013,"","110","","Bacci, L.F. | Lima, D.F.",2013,11,26,"Brazil","Espírito Santo","Santa Teresa","REBIO Augusto Ruschi, trilha da cachoeira",,,"Árvore ca. 8m alt. Frutos imaturos verdes..","Miconia formosa Cogn.","",,"GBIF"
"","UFPR","UPCB","92342","Miconia formosa","","Melastomataceae","Miconia","formosa","","Cogn.","Bacci, L.F.",2013,"","116","","Bacci, L.F. & Zorzanelli, J.P.F.",2013,11,28,"Brazil","Espírito Santo","Iúna","Serra do Valentim, terreno do Seu Aristídes",,,"Árvore ca. 10m alt..","Miconia formosa Cogn.","",,"GBIF"
