"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","NY","NY","01874825","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack","M. Reginato",2013,"","1369","","M. Reginato",2013,1,4,"Brazil","Goiás",,"Estrada Alto Paraíso - São Jorge.",-14.15605,-47.548656,,"Miconia irwinii Wurdack","",,"GBIF"
"","MO","MO","101041814","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack","M. Reginato",2013,"","Reginato 1369","","Marcelo Reginato|M.H. Beltrame",2013,1,4,"Brazil","Goiás",,"Estrada Alto Paraíso-São Jorge.",,,,"Miconia irwinii Wurdack","",,"GBIF"
"","JBRJ","RB","RB01418844","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack","M. Reginato",2013,"","1369","","M. Reginato; M.H. Beltrame",2013,1,4,"Brazil","Goiás","Alto Paraíso de Goiás","Estrada Alto Paraíso - São Jorge.",,,,"Miconia irwinii Wurdack","",,"GBIF"
"","UFU","HUFU","64084","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack",,2011,"","1564","","Goldenberg, R.; Silveira, F.A.O.",2011,8,15,"Brazil","Minas Gerais","Jaboticatubas","Serra do Cipó",,,"Arbusto, ca. 2 m alt. flores com pétalas e estames brancos, frutos maduros purpúreo-enegrecidos.; Campo rupestre, sobre afloramento rochoso.","Miconia irwinii Wurdack","",,"GBIF"
"","NY","NY","02210501","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack",,,"","1564","","R. Goldenberg",2011,8,15,"Brazil","Minas Gerais",,"Serra do Cipó",-19.388386,-43.539757,,"Miconia irwinii Wurdack","",,"GBIF"
"","USP","SPF","209613","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack","Woodgyer, EM",2009,"","2025","","Zappi, DC",2009,3,10,"Brazil","Minas Gerais","Santana de Pirapama","Serra do Cipó, Trilha da Senhorinha, primeiro platô.",-18.953243,-43.772592,"Arvoreta 2 m alt., folhas verde-alvacentas, pétalas alvas.; Campo rupestre. com afloramentos quartzíticos e solo de areia branca.","Miconia irwinii Wurdack","",,"GBIF"
"","CAS","BOT-BC","398156","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack","R. Goldenberg",2010,"","9719","","Almeda, F.; Martins, A. B.; Fritsch, P. W.; Aranha Filho, J. L.M.; Bush, C.; Belinello, R.",2009,3,,"Brazil","Minas Gerais",,"Municipio Santana do Riacho. Serra do Cipó. About 8 km beyond the church in Santana do Riacho on the road to Lapinha and Pico do Breu.",-19.1149,-43.69937,"Shrub 1-1.5 m tall. Flowers 5-merous. Petals and entire androecium white. Uncommon.","Miconia irwinii Wurdack","",,"GBIF"
"","USP","SPF","218611","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack","Pena, MA",2009,"","801","","Pena, MA",2008,3,12,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 113 da rodovia MG 010, lado direito, sentido Morro do Pilar. Próximo à Pedra do Elefante.",-19.456389,-43.560833,"Árvore ca. 1,7 m. Folhas discolores. Tricomas castanho na face abaxial de folhas jovens. Cálice alvo-esverdeado. Corola alva. Estames amarelos.","Miconia irwinii Wurdack","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","126045","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack",,,"","3690","","Viana, PL; Mota, NFO; Giorni, VT; Novaes, RML",2008,8,29,"Brazil","Minas Gerais","Felício dos Santos","APA Felício. Mata do Isidoro., Mata do Isidoro e arredores.",-18.283333,-43.466667,"Arbusto com flores cremes. Campo rupestre.","Miconia irwinii Wurdack","",,"GBIF"
"","USP","SPF","218612","Miconia irwinii","","Melastomataceae","Miconia","irwinii","","Wurdack","Pena, MA",2009,"","296","","Pena, MA",2007,5,31,"Brazil","Minas Gerais","Santana do Riacho","Serra do Cipó, Km 108 da rodovia MG 010, lado direito, sentido Morro do Pilar.",-19.284444,-43.588333,"Flores pequenas alvas. Frutos imaturos roxos.","Miconia irwinii Wurdack","",,"GBIF"
