"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Minas Gerais","BHCB","197942","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin",,,"","6949","","Rezende, SG; Justo, AG",2018,8,31,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.046944,-43.686667,"Árvore; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Miconia tentaculifera Naudin","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197941","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin",,,"","6948","","Rezende, SG; Justo, AG",2018,8,28,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.041667,-43.685,"Árvore; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Miconia tentaculifera Naudin","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","197943","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin",,,"","6950","","Rezende, SG; Justo, AG",2018,10,2,"Brazil","Minas Gerais","Rio Acima","Serra do Gandarela",-20.023333,-43.683056,"Árvore; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","Miconia tentaculifera Naudin","",,"GBIF"
"","UFU","HUFU","74188","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin",,,"","601","","Hemsing, P.K.B.; Romero, R.; Oliveira, L.F.A. & Lopes, I.T.F.V.",2017,5,2,"Brazil","Minas Gerais","Ouro Branco","Parque Estadual Serra do Ouro Branco, Estrada para Serra de Ouro Branco.",-20.491667,-43.709444,"Árvore, ca. de 3 m. Botões florais com hipanto verde e pétalas alvas. Frutos imaturos verdes.","Miconia tentaculifera Naudin","",,"GBIF"
"","JBRJ","RB","RB01194943","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin","L.B. Pimentel",,"","2017","","L.B. Pimentel",2014,8,19,"Brazil","Ceará","Missão Velha","Sítio Caiçara.",-7.225833,-39.078889,,"Miconia tentaculifera Naudin","",,"GBIF"
"","UFPR","UPCB","71936","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin",,,"","1495","","Goldenberg, R.",2011,1,21,"Brazil","Minas Gerais","Santa Barbara","Caraça, ""Banhos do Belchior"".",,,"Arvoreta 6m, estéril. Floresta ao longo do riacho..","Miconia tentaculifera Naudin","",,"GBIF"
"","JBRJ","RB","RB00740020","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin",,,"","1495","","R. Goldenberg",2011,1,21,"Brazil","Bahia","Santa Bárbara","Caraça; ""Banhos de Belchior"".",,,"Arvoreta 6m; estéril","Miconia tentaculifera Naudin","",,"GBIF"
"","NY","NY","1795753","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin",,,"","1495","","R. Goldenberg",2011,1,21,"Brazil","Minas Gerais",,"Cracça' ""Banhos do Belchior""",,,,"Miconia tentaculifera Naudin","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","145827","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin",,2010,"","100","","Mansur, T; Tameirão Neto, E",2010,8,5,"Brazil","Minas Gerais","Raposos",,-20.025742,-44.294161,"Floresta estacional semidecidual","Miconia tentaculifera Naudin","",,"GBIF"
"","UFPR","UPCB","64393","Miconia tentaculifera","","Melastomataceae","Miconia","tentaculifera","","Naudin","Caddah, M.K.",2009,"","425","","Caddah, M.K.",2009,3,27,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, trilha para Cachoeira Casca d'Anta, parte baixa",,,"Coleta em sílica..","Miconia tentaculifera Naudin","",,"GBIF"
