"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01012958","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","D. C. Kutschenko & L. Silva",,"","75","","Luan, Silva",2015,8,10,"Brazil","Rio de Janeiro","Duque de Caxias","Reserva Biológica do Tinguá. Conglomerado 329-3-6-44. UTM E (655898m) F (7510832m). Fuso do GPS (23K).",,,"Árvore, com 8,5 metros de altura. Base reta. Casca interna marrom claro e externa marrom escura a preta, fina, e fissurada.","Mouriri arborea Gardner","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","139443","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","R. Goldenberg",,"","288","","L. F. Bacci",2015,12,19,"Brazil","Bahia","WENCESLAU GUIMARÃES","Mata na prioridade do Português, próximo a estrada a direita da cancela.",,,"<ll>dwc_commonname:</ll>","Mouriri arborea Gardner","",,"GBIF"
"","Reserva Natural Vale","CVRD","15167","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","Renato Goldenberg",2017,"","1022","","Siqueira, G.S.",2014,11,18,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Amarradinha","Mouriri arborea Gardner","",,"GBIF"
"","Reserva Natural Vale","CVRD","14384","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","Geovane S. Siqueira",2013,"","864","","Siqueira, G.S.",2013,3,18,"Brazil","Es","LINHARES",,-19.09775,-39.968917,"<ll>dwc_commonname:</ll> Amarradinha","Mouriri arborea Gardner","",,"GBIF"
"","Reserva Natural Vale","CVRD","13846","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","Domingos A. Folli",2012,"","6887","","Folli, D.A.",2012,7,25,"Brazil","Es","LINHARES",,,,"coletado na em floresta de aluvial do baixo Rio Doce <ll>dwc_commonname:</ll> Amarradinha","Mouriri arborea Gardner","",,"GBIF"
"","JBRJ","RB","RB00853733","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","D.A. Folli",2012,"","6887","","D.A. Folli",2012,7,25,"Brazil","Espírito Santo","Linhares","Floresta Nacional de Goytacazes. Estrada BR 101,Floresta de aluvial do baixo Rio Doce. Floresta Nacional de Goytacazes",-86.456111,-39.223056,"Forma de vida Terrestre; Porte arbóreo; Fuste cilíndrico; Casca escamosa; Seiva incolor; Fruto imaturo verde","Mouriri arborea Gardner","",,"GBIF"
"","Reserva Natural Vale","CVRD","14299","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","Geovane S. Siqueira",2012,"","832","","Siqueira, G.S.",2012,11,30,"Brazil","Es","LINHARES","depois da porteira 100 m",,,"material em alcool 70% <ll>dwc_commonname:</ll> Amarradinha","Mouriri arborea Gardner","",,"GBIF"
"","JBRJ","RB","RB00781932","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","G.S. Siqueira",2012,"","832","","G.S. Siqueira",2012,11,30,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale, depois da portaria. Mussununga. Estrada aceiro marco de ferro.",,,"Terrestre. Botão verde claro. Fruto maduro amarelos e fruto imaturo verde claro. Exsudação incolor. Descamação ausentye. Casca áspera,. Fuste cilindrico. Material em alcool 70%","Mouriri arborea Gardner","",,"GBIF"
"","UFES","VIES","22566","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","Gomes, J.M.L.",2011,"","3886","","Gomes, J.M.L.",2011,8,15,"Brazil","Espírito Santo","Linhares","Flona de Goytacazes.",,,,"Mouriri arborea Gardner","",,"GBIF"
"","UFES","VIES","10632","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","Assis, A.M.",2010,"","69","","Botelho, R.M.; Assis, A.M. & Cribari, R.S.",2010,6,18,"Brazil","Espírito Santo","Serra","Mestre Álvaro.",,,,"Mouriri arborea Gardner","",,"GBIF"
"","UFES","VIES","24418","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner","Ribeiro, M.",2011,"","86","","Oliveira, I.R.; Rocha, T.L. & Ribeiro, M.",2010,9,25,"Brazil","Espírito Santo","Conceição da Barra","Reserva Biológica de Córrego Grande.",,,,"Mouriri arborea Gardner","",,"GBIF"
"","UFES","VIES","31273","Mouriri arborea","","Melastomataceae","Mouriri","arborea","","Gardner",,,"","109","","Curto, R.A.; Martins, L.T.; David, H.C. & Silva, A.E.",2010,9,6,"Brazil","Espírito Santo","Guaçuí","Floresta do Rosal.",,,,"Mouriri arborea Gardner","",,"GBIF"
