"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFRB","HURB","23353","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.",,,"","5172b","","Aona, L.Y.S.; Costa, G.; E.H. Souza; Vitório, C.D.P.; Fonseca, W.O.",2019,2,23,"Brazil","Bahia","Ilhéus",,,,"PM 63","Mouriri chamissoana Cogn.","",,"GBIF"
"","Instituto Amazónico de Investigaciones Científicas SINCHI","COAH","PR-313","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.","Mendoza, H.",2019,"","50148","","Cárdenas, D.",2018,3,5,"Colombia","Guaviare",,"cabecera del río Apaporis, margen izq., cerro Campana, confluencia del río Ajajú y río Tunia (Dos Ríos), 10km E del PNN serranía de Chibiriquete, bosque alto de 35m, DAP de 1.8m, moderadamente abierto, sotobosque abierto",1.28544,-72.60981,"Ejemplar Botánico","Mouriri chamissoana Cogn.","",,"GBIF"
"","UFRGS","ICN","199700","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.","Grings, M; Mello, AS",2018,"","1955","","Grings, M; Mello, AS",2018,11,14,"Brazil","Sc","Itapoá","Reserva Volta Velha",,,"árvore com cerca de 13 m de altura; floração ramiflora muito abundante e aromática; flores brancas.; árvore remanescente em meio a plantio de palmeira-real; atrás do refeitório","Mouriri chamissoana Cogn.","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","66855","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.","Grings, M.; Mello, A.S.",,"","1955","","Grings, M.; Mello, A.S.",2018,11,14,"Brazil","Santa Catarina","Itapoá","Reserva Volta Velha, atrás do refeitório.",,,"Árvore remanescente em meio a plantio de palmeira-real; árvore com cerca de 13m de altura; floração ramiflora muito abundante e aromática; flores brancas","Mouriri chamissoana Cogn.","",,"GBIF"
"","JBRJ","RB","RB01383592","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.","J. F. A. Baumgratz",,"","17MMC1","","G. A. M. Leite",2017,10,28,"Brazil","Rio de Janeiro","Teresópolis","Soberbo. Gramado inclinado ao lado do estacionamento perto da estação meteriologica. Parna Serra dos Orgãos",-22.448611,-42.987222,,"Mouriri chamissoana Cogn.","",,"GBIF"
"","UFPR","UPCB","93182","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.","Voltz, R.R",2018,"","1967","","Volt, R.R | Lozano, E.D | Canestraro, B.K.",2017,12,11,"Brazil","Paraná","Morretes","PARNA Saint-Hilaire/Lange, trilha para o pico Torre da Prata.",,,"Floresta Ombrófila Densa Submontana de topo de morro. Arvore 12 m alt.; flores com cálice esverdeado e corola alva; interior de Floresta Ombrófila Densa Submontana de topo de morro.","Mouriri chamissoana Cogn.","",,"GBIF"
"","UFES","VIES","39905","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.","V.C. Freitas",2019,"","4135","","Gomes, J.M.L.",2015,1,5,"Brazil","Espírito Santo","Presidente Kennedy",,,,,"Mouriri chamissoana Cogn.","",,"GBIF"
"","Instituto de Botânica","SP","490451","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.","Aragaki, S; Petri, L",2016,"","98","","Mourad, BM; Petri, L",2015,10,12,"Brazil","São Paulo","São Paulo","Parque Estadual das Fontes do Ipiranga",,,,"Mouriri chamissoana Cogn.","",,"GBIF"
"","UFU","HUFU","68061","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.","Romero, R.",2014,"","s.n","","Araújo, G.M.",2014,2,6,"Brazil","Minas Gerais","Araguari","Bosque de Araguari",,,"Árvore 12 m. Fruto verde.; Floresta semidecidual.","Mouriri chamissoana Cogn.","",,"GBIF"
"","UFRB","HURB","14474","Mouriri chamissoana","","Melastomataceae","Mouriri","chamissoana","","Cogn.",,,"","445","","Victor Jr., V.",2013,1,10,"Brazil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi",,,,"Mouriri chamissoana Cogn.","",,"GBIF"
