"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFMT","UFMT","44315","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","Coelho, M.F.B.",2019,"","004","","Vargas, H.S.; et al.",2019,4,13,"Brazil","Mato Grosso","Chapada dos Guimarães","3 Km do centro de Chapada dos Guimarães",-15.747222,-56.252778,"Árvore de 3m de altura, folhas discolores e flor violeta escura.; Cerrado","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","JBRJ","RB","RB01411749","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","P.J.F. Guimarães",,"","59","","D. Nunes; P.J.F. Guimarães, M.H. Santana & G.T.F. Gouvêa",2019,6,7,"Brazil","Minas Gerais","Carrancas","Na estrada de terra Carrancas-Luminárias. Em barranco ao lado da estrada.",-21.511944,-44.716944,"Folhas verdes discolores, cartáceas. Inflorescência com raque acastanhada; flores com sépalas acastanhadas, pétalas roxas com a base branca; estames com filetes e pedoconectivos roxos, mas lilás na base; apêndices roxos com glândulas vermelhas; anteras roxas","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","Cenargen","CEN","109805","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","B. M. T. Walter",2019,"","17226","","Glocimar Pereira-Silva",2018,8,14,"Brazil","Mg","RIO PARDO DE MINAS","Estrada de acesso ao Parque Estadual de Serra Nova, próximo à cidade e ao portão de entrada do parque.",-15.645833,-42.735,,"Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","JBRJ","RB","RB01411844","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","J. Cordeiro",2018,"","2757","","M.L. Brotto; E. Barboza; J. Vaz",2018,9,7,"Brazil","Minas Gerais","Capitólio","Serra da Canastra, próximo ao reservatório de Furnas.",-20.648889,-46.161944,,"Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","MBM","MBM","414621","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","Cordeiro, J",2018,"","2757","","Brotto, ML",2018,9,7,"Brazil","Minas Gerais","Capitólio","Serra da Canastra, próximo ao reservatório de Furnas",-20.648889,-46.161944,"Arbusto com 3 m de altura; pétalas roxas.; Campo cerrado.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","UFU","HUFU","77554","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana",,,"","677","","Hemsing, P.K.B.; Dias, A.G.",2018,10,1,"Brazil","Minas Gerais","Uberaba","Alto Uberabinha",,,"Árvore. ca. 2m. Corola roxa, cálice verde, anteras roxas nigrescentes, frutos marrom avermelhado.; Campo com murundum.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","194025","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana",,,"","179","","Vieira, KIC; Resende, HC; Werneck, HA",2018,11,3,"Brazil","Minas Gerais","Mariana","Estrada Bento Rodrigues, Estrada Bento Rodrigues",-20.263861,-43.426639,"Individuo com nº de ponto 072 - ID: RD 085; arvore; Coletada na vegetação de beira de estrada","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","FUNED","FUNED-POL","4841","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana",,,"",,"","Kamilla Castelan",2018,11,3,"Brazil","Mg","Mariana","Estrada Bento Rodrigues",,,,"Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","138916","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","Souza, V.C.",2017,"","40603","","Souza, V.C.",2017,4,4,"Brazil","Minas Gerais","Jaboticatubas","Estrada Jaboticatubas - Lagoa Santa. Cerrado.",,,"Árvore, ca. 4 m alt.; flores roxas, passando a mais pálidas na senescência.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","32678","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","Chacon, RG",2018,"","1438","","Chacon, RG; Rosa, PO",2017,5,29,"Brazil","Goiás","Pirenópolis","Mosteiro Zen Horyu-Zan Eisho-Ji, Trilha da III Cachoeira dos Dragões",-15.710028,-48.961719,"Arbusto de 1,5m. Flor roxa. Comum; Mata de galeria, borda da mata","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","UFU","HUFU","74866","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana",,,"","4961","","Morais, I.L.",2017,5,18,"Brazil","Goiás","Caldas Novas","Parque Estadual da Serra de Caldas Novas",-17.770833,-48.66,"Arbusto 2,5 m alt., botões, flores lilás com 5,5 x 5,5 cm, cálice vinho.; Meio vereda.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","UEM","HUEM","35145","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","Romero, R.",2018,"","4961","","Morais, I.L.",2017,5,18,"Brazil","Goiás","Caldas Novas","Parque Estadual da Serra de Caldas Novas., Vereda.",-17.770833,-48.66,"Arbusto, 2,5 m de altura. Flores lilases com cálice vinho.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","Cenargen","CEN","105975","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","B. M. T. Walter",,"","7101","","Anderson Cássio Sevilha",2017,6,27,"Brazil","Mg","RIO PARDO DE MINAS","Pequizeirão. Roça do Mato. Sítio 28. Ponto 3. Nascente. RDS - Nascentes geraizeiras.",-15.352222,-42.421666,"Interior de mata. Projeto Bem Diverso.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","Fundação Universidade Federal de Mato Grosso do Sul","CGMS","64708","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana",,,"","34","","A.C. Rodrigues; K.C.B.S. Santos; T.S.G. Botelho; V.J. Pott",2017,10,24,"Brazil","Mato Grosso do Sul","Alcinópolis","Parque Estadual das Nascentes do rio Taquari. Trilha dos Canyons.",,,,"Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","CAS","BOT-BC","559857","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana",,,"","190","","Pacifico, R.; Rossi, C. A.; Estevam, D. L.",2016,8,,"Brazil","Minas Gerais",,"Santana do Riacho: Parque Nacional da Serra do Cipó.",,,"Arbusto ereto.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","UEM","HUEM","32897","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","R.Pacifico",2018,"","174","","R.Pacifico; C.A.Rossi; D.L.Estevam",2016,8,30,"Brazil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó., Trilha para a Cachoeira da Farofa, cerrado.",,,"Arbusto. Planta comum.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
"","UEM","HUEM","32913","Pleroma candolleanum","","Melastomataceae","Pleroma","candolleanum","","(Mart. ex DC.) Triana","R.Pacifico",2018,"","190","","R.Pacifico; C.A.Rossi; D.L.Estevam",2016,8,31,"Brazil","Minas Gerais","Santana do Riacho","Parque Nacional da Serra do Cipó., Ponto 206.",,,"Arbusto ereto.","Pleroma candolleanum (Mart. ex DC.) Triana","",,"GBIF"
