"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Reserva Natural Vale","CVRD","15960","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Geovane S. Siqueira",2019,"","1194","","Felitto, G.",2019,5,15,"Brazil","Mg","BRUMADINHO",,,,"Col. Adic.: D.A. Folli, D. Balestrin, E.Sakai, M.Cruz <ll>dwc_commonname:</ll> Quaresma","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Reserva Natural Vale","CVRD","15971","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Geovane S. Siqueira",2019,"","7632","","Folli, D.A.",2019,6,18,"Brazil","Mg","BRUMADINHO","Lago Capim Branco",,,"<ll>dwc_commonname:</ll> Quaresma","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","133719","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2018,"","30673","","Guedes, ML; Alunos de Botânica Econômica",2018,7,18,"Brazil","Bahia","Arataca","Comunidade Teia dos Povos.",-15.55,-39.4,"Ramos quadrangulares. Folhas com a face superior adpresso-estrigosa. Inflorescência panícula, flores pediceladas, flores com pétas roxas, vistosas. Fruto cápsula.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","MBM","MBM","414321","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Justino, LL",2015,"","143","","Justino, LL",2015,2,25,"Brazil","Minas Gerais","Rio Preto","trilha para o pasto do Ninho da Égua",,,"Árvore 3 m. Flores com pétalas e estames roxos.; Na beira da estrada.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","IF","SPSF","48281","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","A. Maruyama",2017,"","31","","M.G.K.Cornia & N.M.Ivanauskas & R.T.Polisel & L.N.Gonçalves",2014,2,20,"Brazil","Mg","Delfim Moreira","Fazendas Bartira (Unidade Alegria)",-22.526944,-45.266944,"COLETA: Árvore de 3m de altura; flores e pétalas roxas, filetes e estiletes róseos e anteras roxas.; GEOGRAFIA: Floresta Ombrófila Mista.;","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","113910","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2014,"","21637","","Guedes, ML; Medeiros, A; Alunos de Microbiologia de Adriana",2014,5,1,"Brazil","Bahia","Palmeiras","Chapada Diamantina, Capão.",-12.633333,-41.483333,"de ca 7 m de altura. Folhas cartáceas, discolores. Inflorescência com flores de pétalas roxas.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","IF","SPSF","49243","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","A. Maruyama",2017,"","58","","M.G.K.Cornia & R.T.Polisel & N.M.Ivanauskas & M.C.Assis",2014,8,21,"Brazil","Mg","Delfim Moreira","Fazendas Bartira (Unidade Alegria)",-22.508889,-45.28,"COLETA: Árvore de 4,5m de altura; frutos castanhos.; GEOGRAFIA: Floresta Ombrófila Mista WGS84,23K, 7508867S , 472586W;","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","IF","SPSF","47552","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","A. Maruyama",2017,"","92","","T.E.Barreto",2013,2,15,"Brazil","Sp","Campos do Jordão","PECJ",-23.2,-45.766667,"COLETA: Herbáceo com flores roxas. &nf;2 duplicatas; GEOGRAFIA: Campo de altitude;","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","109853","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.",,,"","20812","","Guedes, ML; Alunos de Botânica III",2013,8,27,"Brazil","Bahia","Mucugê","Chapada Diamantina, Caminho de Mucugê para Guiné.",-13,-41.366667,"de ca 5 m de altura. Folhas cartáceas, discolores. Inflorescência com flores liláses,","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","IF","SPSF","47603","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","A. Maruyama",2017,"","122","","L.N.Gonçalves & R.T.Polisel & N.M.Ivanauskas & M.C.Assis",2013,8,28,"Brazil","Sp","Piquete",,,,"COLETA: Arvoreta de 1,60m. Flores roxas; GEOGRAFIA: Margem da estrada Piquete/Marmelópolis.&nf;Contato de Floresta Ombrófila Densa e Floresta Estacional.&nf;Coordenadas WGS84, Zona23k, 7510171S, 484222W.;","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","98441","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2011,"","17947","","Guedes, ML; Silva, LB da; Oliveira, MAJ; Silva, MS; Melo, IV de",2011,2,8,"Brazil","Bahia","Elísio Medrado","Recôncavo Sul, Serra da Jibóia",-12.85,-39.466667,"de ca 10 m de altura. Folhas cartáceas, discolores. Inflorescência terminal, cálice piloso, pétalas roxas.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","96132","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Cordeiro, J; Martin, VC",2010,"","3554","","Cordeiro, J; Cordeiro, J; Silva, JM",2010,3,8,"Brazil","Minas Gerais","Alto Caparaó","Parque nacional do Caparaó",,,"Flor purpurea.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","IF","SPSF","44354","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","A. Maruyama",2017,"","3480","","J.Cordeiro & J.M.Silva",2010,3,6,"Brazil","Sp","São José do Barreiro","serra da Bocaina",,,"COLETA: Arbusto 1,3m altura; flores puirpúreas.;","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","UCS","HUCS","40051","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Cordeiro, J.; Martin, V.C.",2010,"","3554","","Cordeiro, J.; Silva, J.M.",2010,3,8,"Brazil","Minas Gerais","Alto Caparaó","Parque Nacional do Caparaó",,,"Arbusto 1,60 m - flor púrpurea&nf;Doação Herbário MBM","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","94843","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2010,"","17156","","Guedes, ML; Gomes, FS; Guaré, F; Silveira, ER; et al.",2010,6,14,"Brazil","Bahia","Mucugê","Chapada Diamantina, Caminho para Mucugê",-12.945,-41.274444,"de ca 8 m de altura. Folhas cartáceas, discolores. Inflorescência com flores com pétalas púrpuras. Frutos cápsulas amarronzadas.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","88553","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2009,"","14767","","Guedes, ML; Gomes, FS; Alunos de Botânica III",2009,4,20,"Brazil","Bahia","Jacobina","Piemonte da Diamantina, Caminho para a Cachoeira do Vieira",-11.162778,-40.497222,"de ca 7 m de altura. Folhas cartáceas, discolores, com a face abaxialtomentosa. Inflorescência com brácteas rosadas. Flores com frutos vermelhos, pétalas roxas.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Reserva Natural Vale","CVRD","14108","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Geovane S. Siqueira",2019,"","4739","","J.R. Stehmann",2007,2,8,"Brazil","Es","LINHARES","Curso de Taxonomia UFMG",-19.147778,-40.0865,"Árvore em área antrpiada. Flores liláses. <ll>dwc_commonname:</ll> Quaresma","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","69548","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2005,"","11687","","Guedes, ML; Velozo, ES; et al.",2005,3,24,"Brazil","Bahia","Piatã","Chapada Diamantina, Mata ciliar",-13.15,-41.766667,"de ca 4m. Folhas cartáceas, discolores, com a face abaxial tomentosa. Inflorescência terminal., raque e hipanto vináceos; pétalas liláses.; Arbórea","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Reserva Natural Vale","CVRD","8151","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Geovane S. Siqueira",2019,"","7","","Siqueira, G.S.",2003,4,28,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Quaresma","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","61847","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Anjos, BA dos; Xavier, AB",2003,"","s/n","","Xavier, AB; Guedes, ML; Guaré, F; Anjos, BA dos; et al.",2003,5,10,"Brazil","Bahia","Andaraí","Chapada Diamantina, Subida para o Pati",-12.806389,-41.346111,"de ca. 5 m. Folhas coriáceas, discolores. Inflorescência com flores liláses. Frutos cápsulas vináceas. Freqüente.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","72801","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Santos, AKA",2004,"","95","","Miranda, LAP de",2003,9,21,"Brazil","Bahia","Lençóis","Chapada Diamantina, mata ciliar ao rio Lençóis",-12.583333,-41.383333,"folhas cartáceas, discolores. Flores com cálice esverdeado a vináceo, corola roxa; estames com filetes brancos na base e roxo na parte superior, antera roxa, estigma e estilete roxos, ovário branco. Frutos marrons. Perfume suave, cres","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","59942","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2003,"","636","","Loureiro, DM; Guedes, ML; Nascimento, AFS; Guaré, F; et al.",2002,5,4,"Brazil","Bahia","Andaraí","Chapada Diamantina, Caminho para Paty, Margens do caminho.",-12.8,-41.316667,"de ca. 9 m. Folhas discolores. Flores com pétalas roxas, filetes e conectivos vermelhos, tecas liláses. Estilete avermelhado.; rupícola","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","53858","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2001,"","92","","Alves, L. de J.; Guedes, ML; Santana, DL; Loureiro, DM",2001,5,21,"Brazil","Bahia","Bonito","Chapada Diamantina, Sede provisória do assentamento Santa Terezinha",-12.096111,-41.332778,"Folhas coriáceas, face abaxial com pêlos esbranquiçados. Flores liláses. Frutos maduros avermelhados pilosos. Frequente.; Área antropizada.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","53918","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Freitas, JG",2010,"","8903","","Guedes, ML; Santana, DL; Loureiro, DM; Alves, L. de J.",2001,5,20,"Brazil","Bahia","Bonito","Chapada Diamantina, Assentamento Piratini, sede",-12.131944,-41.313889,"Folhas coriáceas.","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","54193","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML",2001,"","331","","Santana, DL; Loureiro, DM; Alves, L. de J.; Guedes, ML",2001,6,4,"Brazil","Bahia","Rio de Contas","Chapada Diamantina, Assentamento Araruna, caminho para Rio Bonito de Cima",-12.287222,-41.282222,"3,0m. Folhas coriáceas, discolores, face abaxial tomentosa. Inflorescência terminal, botões liláses, pedicelos vináceos e pubescentes, flores com cálice verde-avermelhado e corola roxa, estames com filetes e anteras vináceos, estigma","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","UNESP-IBILCE","SJRP","26502","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Paulo Guimarães",2002,"","6311","","Queiroz, L.P. de",2000,6,17,"Brazil","Bahia","Santa Terezinha","2 km de pedra branca",,,"Geografia: árvore de 12 m de altura, folhas cartáceas, discolores;","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","43929","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML; Passos Júnior, LA",1999,"","265","","Passos Júnior, LA; Nogueira, ALR; et al.",1999,3,11,"Brazil","Bahia","Ibicoara","Chapada Diamantina, Fazenda Ribeirão da Serra, margem do Rio Sincor , ca. de 2 Km a Nordeste da sede",-13.4,-41.283333,"7,0 m. Folhas cart ceas discolores, pec¡olo alado, nervuras com pelos ferruginosos na face abaxial, pelos  speros na face adaxial. flores com corola lil s,c lice com pelos vermelhos. Frutos com pelos amarronzados. Abundante. Indiv¡duos n§ 21, 42, 50,","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","UNESP-IBILCE","SJRP","26508","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Paulo Guimarães",2002,"","53701","","R.M. Harley",1999,4,3,"Brazil","Bahia","Jacobina","cachoeira da serra de jaqueira",,,"Geografia: árvore até 15 m de altura, flores com pétalas magenta;","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","43738","Pleroma fissinervium","","Melastomataceae","Pleroma","fissinervium","","Schrank et Mart. ex DC.","Guedes, ML; Guedes, ML; Guedes, ML; Paraguassú, LA",1999,"","176","","Paraguassú, LA; Guedes, ML; Lima, SS dos; Cabral, L; Oliveira, H; Rocha, M",1999,8,1,"Brazil","Bahia","Porto Seguro","Extremo Sul, Estação Veracruz.",-16.433333,-39.05,"Cerca de 10 m de altura, com circunferÆncia & altura do peito de 68 cm. Material estéril. Freq?ente. Presente na parcela 13 (775, 779, 780).; Área de mata ciliar da nascente do rio dos Mangues, domínio fitoecológico de Floresta Ombróf","Pleroma fissinervium Schrank et Mart. ex DC.","",,"GBIF"
