"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","127118","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","Guedes, ML",2017,"","25314","","Guedes, ML; Medeiros, A; et al.",2017,1,25,"Brazil","Bahia","Mucugê","Tilha da Cachoeira do Tiburtino.",-13.659722,-41.1525,"Folhas cartáceas,, discolores. Flores com cálice pêlos alvos, pétalas liláses.","Tibouchina barnebyana Wurdack","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","127339","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","Carvalho, MLS",2017,"","440","","Carvalho, MLS; Alunos de Métodos de Estudos em Biologia",2017,2,10,"Brazil","Bahia","Mucugê","Localizada próximo à nascente do rio Piabinha.",-13.024167,-41.620556,"Flores roxas, aproximadamente 3m.; Vegetação sobre campo rupestre.","Tibouchina barnebyana Wurdack","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","198228","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack",,2017,"","440","","Carvalho, ML",2017,2,10,"Brazil","Bahia","Mucugê","próximo a nascente do rio Piabinha",-13.024167,-4.620556,"Árvore. Flores roxas, aproximadamente 3m.; Vegetação sobre campo rupestre","Tibouchina barnebyana Wurdack","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","119181","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","Guedes, ML",2015,"","23333","","Guedes, ML; Costa, TF",2015,2,9,"Brazil","Bahia","Mucugê","Chapada Diamantina, Trilha do Tiburtino.",-12.995278,-41.326667,"de ca 5 m de altura. Folhas eliptica-lanceolada, coriáceas, discolores, venação impressa na face abaxial. Inflorescência panícula, brácteas presentes, cálice com pêlos strigosos. Pétalas púrpuras. Fruto cápsula loculicida.","Tibouchina barnebyana Wurdack","",,"GBIF"
"","UFRB","HURB","9460","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","Guedes,M.L.",2015,"","23333","","Guedes, M.L.; Costa, T.F.",2015,2,9,"Brazil","Bahia","Mucugê","Trilha do Tiburtino, Chapada Diamantina;",-12.995278,-41.326667,,"Tibouchina barnebyana Wurdack","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","122039","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","Guedes, ML",2015,"","23953","","Guedes, ML; Casaes, M",2015,8,21,"Brazil","Bahia","Mucugê","Chapada Diamantina, Córrego do Boiadeiro.",-13,-41.366667,"de ca 6 m de altura. Folhas elíptico-lanceoladas, discolores, coriáceas, pêlos adpressos esparsos. Inflorescência panícula, flores com pétalas purpúrea brilhante. Fruto cápsula loculicida.","Tibouchina barnebyana Wurdack","",,"GBIF"
"","UFPR","UPCB","82472","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","Mayer, F. S.",2015,"","1806","","Goldenberg, R.",2014,2,24,"Brazil","Bahia","Mucugê","Ponte sobre Rio Cumbuca, Campo rupestre",-12.991,-41.35,"Arbusto 2m; flores com pétalas roxas,filetes roxos com base branca, apêndice do conectivo creme, anteras roxas.","Tibouchina barnebyana Wurdack","",,"GBIF"
"","JBRJ","RB","RB00963070","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","D. Nunes",2019,"","1806","","R. Goldenberg et. al.;",2014,2,24,"Brazil","Bahia","Mucugê","Porto sobre o rio Cumbuca.",-12.983333,-41.35,"Arbusto 2 m alt.; flores com pétalas roxas, filetes roxos com base branca, apendice do conectivo creme e anteras roxas","Tibouchina barnebyana Wurdack","",,"GBIF"
"","NY","NY","02104176","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","F. S. Meyer",2015,"","1806","","R. Goldenberg",2014,2,24,"Brazil","Bahia",,"Ponte sobre o Rio Cumbuca",-12.99078,-41.35031,,"Tibouchina barnebyana Wurdack","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","141568","Tibouchina barnebyana","","Melastomataceae","Tibouchina","barnebyana","","Wurdack","F. S. Meyer",,"","1806","","Goldenberg, R.",2014,2,24,"Brazil","Bahia","MUCUGÊ","Ponte sobre o Rio Cumbuca.",-12.990556,-41.350278,,"Tibouchina barnebyana Wurdack","",,"GBIF"
