"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Tecnológica Federal do Paraná","HCF","29619","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","F.S. Meyer",2019,"","850","","F. Marinero",2018,10,2,"Brazil","Mg","Mariana","Propriedade da Samarco",-20.231944,-43.451111,"árvore 4 m. Flore roxas. Vegetação secundária em estágio inicial.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","FZB-BH","BHZB","11499","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.",,,"","5248","","Rezende, S.G.",2015,7,29,"Brazil","Mg","Mariana","Região do distrito de Camargos",,,"com duplicata, Data correta 23 /10 /2015","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","FZB-BH","BHZB","11498","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.",,,"","5247","","Rezende, S.G.",2015,7,29,"Brazil","Mg","Mariana","Região do distrito de Camargos",,,"com duplicata, Data correta 23 /10 /2015","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","FZB-BH","BHZB","11497","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.",,,"","5246","","Rezende, S.G.",2015,7,29,"Brazil","Mg","Mariana","Região do distrito de Camargos",,,"unicata, Data correta 23 /10 /2015","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB01167786","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","J. F. A. Baumgratz",,"","1155","","Luis Gustavo C. Rigon",2015,11,12,"Brazil","Rio de Janeiro","Valença","Conglomerado 44-1-1-2. UTM do Ponto Central: E (611373m) N (7551282m). Fuso do GPS (23K)",,,"Árvore com 12,5 m de altura. Casca interna roxa e externa cinza, fina, áspera, indeiscente, sem odor ao ser cortada. Com resina vermelha, pouco abundante, sem odor. Flor rosa. Fruto imaturo, com 1,0x0,8 cm, oval, internamente e externamente verde, carnoso, com polpa.   Nome Vulgar: Miconia roxa","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","NY","NY","02841611","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.",,,"","1155","","L. G. Rigon",2015,11,12,"Brazil","Rio de Janeiro",,"Conglomerado 44-1-1-2. UTM do Ponto Central: E (611373m) N (7551282m). Fuso do GPS (23K)",,,,"Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","MBM","MBM","409984","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Baumgratz, JFA",2016,"","1155","","Rigon, LGC",2015,11,12,"Brazil","Rio de Janeiro","Valença","Conglomerado 44-1-1-2. UTM do ponto central: E (611373m) N (7551282m). Fuso do GPS (23K)",,,"Árvore com 12,5 m de altura. Casca interna roxa e externa cinza, fina, áspera, indeiscente, sem odor ao ser cortada. Com resina vermelha, pouco abundante, sem odor. Flor rosa. Fruto imaturo, com 1,0 por 0,8 cm, oval, internamente e e","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","65279","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","L.L. Justino",2014,"","105","","L.L. Justino; F.R.G. Salimena; P.H. Nobre; S.M. Souza",2014,9,19,"Brazil","Minas Gerais","Lima Duarte","Monte Verde de Cima, RPPN Serra Negra",,,"Árvore 3 m, em área de pastagem sob alta incidência solar. Flores com pétalas e estames roxos.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UNICAMP","UEC","187658","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, FS",2013,"","1485","","Meyer, FS; Escobar, NAG",2013,2,4,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi",-20.721467,-43.858078,"Arvoreta frequente nas encostas mais baixas, florestadas, ao longo das estradas no parque. Flores com pétalas roxas, 5 - 6 meras.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFPR","UPCB","91497","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, F.S.",2013,"","1485","","Meyer, F.S. | Escobar, N.A.G.",2013,2,4,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi",-20.427728,-43.508908,"Arvoreta frequente nas encostas mais baixas, florestadas, ao longo das estradas no parque. Flores com pétalas roxas, 5-6 meras.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB00854012","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","ANA LUIZA FREITAS",,"","1315","","Neves, D.M.; Dexter, K.G.; Freitas, F.S.",2013,6,25,"Brazil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra.",-20.221111,-46.481944,"Tree 5m; 8cm DBH; scabrous leaves; red immature fruits","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB01035016","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","P. Guimarães",2018,"","599","","P. Rosa",2013,11,16,"Brazil","Minas Gerais","Ouro Preto","Trilha de acesso à cachoeira das Andorinhas. Parque Municipal das Andorinhas.",-20.600556,-43.803333,"Flores de pétalas arroxeadas. Frutos maduros castanhos.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFOP","OUPR","25893","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Oliveira, A.L.F.",2012,"","191","","Antônio-Silva, L.; Freitas, G.P.P.",2011,5,31,"Brazil","Minas Gerais","Ouro Preto","Serra da Brígida, APA Cachoeira das Andorinhas",,,"Arbusto com 2m. Flores roxas e anteras atrovináceas. Canga encouraçada","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFU","HUFU","66793","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Freitas, A.L.",2013,"","191","","Antônio-Silva, L.; Freitas, G.P.P.",2011,5,31,"Brazil","Minas Gerais","Ouro Preto","Serra da Brígida, APA Cachoeira das Andorinhas",-20.356667,-43.504167,"Arbusto, aprox. 2 m de altura, flores roxas e anteras atrovináceas.; Canga encouraçada","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFU","HUFU","55236","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Freitas, A.L.",2009,"","1871","","Viana, P.L.; Mota, N.F.O.; Almeida, T.E. & Souza, D.",2009,8,,"Brazil","Minas Gerais","Conceição do Mato Dentro","Área de influência da PCH Sumidouro",,,"Árvore. Flores roxas.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFPR","UPCB","70932","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Rolim, T.P.",2010,"","160","","Rolim, T.P.",2009,9,24,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi-PEI, estrada de baixo (ESQ2).",,,"Campo rupestre. Árvore ca. 4m. Flores púrpuras, estames, amiores com antera e calcar vináceo, menores com ápice e calcar vináceo e base da antera alva, filete de ambos levemente vináceo; gineceu vináceo..","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB00669900","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","T. P. Rolim & R. Comero",,"","160","","T. P. Rolim ; Et al",2009,9,24,"Brazil","Minas Gerais","Minas Gerais","Parque Estadual do Itacolomi-PEI, estrada de baixo (ESQ2).",,,"Árvore ca. 4 m. Flores púrpuras, estames, maiores com antera e calcar vináceo, menores com ápice antera e calcar vináceo e base da antera alva, filete de ambos levemente vináceo; gineceu vináceo.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","NY","NY","1281688","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","T. Rolim",2010,"","160","","T. Rolim",2009,9,24,"Brazil","Minas Gerais",,"Parque Estadual do Itacolomi-PEI, estrada de baixo (ESQ2).",,,,"Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFV","VIC","032988","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.",,,"","160","","Rolim, T.P.; et al.",2009,9,24,"Brazil","Minas Gerais","Ouro Preto","PEI, Estrada de baixo.",,,"Campo rupestre, árvoe de ca de 4 m, flores púrpuras, estames maiores com antera e calcar vináceo, menores com ápice antera e calcar vináceo e base de antera alva, filete de ambos levemente vináceo, gineceu vináceo.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFOP","OUPR","31782","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Rolim, T.P.",2010,"","158","","Rolim, T.P.",2009,9,24,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Estrada de baixo (ESQ2).",,,"Árvore ca. 3m. Somente co botões florais. Campo rupestre.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFU","HUFU","57627","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Rolim, T.P.; Freitas, A.L.",2010,"","207","","Rolim, T.P.; et al.",2009,10,8,"Brazil","Minas Gerais",,"Parque Estadual do Itacolomi, Trilha para o pico do Itacolomi após lagoa seca.",,,"Árvore, ca. 4 m.; Campo rupestre.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFV","VIC","033033","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.",,,"","207","","Rolim, T.P.; et al.",2009,10,8,"Brazil","Minas Gerais","Ouro Preto","PEI, Trilha para pico do Itacolomi.",,,"Campo rupestre, árvoe de ca de 4 m, flores púrpuras, estames maiores com antera e calcar vináceo, menores com ápice antera e calcar vináceo e base de antera alva, filete de ambos levemente vináceo, gineceu vináceo.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","137419","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.",,,"","410","","Santos, MF; Marques, JBC",2008,10,24,"Brazil","Minas Gerais","Itambé do Mato Dentro","APA do Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi) .Terras de José Agostinho, parte baixa, borda da mata.",-19.396361,-43.402056,"ÁRvore, 5m alt. Ramos avermelhados. Pilosidade alva nas folhas. Hipanto e cálice alvo-esverdeados. pétalas roxas, estames com filetes róseos e pilosidade alva, anteras e estilete roxos.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFU","HUFU","54122","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Freitas, A.L.",2009,"","10","","Mezzonato, A.C.M.; Ribeiro, J.H.C.; Monteiro, D.; Souza, F.S. & Oliveira, J.A.",2008,10,25,"Brazil","Minas Gerais","Lima Duarte","Serra Negra, RPPN Serra Negra.",,,"Árvore. Folhas discolores, nítida na face adaxial, cálice verde, pétalas roxas e estames róseos-arroxeados.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","USP","SPF","197990","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Santos, MF",2008,"","410","","Santos, MF",2008,10,24,"Brazil","Minas Gerais","Itambé do Mato Dentro","Serra do Cipó",-19.396361,-43.402056,,"Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFPR","UPCB","76189","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Santos, M. F.",2008,"","410","","Santos, M.F.",2008,10,24,"Brazil","Minas Gerais","Itambé do Mato Dentro","Distrito de Santana do Rio Preto (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Terras de José Agostinho, parte baixa, borda da mata.",-19.396,-43.402,"Árvore 5m altu. Ramos avermelhados. Pilosidade alva nas folhas. Hipanto e cálice alvo-esverdeados, pétalas roxas, estames com filetes róseos e pilosidade alva, anteras e estiletes roxos..","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFOP","OUPR","22723","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, F.S.",2013,"","196","","Filho, W.H.; Ferreira, M.T.M. & Teixeira, R.N.C.",2008,11,6,"Brazil","Minas Gerais","Barão de Cocais",,,,"Floresta estacional semidecidual em estágio avançado de regeneração","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFOP","OUPR","22722","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, F.S.",2013,"","816","","Filho, W.H.; Ferreira, M.T.M. & Teixeira, R.N.C.",2008,11,9,"Brazil","Minas Gerais","Barão de Cocais",,,,"Floresta estacional semidecidual em estágio avançado de regeneração. Arbusto com 2m","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFOP","OUPR","23742","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, F.S.",2013,"","s.n.","","Pedreira, G.",2007,10,10,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi",,,"Floresta paludosa","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFU","HUFU","49876","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, F.S.",2014,"","4606","","Nakajima, J.N.; Rosa, P.O.; Santos, A.P.M. & Mello, F.N.A.",2007,10,16,"Brazil","Minas Gerais","Ouro Branco","Serra do Ouro Branco, Estrada para o morro do Gabriel.",,,"Árvore, ca. 5 m. Cálice verde, corola e anteras arroxeadas, filetes creme, brácteas avermelhadas.; Borda de mata.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB00704367","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","A.L. Freitas",,"","1871","","P.L. Viana; N.F.O. Mota, T.E. Almeida & D. Souza",2005,9,25,"Brazil","Minas Gerais","Conceição do Mato Dentro","Área de influência da PCH Sumidouro.",,,"Árvore; Flores roxas. Planta bastante ornamental por suas flores numerosas e vistosas.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UNICAMP","UEC","170568","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, FS",2013,"","9224","","Almeda, F; Martins, AB; Belinello, R; Almeda, MB",2005,10,1,"Brazil","Minas Gerais","Conceição do Mato Dentro","11km from Igreja Matriz in Conceição do Mato Dentro on the road to Tabuleiro.",-19.176,-43.510278,"Tree 2m tall. Flowers 5-merous, petals purple with white base that turns red ultimately. Filaments white. Anthers pale yellow white flushed with purple. Flowers subtendedm enveloped by 2 bracts that fall away at anthesis. Locally commo","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB00402304","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","O. Thier",,"","191","","O. Thier",2005,10,11,"Brazil","Rio de Janeiro","Teresópolis","Teresópolis / Sebastiana. between residential area ""Paraiso"" and biggest Eukalyptus-planting.",-22.276111,-42.843611,"tree, about 14m high; flower violet","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","CAS","BOT-BC","328782","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","F. S. Meyer",2013,"","9224","","Almeda, Frank; Martins, A. B.; Belinello, R.; Almeda, M. B.",2005,10,,"Brazil","Minas Gerais",,"11 km from Igreja Matriz in Conceição do Mato Dentro on the road to Tabuleiro.",-19.176003,-43.501026,"Tree 4m tall. Flowers 5-merous, petals purple with  white base that turns red ultimately. Filaments white.  Anthers pale yellow-white flushed with purple. Flowers subtended, enveloped by 2 bracts that fall away at anthesis. Locally common at forest margin","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","Instituto de Botânica","SP","394720","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Thier, O",2005,"","191","","Thier, O",2005,10,11,"Brazil","Rio de Janeiro","Teresópolis","Sebastiana, between reseidential area ""Paraíso"" and biggest Eucalytus-planting",-22.276111,-42.843611,,"Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","Universidade Federal de Santa Catarina","FLOR","41060","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.",,,"","15","","Siqueira, G.; Gracff, O.",2005,11,1,"Brazil","Rio de Janeiro","Petrópolis","Fazenda Itaipava. Beira da estrada, Mata Parque 3.",,,"Recebido de RB Nº 434172.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB00431867","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Paulo Guimarães",2008,"","15","","G. Siqueira; Orlando Gracff",2005,11,4,"Brazil","Rio de Janeiro","Petrópolis","Fazenda Itaipava. Beira da estrada.",,,,"Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB00739717","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","A. L. freitas",,"","104","","C.N. Matozinhos; J.B. Neto; B.F. Mello; F.R.G. Salimena; P.H. Nobre",2004,9,12,"Brazil","Minas Gerais","Rio Preto","Serra do Funil, Estrada para o Vilarejo do Funil.",,,"Arvoreta 5m em beira de estrada. Flores roxas, filetes com tricomas amarelos","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB00424335","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","J. Wesenberg",,"","130","","J. Wesenberg; C. Seele & R. Engelmann",2004,10,31,"Brazil","Rio de Janeiro","Teresópolis","Sebastiana. Estrada entre Sebastiana e Corrego Sujo .",,,"Arvoreta. Flor violeta avermelhada","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFU","HUFU","38300","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Romero, R.",2004,"","623","","Sartore, M.A.; et al.",2003,10,18,"Brazil","Minas Gerais","Congonhas","Serra do Espinhaço, Poço Fundo - Companhia Vale do Rio Doce.",,,"Árvore, ca. 8,0 m. Pétalas roxas.; Borda de mata.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFU","HUFU","55254","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Freitas, A.L.",2009,"","1112","","Salimena, F.R.; Nobre, P.H.",2003,11,10,"Brazil","Minas Gerais",,"Estrada Rio Preto - Olaria, Serra Negra.",-21.955556,-43.978333,"Árvore, ca. 3 m. Pétalas roxas, base dos filetes e unha das pétalas alvas, anteras e estiletes vináceos.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFOP","OUPR","17407","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Rochelle, A.L.C.",2002,"","45","","Rochelle, A.L.C.",2002,10,22,"Brazil","Minas Gerais","Ouro Preto","Cachoeira das Androinhas",,,"Campo rupestre. árvore.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UNICAMP","UEC","171034","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, FS",2013,"","8384","","Almeda, F; Martins, AB; Fritsch, PW; Belinello, R",2001,10,7,"Brazil","Minas Gerais","Ouro Preto","Estrada Real about 23 Km SW of Ouro Preto.Campo rupestre and vicinity of waterfall.",-20.478333,-43.592222,"Small tree to 6m tall. Flowers 5-merous; petals pale magenta with splotches of deep pink developing on adaxial surface with age. Filaments White; Anthers red flushed with purple distally. Locally.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UNICAMP","UEC","171027","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Meyer, FS",2013,"","8384","","Almeda, F; Martins, AB; Fritsch, PW; Belinello, R",2001,10,7,"Brazil","Minas Gerais","Ouro Preto","Estrada Real about 23 Km SW of Ouro Preto.Campo rupestre and vicinity of waterfall.",-20.478333,-43.592222,"Small tree to 6m tall. Flowers 5-merous; petals pale magenta with splotches of deep pink developing on adaxial surface with age. Filaments White; Anthers red flushed with purple distally. Locally.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","CAS","BOT-BC","353873","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","F. Almeda",2016,"","8384","","Almeda, Frank; Martins, A. B.; Fritsch, P. W.; Belinello, R.",2001,10,,"Brazil","Minas Gerais",,"Minas Gerais: Municipio of Ouro Preto. Estrada Real about 23 km SW of Ouro Preto. Campo rupestre and vicin- ity of waterfall.",-20.478336,-43.59222,"Small tree to 6 m tall. Flowers 5-merous* petals pale magenta with splotches of deep pink developing on adax- ial surfaces with age. Filaments white* anthers red flushed with purple distally. Locally common. lvs, photo","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","FZB-BH","BHZB","3639","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Paulo Guimarães",2006,"","1","","Campos, J.R.H. et al.",2001,11,7,"Brazil","Mg","Ouro Preto","Estação Ecológica do Tripuí",,,"Outros coletores: Souza, M.A.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFU","HUFU","54121","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Freitas, A.L.",2009,"","1112","","Salimena, F.R.G.; Nobre, P.H.",2001,11,,"Brazil","Minas Gerais","Rio Preto","Serra Negra, Fazenda da Tiririca.",,,"Árvore, ca. 3 m. Pétalas roxas. base dos filetes e unha das pétalas alvas, anteras e estiletes vináceos.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","FZB-BH","BHZB","333","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Paulo Guimarães, JBRJ",2006,"","352","","Ordones, J. et al.",2000,10,8,"Brazil","Mg","Catas Altas","Caraça/ Buraco da Boiada",,,"confirmada por A.L. Freitas em 2010","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB01398788","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","B. Valente",2017,"","58","","R.A.M. Tavares; J.F.A. Braumgratz, M.C. Valente, N. Marquete et J.C. Silva",2000,10,18,"Brazil","Minas Gerais","Ouro Preto","Ouro Branco (Itatiaia)",,,"Árvore cerca de 3,0 à 6,0 metros de altura; ramos com indumentos pardacentos; brácteas verde-pardacentas com indumento alvo; folhas verdes discolores; hipanto e cálice verdes com indumento alvos; pétalas roxas com a base ava; filetes alvos com o ápice rosado e tricomas alvos; apêndice do conectivo e conectivo róseos; teca roxo-claro; estilete róseo; fruto maduros castanhos","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","JBRJ","RB","RB01404468","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","B. Valente",2017,"","74","","R. A. M. Tavares; J. F. A. Baumgratz; M.C. Valente; N. Marquete; J. C. Silva",2000,10,19,"Brazil","Minas Gerais","Ouro Preto","Serra Geral, estrada para a Mina da Capanema; antes da cachoeira da Juda, crescendo em área de serrado",,,,"Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
"","UFV","VIC","52450","Tibouchina canescens","","Melastomataceae","Tibouchina","canescens","","(D.Don) Cogn.","Valente, B.",2017,"","58","","Tavares, R.A.M.; et al.",2000,10,18,"Brazil","Minas Gerais","Ouro Preto",,,,"Árvore de 3 a 6m.","Tibouchina canescens (D.Don) Cogn.","",,"GBIF"
