"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","136326","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","Guedes, ML",2019,"","31624","","Guedes, ML; Alunos de Botânica Econômica",2019,5,17,"Brazil","Bahia","Uruçuca","Serra do Conduru.",-14.809167,-39.133333,"Folhas cartáceas, discolores. Inflorescência com flores de hipanto tomentoso, pétalas roxas.","Tibouchina francavillana Cogn.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","127874","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","Guedes, ML",2017,"","25556","","Guedes, ML; Maia Neto, AL; Alunos de Botânica BIOC05",2017,4,2,"Brazil","Bahia","Igrapiúna","Litoral Sul, Reserva Espinita, Cacau da Baixa e Trilha do Carneiro.",-13.876389,-39.151667,"Folhas cartáceas, discolores. Inflorescência com flores de pétalas vináceas.","Tibouchina francavillana Cogn.","",,"GBIF"
"","UFU","HUFU","76831","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","Guedes, M.L.",2017,"","25556","","Guedes, M.L.; Neto, A.L.M.",2017,4,2,"Brazil","Bahia","Igrapiúna","Reserva Espinita, Cacau da Baixa e Trilha do Carneiro.",-13.876389,-39.151667,"Árvore: Folhas certáceas. Inflorescência com flores de pétalas vináceas.; Mata secundária.","Tibouchina francavillana Cogn.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","129207","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","Coelho, J",2017,"","5040","","Roque, N; Alunos de Sistemática Evolução de Espermatófitas",2017,7,29,"Brazil","Bahia","Piatã","Fazenda Dragão Verde.",-13.095833,-41.853333,"ca. 2 m alt., folhas discolores. Hipanto e sépalas verdes, pétalas roxas.; Campo Rupestre.","Tibouchina francavillana Cogn.","",,"GBIF"
"","UEFS","HUEFS","235010","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.",,,"","329","","Souza, I.M.",2016,7,22,"Brazil","Bahia","Ituberá","Estrada para praia do Pratigi.",-13.679444,-39.103889,,"Tibouchina francavillana Cogn.","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","37049","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","Santana, JP",2015,"","493","","Santana, JP",2015,3,9,"Brazil","Sergipe","Itaporanga d'Ajuda","Mata Rio Fundo",-11.0429,-37.1944,"Arbusto, 4m, flores roxas. Folhas simples opostas.; Mata Atlântica.","Tibouchina francavillana Cogn.","",,"GBIF"
"","UESB","HUESB","11535","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","Ferreira, C.A.",,"","679","","Silva, G.S.; Souza, R.S.; Santos, R.J.; Ornelas, M.M.; Moreira, R.S.; Souza, R.S.; Santos, R.J.; Ornelas, M.M.; Moreira, R.S.",2015,12,4,"Brazil","Bahia","Igrapiúna","Reserva Ecológica da Michelin., Cachoeira da Pancada Grande.",-13.782556,-39.166722,"Árvore, ca. 20m alt. Folhas simples, alternas, membranáceas. Botões florais lilás. Flores hexâmeras, roxas.; Mata atlântica.","Tibouchina francavillana Cogn.","",,"GBIF"
"","UFPB","JPB","62178","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","Ferreira, CA",2015,"","679","","Silva, GS; Souza, RS; Santos, RJ; Ornelas, MM; Moreira, RS",2015,12,4,"Brazil","Bahia","Igrapiúna","Reserva Ecológica da Michelin, Cachoeira da Pancada Grande.",-13.782556,-39.166722,"Árvore, ca. 20m alt. Folhas simples, alternas, membranáceas. Botões florais lilás. Flores hexâmeras, roxas.; HABITAT: Mata atlântica.; DESC: Árvore, ca. 20m alt. Folhas simples, alternas, membranáceas. Botões florais lilás. Flores hex","Tibouchina francavillana Cogn.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150525","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.",,,"","349","","Nogueira, M.G.C.",2014,9,4,"Brazil","Bahia","VALENÇA","Conglomerado BA_1026-3-2-11",-13.500278,-39.239722,"<ll>dwc_commonname:</ll>","Tibouchina francavillana Cogn.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150638","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.",,,"","427","","Oliveira, N.E.",2014,10,24,"Brazil","Bahia","URUÇUCA","Conglomerado BA_1220-1-2-11",-14.399444,-39.060278,"<ll>dwc_commonname:</ll>","Tibouchina francavillana Cogn.","",,"GBIF"
"","JBRJ","RB","RB01323649","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","C. O. Andrino & L. Daneu",2015,"","283","","Fernandes, M. H.",2014,12,11,"Brazil","Bahia","Porto Seguro","Conglomerado BA_1393-1-4-17",-16.560278,-39.420278,"Árvore, exsudado não observado. Casca externa marrom e grossa, casca interna amarela, tipo: fissurada, desprendimento: depressões. Flor lilás","Tibouchina francavillana Cogn.","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","150495","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.",,,"","283","","Fernandes, M.H.",2014,12,11,"Brazil","Bahia","PORTO SEGURO","Conglomerado BA_1393-1-4-17",-16.560278,-39.420278,"<ll>dwc_commonname:</ll>","Tibouchina francavillana Cogn.","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","30197","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.",,,"","901","","Santos, LAS",2013,12,19,"Brazil","Sergipe","Itaporanga d'Ajuda","Povoado Paulo Freire",-11.100917,-37.350139,"Árvore, cerca de 15m. de altura, flores lilás.; Restinga.","Tibouchina francavillana Cogn.","",,"GBIF"
"","Universidade Federal de Sergipe, UFS","ASE","36390","Tibouchina francavillana","","Melastomataceae","Tibouchina","francavillana","","Cogn.","Machado, WJ",2013,"","1162","","Machado, WJ; Araújo, CA; Santos, EA; Souza, AKJ",2013,12,19,"Brazil","Sergipe","Areia Branca","PARNA Serra de Itabaiana",-10.4107,-37.253,"Subarbusto. Flor com 6 pétalas de cor violeta, androceu violeta e gineceu branco.; Mata Atlântica","Tibouchina francavillana Cogn.","",,"GBIF"
