"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","MBM","MBM","399020","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Brotto, ML",2015,"","472","","Savarais, M",2014,4,25,"Brazil","Santa Catarina","Joinville","margem da Rodovia BR 101",-26.224211,-48.916072,,"Tibouchina regnellii Cogn.","",,"GBIF"
"","PNFM","IRAI","2766","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Meyer, F.S.",2013,"","280","","Kuchler, R.M.",2010,8,22,"Brazil","Paraná","Guaratuba","Avenida Paraná, Nereidas",-25.929722,-48.591389,"Arbusto, 2 m, flor lilás","Tibouchina regnellii Cogn.","",,"GBIF"
"","Universidade Estadual Paulista, UNESP","BOTU","26001","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Ghasper, A.L.",2009,"","130","","Souza, N.L.",2009,1,15,"Brazil","Santa Catarina","Águas Mornas",,,,,"Tibouchina regnellii Cogn.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","11438","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Meyer, F.S.",2013,"","12","","Völtz, R.R.",2009,2,15,"Brazil","Paraná","Guaraqueçaba","RPPN Salto Morato",-25.1752,-48.2977,"Arvoreta 4 m alt. localizada em capoeira na planície aluvial do rio Morato. Flores de cor púrpura. Altitude aprox. 20 m s.n.m. __COMMOM_NAME__: Manacá da serra, Jacatirão","Tibouchina regnellii Cogn.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","17841","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Meyer, FS",2009,"","1067","","Dreveck, S.; Carneiro, F.E.",2009,9,16,"Brazil","Santa Catarina","Garuva","Fazenda ComFloresta.",-25.998889,-48.764722,"Coleta Extra IFFSC (Arbusto) Habitat: Floresta Ombrófila Densa; beira da estrada Habito: arbustiva; flor roxa","Tibouchina regnellii Cogn.","",,"GBIF"
"","UNIVILLE","JOI","9534","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Meirelles, J",,"","397","","Meirelles, J.",2009,9,11,"Brazil","ParanÃ¡","Antonina","Reserva do Cachoeira.",,,"; HABITO: arvoreta; TIPO VEGETACIONAL: Floresta OmbrÃ³fila Densa de Terras Baixas","Tibouchina regnellii Cogn.","",,"GBIF"
"","UNIVILLE","JOI","7277","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","T. Maia",2008,"","8","","T. Maia",2008,5,8,"Brazil","Santa Catarina","Joinville","Jardim BotÃ¢nico.",,,,"Tibouchina regnellii Cogn.","",,"GBIF"
"","Instituto de Botânica","SP","427047","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Diniz, MM",2008,"","38","","Indriunas, A; Almeida Scabbia, RJ; Oliveira, TR; Galvão, TPS",2008,5,20,"Brazil","São Paulo","Santo André","Subprefeitura de Paranapiacaba e Parque Andreense, Estrada de Paranapiacaba",-23.774703,-46.304747,,"Tibouchina regnellii Cogn.","",,"GBIF"
"","Instituto de Botânica","SP","427048","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Diniz, MM",2008,"","8208","","Búgola Silva, F; Pelissari, G; Yang, AMK; Garrido, CTR; Almeida Scabbia, RJ",2008,6,5,"Brazil","São Paulo","Santo André","Parque Andreense, Clube Campista da Mercedes",-23.783147,-46.461047,,"Tibouchina regnellii Cogn.","",,"GBIF"
"","UNIVILLE","JOI","8166","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Meirelles, J",,"","200","","Meirelles, J.",2008,8,15,"Brazil","Santa Catarina","Joinville","Jardim BotÃ¢nico de Joinville, Campus UniversitÃ¡rio.",,,"; HABITAT: mata secundÃ¡ria; HABITO: arvoreta; TIPO VEGETACIONAL: FODTB","Tibouchina regnellii Cogn.","",,"GBIF"
"","UNICAMP","UEC","149086","Tibouchina regnellii","","Melastomataceae","Tibouchina","regnellii","","Cogn.","Meyer, FS",2012,"","414","","Urbanetz, C",2008,,,"Brazil","São Paulo","Cananéia","km 31 da rodoviaSP-226, Fazenda Folha Larga.",-24.895,-47.918056,"Árvore de 6 m de altura. Flores com pétalas roxas.; Floresta ombrófila densa","Tibouchina regnellii Cogn.","",,"GBIF"
