"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFU","HUFU","77446","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin","Romero, R.",2018,"","1775","","Paiva, J.A.M.; Souza, J.A.M. & Batista, L.S.",2018,5,17,"Brazil","Minas Gerais","Mariana","Propriedade Horto Alegria",-20.146389,-43.435,"Arbusto. 1,00m. Flor roxa.; Campo Rupestre Quartzítico.","Trembleya pentagona Naudin","",,"GBIF"
"","UFOP","OUPR","31462","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin","Pedrosa, L.G.",2018,"","452","","Pedrosa, L.G.",2018,6,16,"Brazil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Encosta/vale do rio Acima.",,,"Arbusco, ca. 90cm. Flores lilases. Campo rupestre.","Trembleya pentagona Naudin","",,"GBIF"
"","CAS","BOT-BC","559869","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin",,,"","294","","Pacifico, R.; Bressan, V. E.",2017,1,,"Brazil","Minas Gerais",,"Ouro Preto:: Serra de Ouro Preto.Trilha para o Pico do Itacolomi",-20.433083,-43.493444,"Arbusto 0.3-0.6 m, em fruticação, ocorrendo esparsaments.","Trembleya pentagona Naudin","",,"GBIF"
"","UEM","HUEM","33015","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin","R.Pacifico",2017,"","294","","R.Pacifico; V.E.Bressan",2017,1,17,"Brazil","Minas Gerais","Ouro Preto","Serra de Ouro Preto., Trilha para o Pico do Itacolomi.",-20.433083,-43.493444,"Arbusto, 0,3-0,4m de altura. Ocorrendo esparsamente em afloramentos rochosos.","Trembleya pentagona Naudin","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","188478","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin",,2017,"","2871","","Pivari, MOD; Dias, SH; Avelar, R; Souza, NL; Vasconcelos, MF de",2017,5,17,"Brazil","Minas Gerais","Mariana","Fazenda Córrego das Almas",-20.140833,-43.473333,"Arbustiva. 1,4 m de altura. Flores roxas.; Campo Rupestre Quartizítico.","Trembleya pentagona Naudin","",,"GBIF"
"","UFSJ","HUFSJ","10186","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin","Alves-Silva, RS",2018,"","s.n.","","Costa, MTR; et al.",2017,7,17,"Brazil","Minas Gerais","São João del-Rei","Campo rupestre, acesso pela estrada para Trindade.",-21.230303,-44.499297,"Subarbusto 0,5 m de altura, flores roxas.","Trembleya pentagona Naudin","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","189023","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin",,,"","s.n.","","Oliveira, CT",2016,7,31,"Brazil","Minas Gerais","Mariana","Fazenda Córrego das Almas",-20.135,-43.486944,,"Trembleya pentagona Naudin","",,"GBIF"
"","Jardim Botânico de Brasília","HEPH","35528","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin",,,"","s.n.","","Oliveira, CT",2016,7,31,"Brazil","Minas Gerais","Mariana","Fazenda Córrego das Almas",-20.135,-43.486944,"BHCB189023","Trembleya pentagona Naudin","",,"GBIF"
"","UFU","HUFU","72966","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin",,,"","282","","Castro, M.; Nakajima, J.N. & Versiane, A.F.A.",2016,10,20,"Brazil","Minas Gerais","Catas Altas","RPPN Santuário do Caraça, Trilha subida para o Pico do Sol",,,"Subarbusto ca. 1,5 m de alt. Frutos marrons; Campo Rupestre","Trembleya pentagona Naudin","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","177615","Trembleya pentagona","","Melastomataceae","Trembleya","pentagona","","Naudin",,2015,"","2512","","Pivari, MOD; Paiva, JAM; Tomich, S; Nascimento, L",2015,6,26,"Brazil","Minas Gerais","Mariana","RPPN Horto Alegria",-20.153611,-43.436667,"Prensado em álcool; Arbusto; ca. 1,8m alt; flores rosas.; Campo Rupestre Quartzítico","Trembleya pentagona Naudin","",,"GBIF"
