"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFPE","UFP","82824","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno","Amorim, B.S.",2015,"","1249","","Melo, A.; Alves, M. & Heald, S.",2015,1,12,"Brazil","Bahia","Morro do chapéu","Cachoeira do Ventura",,,"Arbusto com botões florais.","Emmotum harleyi R.Duno","",,"GBIF"
"","UNIVASF","HVASF","22837","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno","J.A. Siqueira-Filho",2015,"","3513","","J.A. Siqueira Filho",2015,11,28,"Brazil","Bahia","Mucugê","Trilha da Cachoeira do Cardoso, área de campo rupestre, na margem da trilha, Chapada Diamantina, areias quartzozas",-13.047055,-41.339416,"Arbusto ca. 2,5 m alt., copa densa. Flores alvas, cheiro adocicado. Desamente florida após incêndio.","Emmotum harleyi R.Duno","",,"GBIF"
"","UEFS","HUEFS","206877","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno",,,"","12549","","Melo, E.",2014,3,4,"Brazil","Bahia","Morro do Chapéu","Estrada para Veredinha.",-11.583889,-40.990833,"Cerrado.","Emmotum harleyi R.Duno","",,"GBIF"
"","UFU","HUFU","61302","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno",,,"","29","","Rocha, G.P.E.; Siqueira, A.S.; Laves, R.G.; Santana, B.H.; Pafume, A.; et al.",2011,1,4,"Brazil",,,"Paracatu-MG/Cristalina-GO, UHE-Batalha, Rio São Marcos.",,,"Árvore, ca. 8 m alt. Botões flarais acinzentados, frtuo verde.; Mata ciliar transição cerrado típico.","Emmotum harleyi R.Duno","",,"GBIF"
"","UEFS","HUEFS","174042","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno",,,"","9660","","Melo, E.",2011,4,30,"Brazil","Bahia","Morro do Chapéu","Estrada para a gruta da Boa Esperança.",-11.915556,-41.12,"Cerrado.","Emmotum harleyi R.Duno","",,"GBIF"
"","UEFS","HUEFS","217788","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno",,,"","6068","","França, F.",2011,6,17,"Brazil","Bahia","Morro do Chapéu","Estrada para o Geopark G-Camp.",-11.479444,-41.082778,,"Emmotum harleyi R.Duno","",,"GBIF"
"","UEFS","HUEFS","134931","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno","E.Melo",2011,"","132","","Silva, F.B.L.",2008,2,2,"Brazil","Bahia","Morro do Chapéu","Fazenda Sarabando.",-11.6175,-41.079722,"Cerrado.","Emmotum harleyi R.Duno","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","121324","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno","A. C. S. Guedes",,"","4833","","E. de Melo",2007,6,29,"Brazil","Bahia","MORRO DO CHAPÉU","Fazenda Guariba; nascente do Rio Salitre.",-11.438056,-41.193889,,"Emmotum harleyi R.Duno","",,"GBIF"
"","UEFS","HUEFS","121936","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno","A.C.S.Guedes",2009,"","4833","","Melo, E.",2007,6,29,"Brazil","Bahia","Morro do Chapéu","Fazenda Guariba; nascentes do Rio Salitre.",-11.438056,-41.193889,,"Emmotum harleyi R.Duno","",,"GBIF"
"","UEFS","HUEFS","126214","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno","A.C.S.Guedes",2009,"","5027","","Melo, E.",2007,9,7,"Brazil","Bahia","Morro do Chapéu","Nascente do Rio Salitre.",-11.44,-41.196944,,"Emmotum harleyi R.Duno","",,"GBIF"
"","UEFS","HUEFS","131457","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno","E.Melo",2011,"","652","","Rocha, D.",2007,9,7,"Brazil","Bahia","Morro do Chapéu","Fazenda Guariba",-11.438333,-41.193889,"Nascente, tabuleiro arenoso, solo encharcado e recoberto por folhas em decomposição. Cerrado","Emmotum harleyi R.Duno","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","124349","Emmotum harleyi","","Icacinaceae","Emmotum","harleyi","","R.Duno","A. C. S. Guedes",,"","1273","","N. Roque",2006,1,20,"Brazil","Bahia","MORRO DO CHAPÉU","Chapada Diamantina. Cachoeira do Ferro Doido.",-11.628056,-41.000833,,"Emmotum harleyi R.Duno","",,"GBIF"
