"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01108501","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","E.J. Lírio",,"","1176","","E.J. Lírio; V. Sarnaglia, G. Bermudez, A.N. Lima & L.G. Gonçalves",2015,6,17,"Brazil","Rio de Janeiro","Teresópolis","Pedra do Sino.",,,"Arvoreta 3 metros, frutos verdes. Indivíduo 1, coleta de madeira. Possui fotos.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","JBRJ","RB","RB01108502","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto",,,"","1177","","E.J. Lírio; V. Sarnaglia, G. Bermudez, A.N. Lima & L.G. Gonçalves",2015,6,17,"Brazil","Rio de Janeiro","Teresópolis","Pedra do Sino.",,,"Arvoreta 2,5 metros de altura, frutos verdes. Indíduo 2, material de madeira.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","JBRJ","RB","RB01120092","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","E.J. Lírio",,"","1331","","E.J. Lírio",2015,6,2,"Brazil","Minas Gerais","Rio Preto","Serra Negra, trilha para Ninho da Égua.",,,"Em interior de mata, próximo a afloramento rochoso. Material em sílica.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","JBRJ","RB","RB01120088","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","E.J. Lírio",,"","1327","","E.J. Lírio",2015,6,2,"Brazil","Minas Gerais","Rio Preto","Serra Negra, trilha para Ninho da Égua.",,,"Arbusto 3 m, frutos verdes.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","72164","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","E.J. de Lírio",2016,"","1331","","E.J. de Lirio",2015,6,2,"Brazil","Minas Gerais","Rio Preto","Serra Negra, trilha para o Ninho da Égua",,,"Em interior de mata, próximo a afloramenteo rochoso. Material em sílica.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","72165","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","E.J. de Lírio",2016,"","1327","","E.J. de Lirio",2015,6,2,"Brazil","Minas Gerais","Rio Preto","Serra Negra, trilha para o Ninho da Égua",,,"Arbusto 3m, frutos verdes.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","70301","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","J.H.C. Ribeiro",2017,"","623","","J.H.C. Ribeiro",2015,10,31,"Brazil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Chapadão",-22.1225,-44.761111,"Árvore, 5m, no interior de floresta nebular. Flores creme, pecíolos vermelhos. Indivíduo 3055 da fitossociologia.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","UNICAMP","UEC","180228","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","Lirio, EJ",2016,"","75","","Carmo, JAM; Monge, M",2012,9,10,"Brazil","Minas Gerais","Camanducaia","Monte Verde, trilha para o Platô.",,,"Arvoreta, +- 2,5m, flores creme.; Beira de trilha em floresta ombrófila densa.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","164403","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto",,2013,"","5223","","Tameirão Neto, E; Mansur, T",2011,2,1,"Brazil","Minas Gerais","Caeté",,-20.086667,-43.702222,"Floresta semidecidual","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","IF","SPSF","45398","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","N.M.Ivanauskas",2012,"","6382","","N.M.Ivanauskas & E.Rocha & D.Souza & F.M.Souza & S.Alves",2011,8,31,"Brazil","Sp","Bananal","Estação Ecológica de Bananal",-22.808889,-44.366389,"COLETA: Árvore 7m altura; flores em botão.;","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","IF","SPSF","45396","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","N.M.Ivanauskas",2012,"","6379","","N.M.Ivanauskas & E.Rocha & D.Souza & F.M.Souza & S.Alves",2011,8,31,"Brazil","Sp","Bananal","Estação Ecológica de Bananal",-22.779722,-44.360278,"COLETA: Arvoreta 3m altura, flores cor branca.;","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
"","JBRJ","RB","RB00732578","Macropeplus dentatus","","Monimiaceae","Macropeplus","dentatus","","(Perkins) I.Santos & Peixoto","N. M. Ivanauskas",,"","6382","","N. M. Ivanauskas et. al.;",2011,8,30,"Brazil","São Paulo","Bananal","E.  Ec.  Bananal.  Datum  SAD69,  Zona  23k,  564944  e  7477478.",,,"Árvore ca. 7m, Flores em botão.","Macropeplus dentatus (Perkins) I.Santos & Peixoto","",,"GBIF"
