"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal de Mato Grosso","CNMT","8050","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta","Córdova, M.O.",2018,"","1031","","Córdova, M.O.",2018,3,10,"Brazil","Mato Grosso","Sinop","Rio Teles Pires, a 3km N da barragem UHE Sinop. Área de Influência UHE Sinop.",-11.247614,-55.449947,"Fruto verde imaturo. Látex branco. Pouco frequente.Projeto de Ictiocoria UHE Sinop. Laboratorio Ictiologia Tropical, UFMT Sinop.","Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","UFV","VIC","35844","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta",,,"","314","","Souza, P.P. de",2012,1,2,"Brazil","São Paulo","Botucatu","Faculdade de Ciências Agronômicas, Campus da Unesp, Fazenda Experiental Lajeado, atrás do prédio do setor de transporte da universidade.",,,"Àrvore com 15m de altura, 5m de fuste, tronco de cor gris, seiva latescente branca, tornando-se translúcida após o corte, sicônios verdes, recobertos por máculas verde-claro e tricomas brancos, sicônios internamente brancos de semente","Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","UEFS","HUEFS","187936","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta","R.A.S. Pereira.",,"","9","","Palmieri, L.",2011,3,15,"Brazil","São Paulo","Gália","Estação Ecológica de Caetetus.",-22.388333,-49.694722,"(Corr.Alegr.) final da trilha do palmito.","Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","UEFS","HUEFS","190417","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta","A.F.P.Machado",2013,"","4254","","Milliken, W.",2011,3,12,"Brazil","Mato Grosso","Santa Cruz do Xingu","Parque Estadual do Xingu, Rio Fontourinha, após a ponte.",-9.720278,-52.371389,"Afloramento de granito.","Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","246836","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta","Pelissari, G.",2011,"","211","","Mike Hopkins",2011,10,24,"Brazil","Minas Gerais",,"Serra da pedra Branca. Propriedade do Pro. Roberto Noritaka.",,,,"Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","IAC","IAC","54539","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta","G. Pelissari",2011,"","211","","G. Pelissari; A. Santos; R.B. Torres & P.S. Pereira",2011,10,24,"Brazil","Minas Gerais","Caldas","Serra da Pedra Branca, propriedade do Pro. Roberto Noritaka",-21.9236,-46.3861,"Projeto Capes/PNADB-Estudos etnobotânicos, taxonômicos, fitoquímicos, farmacológicos e agronômicos de figueiras (Ficus subg. Pharmacosycea Miq.)","Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","UFV","VIC","37237","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta","Pelissari, G.",2011,"","211","","Pelissari, G.; et al.",2011,10,24,"Brazil","Minas Gerais","Caldas","Serra da Pedra Branca, Propriedade do Sr. Roberto Noritaka. Área de pasto.",,,"Árvore, c.a. de 30 metros de altura. Folhas com face abaxial pilosa. Sicônios verdes com máculas marrons, coberto por tricomas alvos. Estípula hirsuta, tricomas alvos. Látex branco, tornando-se rosado com a oxidação.","Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","MNHN","P","P01059267","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta",,,"",,"","Pelissari, G.|Santos, A.|Torres, R.B.|Pereira, P.S.",2011,10,24,"Brazil","Minas Gerais",,,,,,"Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","JBRJ","RB","RB00724393","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta","G. Pelissari",2011,"","211","","G. Pelissari et.al",2011,10,24,"Brazil","Minas Gerais","Caldas","Serra da Pedra Branca, propriedade do Pro. Roberto Noritaka.",,,"Árvore 30m alt. Folhas com face abaxial pilosa. Sicônios verdes com máculas marrons, coberto por tricomas alvos. Estipula hirsuta, tricomas alvos. Latex branco, tornando-se rosado com a oxidação","Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
"","MN","R","216503","Ficus lagoensis","","Moraceae","Ficus","lagoensis","","C.C.Berg & Carauta","Pelissari, G.",2011,"","211","","Pelissari, G.; Santos, A.; Torres, R.B. & Pereira, P.S.",2011,10,24,"Brazil","Minas Gerais","Caldas",,,,,"Ficus lagoensis C.C.Berg & Carauta","",,"GBIF"
