"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Paraná, UFPR","EFC","17784","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.","Souza, I.",2019,"","408","","Souza, I.",2019,1,23,"Brazil","Pr","Colombo","Jardim Maria Matutina",-25.303238,-49.222528,"Árvore 7 m, frutos imaturos verdes.","Ficus organensis (Miq.) Miq.","",,"GBIF"
"","UCS","HUCS","46443","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.","Gonzatti, F.",2018,"","s.n.","","Menegol, L.",2018,1,31,"Brazil","Rio Grande do Sul","Caxias do Sul","São Caetano",,,"cultivada","Ficus organensis (Miq.) Miq.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","60627","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.","Kassner-Filho, A.",2018,"","3385","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",2018,9,6,"Brazil","Santa Catarina","Balneário Camboriú",,-27,-48.6,"sicônio com manchas vináceas Habitat: borda do fragmento florestal Habito: árvore","Ficus organensis (Miq.) Miq.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","71551","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.","G.P. Sabino",2018,"","6174","","P.H.A. Melo; T.R. Peixoto",2017,1,27,"Brazil","Bahia","Cafarnaum","margem esquerda da BR 122, a 22Km de Cafarnaum sentuido Morro do Chapéu",-11.536167,-41.387222,"Vegetação sobre rochas calcárias na Caatinga, Cerrado e Mata Atlântica. Morro com afloramentos de calcário em vertentes, paredões e grandes blocos abatidos. Caatinga arbóreo-arbustiva e formação aberta de carste. Envolto por caatinga alterada, pastagens","Ficus organensis (Miq.) Miq.","",,"GBIF"
"","JBRJ","RB","RB01396911","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.","L.C. Pederneiras",,"","1952","","A.Kassner-Filho; D.Santos, G.Bollmann e D.A.Silva",2017,12,4,"Brazil","Santa Catarina","Águas Mornas",,-27.718889,-48.871389,,"Ficus organensis (Miq.) Miq.","",,"GBIF"
"","UEM","HUEM","29882","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.",,,"","s.n.","","Vinicius Maccarini",2016,1,18,"Brazil","Paraná","Maringá","Campus sede da UEM,, atrás do orquidário",-23.403639,-51.938139,"Arbórea; aproximadamente 6m de alt.; sicônios imaturos de coloração verde e maturos de coloração roxa.","Ficus organensis (Miq.) Miq.","",,"GBIF"
"","UNIVILLE","JOI","16903","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.","MANCINELLI, W.S.",2016,"","92","","BILK, K.D.; CRUZ DE LIMA; A.R.; MANCINELLI, W.S.; PAGANI, A.; SCHEGUSCHEWSKY, V.",2016,1,23,"Brazil","Santa Catarina","Joinville","Propriedade Marcos Merkle. Ã?rea de ProteÃ§Ã£o Ambiental da Serra Dona Francisca",-26.143056,-48.980278,"epÃ­fita","Ficus organensis (Miq.) Miq.","",,"GBIF"
"","UEM","HUEM","30251","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.",,,"","s.n.","","Lucas Henrique Xavier",2016,2,22,"Brazil","Paraná","Maringá","Campus UEM, Próximo ao Horto de plantas medicinais",,,"Arbórea","Ficus organensis (Miq.) Miq.","",,"GBIF"
"","Universidade Federal de Juiz de Fora","CESJ","71458","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.","G.P. Sabino",2018,"","4887","","P.H.A. Melo; R.F. Pezzini",2016,3,19,"Brazil","Bahia","Cafarnaum","entre Lapa Cercada e Lapa da Igreja, proximidades do povoado de Cercadinho",-11.738253,-41.455708,"Morro com afloramentos de calcário em vertentes, paredões e grandes blocos abatidos. Caatinga arbóreo-arbustiva e mata ciliar de rio intermitente. Envolto por caatinga alterada, pastagens e áreas agrícolas. Árvore, 10m, terrícola, encosta com paredão cal","Ficus organensis (Miq.) Miq.","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","120236","Ficus organensis","","Moraceae","Ficus","organensis","","(Miq.) Miq.","Guedes, ML",2015,"","23365","","Guedes, ML; Kelmo, F; et al.",2015,2,27,"Brazil","Bahia","Jandaíra","Litoral Norte, Costa Azul, parcela 26. ind. 641.",-11.45,-37.35,"de ca 5 m de altura, látex amarelo. Folhas cartáceas, discolores. Fruto sincônio globoso, jovens.","Ficus organensis (Miq.) Miq.","",,"GBIF"
