"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","JBRJ","RB","RB01162880","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","E.F. Guimarães",2016,"","913","","P. Rosa; C. Baez, T. Lima, D. Maurenza, R. Negrão, L. Moraes, M. Moraes, G. Overney",2016,8,8,"Brazil","Rio de Janeiro","Silva Jardim","Serra de Macaé de Cima, localidade de Macaé de Cima, início da trilha do vale do rio das Flores para a cumeada das velutinas, no pico. No topo. APA Macaé de Cima",-22.438611,-42.504444,"Terrícola, heliófila. Folhas levemente discolores verdes, frutos de base creme e ápice avermelhado. Ca. 10 indivíduos.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","JBRJ","RB","RB01174648","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Marcelo da Costa Souza",,"","19427","","G.Martinelli; M.Moraes, T.Lima, E Lerina",2016,8,11,"Brazil","Rio de Janeiro","Nova Friburgo","Matas de altitude na cumieira da Serra dos Pirineus, na divisa dos Municípios de Nova Friburgo e Silva Jardim. mata atlântica de altitude. APA de Macaé de Cima",-22.438055,-42.525833,"arbusto, 3m, semi-heliófila; folhas verdes, discolores; frutos imaturos verdes, quando maduros vinosos.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","JBRJ","RB","RB01181446","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Marcelo da Costa Souza",,"","701","","C. Baez; Thalis Lima, Patrícia da Rosa, Marta Moraes, Lucas Moraes, Daniel Maurenza, Raquel Negrão, Girso e Rafael",2016,8,8,"Brazil","Rio de Janeiro","Silva Jardim","Rio Bonito de Macaé de Cima. Pico da Velutina (""Velutina´s Ridge""). Entrada pela Reserva Biológica do Matão. APA Macaé de Cima",-22.438611,-42.504444,"Terrícola, heliófila. Pecíolos enegrecidos. Folhas discolores. Frutos vermelhos/púrpuras. Cálice redondo persistente.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","MBML","MBML-HERBARIO","51672","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","M.C. Souza/12-04-2017",,"","19427","","G. Martinelli; M. Moraes, T. Lima & E. Lerina",2016,8,11,"Brazil","Rio de Janeiro","Nova Friburgo","Área de Proteção Ambiental de Macaé de Cima. Matas de altitude na cumieira da Serra dos Pirineus, na divisa dos Municípios de Nova Friburgo e Silva Jardim, mata atlântica de altitude",-22.438056,-42.525833,"Arbusto 3m, semi-heliófila, folhas verdes, discolores, frutos imaturos verdes, quando maduros vinosos","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","Instituto de Botânica","SP","492246","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Souza, MC",2017,"","701","","Baez, C; et al.",2016,8,8,"Brazil","Rio de Janeiro","Silva Jardim","APA de Macaé de Cima, Rio Bonito de Macaé de Cima. Pico da Velutina (Velutina's Ridge). Entrada pela Reserva Biológica do Matão",-22.438611,-42.504444,,"Calyptranthes obovata Kiaersk.","",,"GBIF"
"","UNICAMP","UEC","188970","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Mazine, FF",2015,"","268","","Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD",2015,2,11,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho",-24.0725,-47.983889,"Árvore, 8 m de altura e 5,7 cm de DAP; Floresta Ombrófila Densa","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","13750","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Vieira, R.S.",2015,"","701","","Vieira, R.S.",2015,4,2,"Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire - morro Getúlio",-25.2365,-48.8396,"Árvore com 7,5 m, com fuste avermelhado. Com frutos verdes.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","14389","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Vieira, R.S.",2015,"","788","","Vieira, R.S.",2015,7,6,"Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire - trilha para o morro Cerro Verde",-25.2564,-48.8421,"Árvore de 11 m, em floresta sobre vertente convergente. Com frutos.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","13757","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Ribeiro, C.L.",2015,"","155","","Völtz, R.R.",2014,5,31,"Brazil","Paraná","Tibagi","Parque Estadual do Guartelá",-24.5652,-50.2588,"Arvoreta 5m alt.; flores com pétalas e estames alvos; bosque próximo ao riacho. __COMMOM_NAME__: Guamirim","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","MBM","MBM","407077","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Cordeiro, J",2016,"","s.n.","","Augusto-Silva, M",2013,3,18,"Brazil","Paraná","Tijucas do Sul","APA de Guaratuba, L.T. 230kv Joinville Norte - Curitiba C2 (Resgate)",,,"Arbórea de dossel com 17 m de altura e 56 cm de CAP. Frutos no ápice.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","34844","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Sobral, M",2010,"","5845","","Korte, A.; Kniess, A.",2010,8,19,"Brazil","Santa Catarina","Joinville","Serra Quimada.",-26.100278,-49.049722,"Voucher estéril IFFSC 1065 (Fitossociologia) Habitat: Floresta Ombrófila Densa Alto Montana; Estágio Avançado Habito: arbórea;","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","UNIVILLE","JOI","14030","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.",,,"","2139","","F.C.S. Vieira",2009,4,21,"Brazil","Santa Catarina","Garuva","Serra Quiriri, mata de galeria na captaÃ§Ã£o do rancho SÃ£o Tiago.",,,"; HABITO: arvoreta; TIPO VEGETACIONAL: Floresta OmbrÃ³fila Densa Alto Montana","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","Universidade Federal de Minas Gerais","BHCB","134816","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.",,,"","4454","","Forzza, RC; Ribeiro, RD; Saavedra, MM; Ferreira, FM; Avelar, MG",2007,1,25,"Brazil","Minas Gerais","Lima Duarte",,,,"Frequente. Grande florada. Duplicata 14.; Árvore, 15-18m alt. Flores com cálice verde, corola, gineceu e estames alvos, cheiro docicado.; Mata Grande.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","UEFS","HUEFS","161973","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.",,,"","4454","","Forzza, R.C.",2007,1,25,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca.",,,"Mata grande.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","USP","SPF","196855","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Sobral, M",2010,"","4454","","Forzza, RC",2007,1,25,"Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca",,,,"Calyptranthes obovata Kiaersk.","",,"GBIF"
"","JBRJ","RB","RB00552082","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","Marcos Sobral",2010,"","4454","","R.C. Forzza; R.D. Ribeiro, M.M. Saavedra, F.M. Ferreira & M.G. Avelar",2007,1,25,"Brazil","Minas Gerais","Lima Duarte","Mata Grande. Parque Estadual do Ibitipoca",,,"Árvore, 15-18 metros de altura. Frequente. Grande florada. Flores com cálice verde, corola, gineceu e estames alvos, cheiro adocicado.","Calyptranthes obovata Kiaersk.","",,"GBIF"
"","NY","NY","1039148","Calyptranthes obovata","","Myrtaceae","Calyptranthes","obovata","","Kiaersk.","M. Sobral",2010,"","4454","","R. C. Forzza",2007,1,25,"Brazil","Minas Gerais",,"Parque Estadual do Ibitipoca. Mata Grande",-21.8463417426942,-43.7933073959707,,"Calyptranthes obovata Kiaersk.","",,"GBIF"
