"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","135957","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg",,,"","28","","Lucresia, L; Alunos de Botânica BIOC05",2019,5,17,"Brazil","Bahia","Morro do Chapéu","Cachoeira do Ferro doido",-11.625833,-40.999722,"ca. 2m alt. Folhas discolores. Frutos verdes a vermelhos quando maduros. Crescendo entre pedras.","Calyptranthes rufa O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","123454","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg","Stadnik, A; Melo, JDO; Lucresia, L",2016,"","24454","","Guedes, ML; Velozo, ES; Casaes, M; Araújo, F; Costa, R dos S; Abreu, LS",2016,3,24,"Brazil","Bahia","Morro do Chapéu","Cachoeira do Ferro Doido.",-11.216667,-41.15,"Folhas coriáceas, discolores. Frutos imaturos.","Calyptranthes rufa O.Berg","",,"GBIF"
"","JBRJ","RB","RB01206541","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg","M.SOBRAL",,"","24454","","M.L. Guedes; E. Velloso; M. Casaes; F. Araújo; Costa",2016,3,24,"Brazil","Bahia","Morro do Chapéu","Chapada Diamantina, cachoeira do Ferro Doido.",-11.216667,-41.15,,"Calyptranthes rufa O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","7116","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg","Sobral, M",2014,"","3562","","Aona, LYS; et al.",2014,5,17,"Brazil","Bahia",,"Morro do Chapéu. Cachoeira do Ferro Doido. Campo rupestre.",-11.625278,-40.999444,"Subarbusto, ca. 2m de altura, frutos amarronzados a vináceos.","Calyptranthes rufa O.Berg","",,"GBIF"
"","Comissão Executiva do Plano da Lavoura Cacaueira","CEPEC","145181","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg","A. Stadnik",,"","3562","","L. Y. S. Aona",2014,5,17,"Brazil","Bahia","MORRO DO CHAPÉU","Cachoeira do Ferro Doido.",-11.625278,-40.999444,,"Calyptranthes rufa O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","106540A","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg","Stadnik, A",2013,"","120","","Stadnik, A; et al.",2013,2,22,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Monumento do Ferro Doido, trilha para a Cachoeira",-11.627778,-41.000556,"ca. 3m de alt. Folhas discolores. Botões e pedunculos ferrugíneos. Filetes alvos.","Calyptranthes rufa O.Berg","",,"GBIF"
"","UEFS","HUEFS","194896","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg",,,"","11958","","Melo, E.",2013,3,28,"Brazil","Bahia","Morro de Chapéu","Cachoeira Domingos Lopes.",-11.559167,-40.905556,"Mata ciliar da cachoeira.","Calyptranthes rufa O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","108223","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg","Stadnik, A",2013,"","142","","Stadnik, A; et al.",2013,4,21,"Brazil","Bahia","Morro do Chapéu","Piemonte da Diamantina, Trilha do Ventura para a cidade das pedras",-11.676111,-40.999722,"ca. de 4m de alt. tricomas ferrugineos. Frutos verdes imaturos, roxos maduros.","Calyptranthes rufa O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","104787","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg","Santos, MF",2012,"","54","","Stadnik, A; Vieira, TL; Moura, L",2012,1,12,"Brazil","Bahia","Jacobina","Trilha para a cachoeira do Brito.",,,"ca 7m alt. Folhas discolores. Bractéolas caducas. Indumento ferrugíneo nos ramos, folhas e flores.","Calyptranthes rufa O.Berg","",,"GBIF"
"","Universidade Federal da Bahia","ALCB","121121","Calyptranthes rufa","","Myrtaceae","Calyptranthes","rufa","","O.Berg","Stadnik, A; Melo, JDO; Lucresia, L",2019,"","812","","Santos, MF; Cardoso, JA; Vieira, TL",2012,2,9,"Brazil","Bahia","Morro do Chapéu","Cachoeira do Ferro Doido.",-11.625,-40.999722,"3 m alt. Ramo maduro acinzentado, imaturo levemente vináceo. Pilosidade ocre. Ráquis da inflorescência verde-ocrácea. Botão floral verde-ocráceo a verde. Amostra armazenada em sílica-gel. Material prensado em álcool.; Área campestre,","Calyptranthes rufa O.Berg","",,"GBIF"
