"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFSJ","HUFSJ","10375","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Machado, CC",2017,"","273","","Machado, CC",2017,4,7,"Brazil","Amazonas","Beruri","RDS Piagaçu-Purus, comunidade Cuiuanã.",,,"Árvore inundada com aprox. 17 m, casca viva beje oxidando rapidamente para rosa, alburno amarelo, tronco sem cheiro e sem exsudato.","Calyptranthes spruceana O.Berg","",,"GBIF"
"","JBRJ","RB","RB00865851","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","M.Sobral",2015,"","2027","","R. Goldenberg; P.H. Labiak, R.C. Forzza, A.M. Amorim, L. Freitas, F. Obermüller & R. Barbosa-Silva",2014,4,25,"Brazil","Roraima","Rorainópolis","Boca do Rio Jauaperi.",-1.430833,-61.584444,"Árvore com base submersa; flores com pétalas e estames brancos","Calyptranthes spruceana O.Berg","",,"GBIF"
"","JBRJ","RB","RB00875461","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","M.SOBRAL",,"","296","","L.S.B. Calazans; P.M. Souto, N. Hertkorn, Rui (barqueiro)",2014,4,9,"Brazil","Amazonas","Careiro","Lago Janauacá.",-3.405,-60.246389,"Árvore alagada. Folhas jovens vermelhas, maduras verdes discolores. Botões completamente verdes. Planta com aroma cítrico.","Calyptranthes spruceana O.Berg","",,"GBIF"
"","NY","NY","2422871","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","M. Sobral",2015,"","2028","","R. Goldenberg",2014,4,25,"Brazil","Roraima",,"Boca do Rio Jauaperi",-1.4308,-61.5844,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","235980","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Sobral, M.",2013,"","1874","","Mike Hopkins",2010,8,29,"Brazil","Roraima",,"Reserva Popular Xixuaú-Xiparina, Beira esquerda do Rio Jauaperi, proximidades do Lago Atucurá e Atucurazinho",-1.286462,-61.88,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","6052","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Sobral, M",2013,"","1874","","Araújo, AC; et al.",2010,8,29,"Brazil","Roraima","Rorainópolis","Reserva Popular Xixuaú-Xiparina. Beira esquerda do Rio Jauaperi, proximidade do Lago Atucurá e Atucurazinho.",-1.286389,-61.877222,"Arbusto imerso, 3m de altura, frutos vermelhos, maduros vinho, DNA.","Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","231607","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Luize, B.G.",2009,"","54","","Mike Hopkins",2009,6,29,"Brazil","Amazonas",,"""Divisa de municipio Beruri;RDS Piagaçu-Purus; baixo rio Purus; Floresta de várzea; margem Paranã Ferreira.""",-4.368222,-62.25,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","228472","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Ramos, J.F.",2008,"","A03ES55","","Mike Hopkins",2008,3,18,"Brazil","Amazonas",,"Esperança II da Costa de Santa Rosa. Floresta de igapó.",-3.959444,-63.16,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","228527","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Ramos, J.F.",,"","A08BU50","","Mike Hopkins",2008,8,5,"Brazil","Amazonas",,"""Santa Luzia da Costa do Buiçuzinho; terra firme; latossolo amarelo álico.""",-4.2,-63.71,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","228533","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Ramos, J.F.",,"","A08ES60","","Mike Hopkins",2008,8,8,"Brazil","Amazonas",,"""Esperança II da Costa de Santa Rosa; várzea baixa; gleissolo""",-3.967222,-63.16,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","210370","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Santos, M.F.",2011,"","119","","Mike Hopkins",2001,6,29,"Brazil","Amazonas",,"Parque Nacional do Jaú, Parque Nacional do Jaú. Rio Unini.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","UFSJ","HUFSJ","9614","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Santos, MF dos",2011,"","119","","Mendonça, MJA de",2001,6,29,"Brazil","Amazonas","Novo Airão","Parque Nacional do Jáu, Parque Nacional do Jaú. Rio Unini.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","USP","SPF","141012","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Lourenço, AR",2012,"","318","","Lohmann, LG",1999,7,5,"Brazil","Amazonas",,"Rio Negro",-2.021667,-61.173611,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","MO","MO","3400791","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","M. L. Kawasaki",2006,"","Lohmann 318","","Lúcia G. Lohmann",1999,,,"Brazil","Amazonas",,"Rio Negro, margem esquerda. ""Paraná do Jacaré"", NE das coordenadas. Igapó.",-2.02166,-61.17361,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","US","Botany","3358457","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Holst, Bruce K.",,"","8054","","P. Acevedo-Rodriguez, J. L. Santos & J. Guedes",1996,8,7,"Brazil","Amazonas",,"Amazonas: Lateral channels of Río Negro toward entrance to Río Araca. Boat situated at coordinates.  Collected in a radius of 2 km from boat",-0.7589,-62.9508,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","186663","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Araújo, A.C.",2010,"","2666","","Mike Hopkins",1995,7,5,"Brazil","Amazonas",,"Boca do Jauaperi",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","USP","SPF","107222","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Kawasaki, ML",1997,"","2666","","Oliveira, AA",1995,7,5,"Brazil","Amazonas",,,,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","NY","NY","01418621","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","B. K. Holst",1997,"","2666","","A. A. de Oliveira",1995,7,5,"Brazil","Amazonas",,"Boca do Jauaperi",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","181458","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Araújo, A.C.",2010,"","21752","","Mike Hopkins",1991,7,17,"Brazil","Amazonas",,"Rio Solimões. Lago Janauacá.",-3.466667,-60.28,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","US","Botany","3332111","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,,"","21752","","S. Mori & C. A. Gracie",1991,7,17,"Brazil","Amazonas",,"Rio Solimões. lago Janauacá",-3.47,-60.28,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","NY","NY","01418622","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","M. L. Kawasaki",1992,"","21752","","S. A. Mori",1991,7,17,"Brazil","Amazonas",,"Rio Solimões. Lago Janauacá.",-3.466667,-60.283333,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","170314","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Kawasaki, M.L.",1996,"","20324","","Mike Hopkins",1989,6,2,"Brazil","Amazonas",,"Lago Janauacá.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","NY","NY","01418625","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","M. L. Kawasaki",1990,"","20324","","S. A. Mori",1989,6,2,"Brazil","Amazonas",,"Lago Janauacá",-3.4,-60.35,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","114214","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","""Coêlho, D.F.; Ramos, J.F.""",1984,"","INPA114214","","Mike Hopkins",1984,2,3,"Brazil","Amazonas",,"Rio Negro, Boca do Janauari.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","NY","NY","01478101","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","B. K. Holst",2010,"","949","","L. O. A. Teixeira",1982,6,5,"Brazil","Amazonas",,"Estrada Humaitá-Lábrea, km 63.",-7.4917,-63.5633,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","80424","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Rodrigues, W.A.",1979,"","INPA80424","","Mike Hopkins",1978,12,8,"Brazil","Amazonas",,"Rio Aruaú, afluente do Rio Negro, margem direita (subindo o Rio Negro.)",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","58053","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Silva, M. da",1976,"","INPA58053","","Mike Hopkins",1976,4,20,"Brazil","Amazonas",,"Lago do Coari, Projeto RADAM/BRASIL, SB-20  VB, ponto 12A.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","MPEG","HERBMG","MG057391","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,,"",,"","Mello,  F.; Mota,  G.",1976,4,20,"Brazil","Amazonas",,"Amazonas",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","38873A","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Santos, M.F.",2011,"","INPA38873A","","Mike Hopkins",1973,6,14,"Brazil","Amazonas",,"Rosa Branca. No igapó.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","36001","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Silva, M.F. da",1973,"","INPA36001","","Mike Hopkins",1972,6,7,"Brazil","Amazonas",,"Lago do Castanho",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","UFRGS","ICN","063009","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,,"","s.n.","","Honda, M; Mello, F",1972,6,7,"Brazil","Am","Janauacá","lago do Castanho",,,"Doação do Instituto Nacional de Pesquisas da Amazônia; Arvore de 8 m de altura x 35 cm de diâmetro, frutos verdes, madeira dura, pesada, castanha, casca média, persistente","Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","27411","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Silva, M. da",1971,"","159","","Mike Hopkins",1969,7,5,"Brazil","Amazonas",,"Rio Solimões, lago do Janauacá, Italiano furo do Pedrinho.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","UNICAMP","UEC","33217","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Freitas, MF",1971,"","159","","Byron, JL",1969,7,5,"Brazil","Amazonas","Lago do Janauacá","Rio Solimões, Italiano, furo do Pedrinho; igapó.",,,"Árvore de 12m de alt. x 20cm diâmetro; flores alvas cálice envolvendo corola em forma de urna; madeira.","Calyptranthes spruceana O.Berg","",,"GBIF"
"",,"Botany","U.1441205","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,,"",,"","Byron",1969,7,5,"Brazil",,,"Amazonas. Rio Solimoes, lago do Janauaca, Italiano, furo do fedrinho; Igapo.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","80424","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,,"","INPA80424","","Mike Hopkins",1968,12,8,"Brazil","Amazonas",,"Rio Ariaú, afluente do rio Negro, margem direita (subindo o rio Negro.)",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","MPEG","HERBMG","MG032703","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,,"",,"","Silva, M.G. da",1967,4,13,"Brazil","Amazonas",,"Amazonas",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","MPEG","HERBMG","MG032715","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,,"",,"","Silva, M.G. da",1967,4,14,"Brazil","Amazonas",,"Amazonas",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","NY","NY","01418624","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","L. R. Landrum",1980,"","867","","M. G. da Silva",1967,4,14,"Brazil","Amazonas",,"Paraná da Eva, rio Preto da Eva.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","NY","NY","01418623","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","B. K. Holst",1988,"","855","","M. G. da Silva",1967,4,13,"Brazil","Amazonas",,"Paraná da Eva, Rio Preto da Eva",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","17168","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Legrand, C.M.D.E.",1968,"","19","","Mike Hopkins",1966,5,12,"Brazil","Amazonas",,"Margem do lago do Arapari, Paraná do Autaz-Mirin.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","73058","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Legrand, C.M.D.E.",1968,"","19","","Mike Hopkins",1966,5,12,"Brazil","Amazonas",,"Margem do lago do Arapari, Paraná do Autaz-Mirin.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","73057","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Legrand, C.M.D.E.",1968,"","19","","Mike Hopkins",1966,5,12,"Brazil","Amazonas",,"Margem do lago do Arapari, Paraná do Autaz-Mirin.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","14816","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Legrand, C.M.D.E.",1968,"","5872","","Mike Hopkins",1964,6,2,"Brazil","Amazonas",,"Das 3 bôcas., Das 3 bôcas",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","121735","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Silva, M.F. da",1966,"","INPA121735","","Mike Hopkins",1962,5,6,"Brazil","Amazonas",,"Cambixe, lago do Inemazinho.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","12735","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,1966,"","INPA12735","","Mike Hopkins",1962,5,6,,,,,,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","7255","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Legrand, C.M.D.E.",1963,"","INPA7255","","Mike Hopkins",1959,4,3,"Brazil","Amazonas",,"Rio Cuiciras, afluente do baixo rio Negro.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","NHMUK","BOT","BM001011012","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg","Ana Cláudia Araújo",,"","1551","","Richard Spruce",1851,5,,"Brazil",,,,-10.773109,-53.08982,,"Calyptranthes spruceana O.Berg","",,"GBIF"
"","UEFS","HUEFS","87734","Calyptranthes spruceana","","Myrtaceae","Calyptranthes","spruceana","","O.Berg",,,"","1537","","Spruce, R.",1851,5,,"Brazil","Pará","Rio Negro","Ad oram meridionalem Rio Negro, usque ad concursum flam. Solimoes.",,,,"Calyptranthes spruceana O.Berg","",,"GBIF"
