"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFSJ","HUFSJ","6024","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.","Sobral, M",2014,"","15669","","Sobral, M",2014,1,8,"Brazil","Minas Gerais","Ouro Preto","Itatiaia",-20.499028,-43.621528,"Árvore 5 m, em interior de mata junto à MG-129; casca rugosa; flores fecundadas; cálices creme.","Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","MNHN","P","P00848668","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.",,,"",,"","Vasconcelos, T.N.C.|Faria, J.E.Q.",2014,11,2,"Brazil","Minas Gerais",,,-19.83917,-43.32278,,"Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","JBRJ","RB","RB01018454","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.",,,"","472","","T.N.C. Vasconcelos; J.E.Q. Faria",2014,11,2,"Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Estrada entre Monlevade e São Gonçalo do Rio Abaixo.",-19.839167,-43.322778,,"Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","NY","NY","02703879","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.",,,"","472","","T. N. da C. Vasconcelos",2014,11,2,"Brazil","Minas Gerais",,"Estrada entre Monlevade e São Gonçalo do Rio Abaixo",-19.8392,-43.3228,,"Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","UFSJ","HUFSJ","5949","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.","Sobral, M",2013,"","15594","","Sobral, M",2013,12,28,"Brazil","Minas Gerais","Barbacena","Pinheiro",-21.190722,-43.709278,"Árvore 3-4 m, em resto de mata junto à BR-265; casca rugosa; flores fenecidas; frutos imaturos.","Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","JBRJ","RB","RB00859955","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.","M. Sobral",2013,"","15594","","M. Sobral",2013,12,28,"Brazil","Minas Gerais","Barbacena","Pinheiro Grosso.",-21.190833,-43.709167,"Árvore 3-4, em resto de mata junto à BR-265; casca rugosa; flores fenecidas; frutos imaturos","Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","Instituto de Botânica","SP","488223","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.","Sobral, M",2013,"","15594","","Sobral, M",2013,12,28,"Brazil","Minas Gerais","Barbacena","Pinheiro Grosso",-21.190833,-43.709167,,"Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","UFSJ","HUFSJ","6695","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.",,,"","3128","","Faria, JEQ",2012,12,3,"Brazil","Minas Gerais",,"Margem da BR-381 entre João Monlevade e São Gonçalo do Rio Abaixo",,,"Árvore ca. 5 m de altura, caule soltando placas de ritidoma, botão floral verde","Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","UnB","UB","199185","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.","Faria, JEQ",2012,"","3128","","Faria, JEQ",2012,12,3,"Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Margem da BR-381 entre João Monlevade e São Gonçalo do Rio Abaixo",,,"Árvore ca. 5 m de altura, caule soltando placas de ritidoma, botão floral verde; Floresta ombrófila perturbada","Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","JBRJ","RB","RB00871377","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.","J.E.Q. Faria",,"","3128","","J.E.Q. Faria",2012,12,3,"Brazil","Minas Gerais","São Gonçalo do Rio Abaixo","Margem da BR-381 entre João Monlevade e São Gonçalo do Rio Abaixo.",,,"Árvore ca. 5m de alt, caule soltando placas de ritidoma, botão floral verde.","Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","UEFS","HUEFS","162626","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.",,,"","467","","Souza, M.C.",2006,10,27,"Brazil","São Paulo","Cunha","Estrada para Pedra da Marcela.",,,,"Campomanesia simulans M.L.Kawas.","",,"GBIF"
"","UnB","UB","169110","Campomanesia simulans","","Myrtaceae","Campomanesia","simulans","","M.L.Kawas.",,,"","467","","Souza, MC; Sobral, M; Salgueiro, F",2006,10,27,"Brazil","São Paulo","Cunha","Estrada para Pedra da Marcela.",-23.07,-44.96,"Arbusto de 3 metros de altura com flores.","Campomanesia simulans M.L.Kawas.","",,"GBIF"
