"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal do Paraná, UFPR","EFC","17976","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","Serejo, S.V.",2019,"","2012","","Völtz, R.R.; Serejo, S.V.",2019,2,5,"Brazil","Paraná","São Mateus do Sul","Faxinal dos Ilhéus",-25.8008,-50.3967,"Árvore 6 m alt.; ritidoma fissurado, levemente escamoso, acinzentado; em bizel, casca morta marrom-claro, em anéis, casca interna amarelo-alaranjado; flores alvas; interior de Floresta Ombrófila Mista parqueada.","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","17939","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","DALL AGNOL, R. T.",2019,"","912","","DALL AGNOL, R. T.",2019,2,11,"Brazil","Paraná","Curitiba","R. Des. José Carlos Ribeiro Ribas, 303.",-25.382797,-49.282108,"Árvore, 9 m; pequenos racemos axilares, 1-3 flores; botões alvos, cálice esverdeado, corola alva, frutos imaturos esverdeados. __COMMOM_NAME__: murta","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","17941","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","DALL AGNOL, R. T.",2019,"","914","","DALL AGNOL, R. T.",2019,2,13,"Brazil","Paraná","Campo Magro","Estrada Campo Novo, 7822.",-25.347283,-49.393214,"Árvore, 10 m; pequenos racemos axilares, 1-3 flores; cálice esverdeado, corola alva, frutos imaturos esverdeados. __COMMOM_NAME__: murta","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","64667","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","Kassner-Filho, A.",2019,"","5300","","Kassner-Filho, A.; Santos, D; Uller, H.F.;Schneiders, A.",2019,8,12,"Brazil","Santa Catarina","Canoinhas",,-26.190555,-50.491111,"Fruto imaturo Habitat: Interior de unidade amostral;Estágio de regeneração médio/árvores espaçadas;Floresta Ombrófila Mista Habito: Arbórea","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","Universidade Estadual do Centro-Oeste","HUCO","7456","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum",,2018,"","s.n.","","Mazon, J. .A.",2018,4,7,"Brazil","Paraná","Rebouças","Faxinal marmeleiro de baixo",,,"Coordenadas 25°37' 15'' e 50°49' 34''; Arbórea; Floresta Ombrófila Mista; HABITAT: Floresta Ombrófila Mista; DESC: Arbórea","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","16070","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","Dall Agnol, R.T.; Blum, C.T.",2017,"",,"","Dall Agnol, R.T.",2017,11,18,"Brazil","Paraná","Curitiba","Av. Des. José Carlos Ribeiro Ribas, nº 303 Bairro: Pilarzinho",-25.3836,-49.2821,"Árvore 9m, botões florais, casca externa fissurada com desprendimento em placas. Floresta Ombrófila Mista","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","Universidade Tecnológica Federal do Paraná","HCF","23677","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","J.M. Silva",2017,"","9223","","J.M. Silva",2016,2,14,"Brazil","Pr","Castro","PCH do Rio Iapó, Fazenda Marumbi",-24.737222,-50.12,"arbusto com 3 m de altura. Floresta Ombrófila Mista.","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","MBM","MBM","408773","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","Silva, JM",2017,"","9223","","Silva, JM",2016,2,14,"Brazil","Paraná","Castro","PCH Rio Iapó, Fazenda Marumbi",-24.737222,-50.12,"Arbusto com 3 m de altura; flor alva.; Floresta Ombrófila Mista.","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","46748","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","Oliveira, AA de",2015,"","1375","","Oliveira, A.A. de",2015,3,25,"Brazil","Santa Catarina","Papanduva",,-26.28,-50.22,"Florística Entorno IFFSC 1013, entre o P.A. e a subunidade O","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
"","Universidade Federal do Paraná, UFPR","EFC","13821","Curitiba prismatica","","Myrtaceae","Curitiba","prismatica","","(D.Legrand) Salywon & Landrum","Ribeiro, C.L.",2015,"","180","","Ribeiro, C.L.",2015,4,3,"Brazil","Paraná","Fernandes Pinheiro",,-25.5461,-50.4755,"Arvoreta de subbosque comum na porção","Curitiba prismatica (D.Legrand) Salywon & Landrum","",,"GBIF"
