"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Jardim Botânico de Brasília","HEPH","35304","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.","Faria, JEQ",2018,"","8985","","Faria, JEQ",2018,10,19,"Brazil","Goiás","Cocalzinho de Goiás","Margem da rodovia indo de Cocalzinho de Goiás para Niquelândia",-15.3955,-48.4109,"Árvore ca. 4 m de altura, botões florais verdes acinzentados. (Coletado material em sílica gel); Mata seca semidecídua","Eugenia acutata Miq.","",,"GBIF"
"","JBRJ","RB","RB01184776","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.","S. Monteiro",2016,"","s/n","","S. Monteiro",2016,10,10,"Brazil","Rio de Janeiro","Rio de Janeiro","Canteiro 8B, JBRJ  Tombo: 1979  Jardim Botânico do Rio de Janeiro",,,"Árvore 12 metros, DAP 22,6 cm, folhas discolores esverdeadas, flor branca","Eugenia acutata Miq.","",,"GBIF"
"","UEFS","HUEFS","227435","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.",,,"","1460","","Giaretta, A.",2015,1,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro. Canteiro 8B, indivíduo 1979.",,,,"Eugenia acutata Miq.","",,"GBIF"
"","JBRJ","RB","RB01338361","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.","A. Giaretta",,"","1460","","A. Giaretta; C.N. Fraga",2015,1,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro. Canteiro 8B, indivíduo 1979",,,,"Eugenia acutata Miq.","",,"GBIF"
"","USP","SPF","223494","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.","Giaretta, A",2016,"","1460","","Giaretta, A",2015,1,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro, Canteiro 8B, indivíduo 1979.",,,"Árvore ca. 8 m alt. Flores alvas e frutos verdes. Odor adocicado. Tronco com ritidoma em placas finas. Cultivada no arboreto. Amostra em sílica.","Eugenia acutata Miq.","",,"GBIF"
"","MO","MO","100962407","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.","A. Giaretta",2016,"","Giaretta 1460","","A. Giaretta|C.N. Fraga",2015,1,26,"Brazil","Rio de Janeiro",,"Jardim Botânico do Rio de Janeiro. Canteiro 8B, individuo 1979.",,,,"Eugenia acutata Miq.","",,"GBIF"
"","Instituto de Botânica","SP","490265","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.","Giaretta, A",2016,"","1460","","Giaretta, A; Fraga, CN",2015,1,26,"Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro. Canteiro 8B",,,,"Eugenia acutata Miq.","",,"GBIF"
"","FZB-BH","BHZB","11369","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.",,,"","5118","","Rezende, S.G.",2015,7,29,"Brazil","Mg","Mariana","Região do distrito de Camargos",,,"Com duplicata","Eugenia acutata Miq.","",,"GBIF"
"","UnB","UB","204164","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.","Faria, JEQ",2014,"","3949","","Faria, JEQ",2014,3,17,"Brazil","Goiás","Padre Bernardo","Margem da BR - 414 entre Dois Irmãos e Cocalzinho",-15.3955,-48.412,"Arvoreta 3m. Fruto imaturo verde; Mata mesofítica","Eugenia acutata Miq.","",,"GBIF"
"","JBRJ","RB","RB00949403","Eugenia acutata","","Myrtaceae","Eugenia","acutata","","Miq.","J.E.Q. Faria",2014,"","3949","","J.E.Q. Faria",2014,3,17,"Brazil","Goiás","Padre Bernardo","Margem da BR - 414 entre Dois Irmãos e Cocalzinho. Mata mesofitica.",-15.383333,-48.4,"Arvoreta 3 m fruto imaturo verde","Eugenia acutata Miq.","",,"GBIF"
