"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UFSCar","SORO","7089","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","K. S. Valdemarin",2018,"","1224","","Mazine, F.F.; Flores, T.B.; Almeida, N.B.C.; Valdemarin, K.S.",2015,8,12,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale - Aceiro na Estrada do MME.",,,"Árvore ca. 3m, flores passadas esverdeadas. Amostras coletadas em sílica. Mata de Tabuleiro. Prensado em álcool.","Eugenia arenaria Cambess.","",,"GBIF"
"","JBRJ","RB","RB01206901","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","M. Souza",2016,"","347","","Gauí, T. D.",2015,9,24,"Brazil","Rio de Janeiro","Arraial do Cabo","Conglomerado 357-1-10-10-R. UTM do ponto Central.: E (198830m) N (7453894m). Fuso do GPS (24K)",,,"Arbusto, com 3 m de altura. Base reta. Casca interna branca e externa marrom, fina, lisa. Flor branca.   Nome Vulgar: Piuna-rosa","Eugenia arenaria Cambess.","",,"GBIF"
"","JBRJ","RB","RB01112273","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","Souza, M.C.",2016,"",,"","Rodrigues, P.J.F.P.; Lima, M.S.C.",2011,2,22,"Brazil","Rio de Janeiro","Miguel Pereira","REBIO  Tinguá.  Orbel  I,  Módulo  PPBio  Mata  Atlântica.  Local  Interior  1.  Parcela  4,  subparcela  4E.  Nº  indivíduo  X1951.  Levantamento  Fitossociológico.  Material  estéril.",-22.571111,-43.478611,"Arvoreta com DAP 0.9 cm, em 2011, e 2.5 m de altura.","Eugenia arenaria Cambess.","",,"GBIF"
"","MBML","MBML-HERBARIO","45298","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","A. Giaretta/20-09-2017",,"","12342","","L. Kollmann; A.P. Fontana & K. Brahim",2011,10,6,"Brazil","Rio de Janeiro","Macaé","Terminal da Petrobras de Cabiúnas",-22.286389,-41.730556,"Arvoreto 4m, flores brancas","Eugenia arenaria Cambess.","",,"GBIF"
"","Reserva Natural Vale","CVRD","10700","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","Karinne S. Valdemarim",2019,"","5849","","Folli, D.A.",2008,2,6,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Batinga beija","Eugenia arenaria Cambess.","",,"GBIF"
"","UFES","VIES","41459","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","Giaretta, A.",2017,"","7589","","Pereira, O.J.; Menezes, L.F.T.; Giaretta, A.O.; Martins, R.F.A.",2008,3,6,"Brazil","Espírito Santo","São Mateus","Bairro Liberdade. Restinga, floresta seca.",,,,"Eugenia arenaria Cambess.","",,"GBIF"
"","Reserva Natural Vale","CVRD","11189","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","Karinne S. Valdemarim",2019,"","6011","","Folli, D.A.",2008,5,5,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Batinga beija","Eugenia arenaria Cambess.","",,"GBIF"
"","Reserva Natural Vale","CVRD","12000","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","Karinne S. Valdemarim",2019,"","6216","","Folli, D.A.",2008,10,20,"Brazil","Es","LINHARES",,,,"<ll>dwc_commonname:</ll> Batinga beija","Eugenia arenaria Cambess.","",,"GBIF"
"","JBRJ","RB","RB00492711","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","M. C. Souza",2011,"","4660","","C.Farney",2007,3,30,"Brazil","Rio de Janeiro","Cabo Frio","Restinga arbustiva próxima ao Aeroporto.",,,"Arbusto; 2 m; folhas verdes discolores, flores em botões alvas.","Eugenia arenaria Cambess.","",,"GBIF"
"","NY","NY","1522499","Eugenia arenaria","","Myrtaceae","Eugenia","arenaria","","Cambess.","M. C. Souza",2011,"","4660","","C. Farney",2007,3,30,"Brazil","Rio de Janeiro",,"Restinga arbustiva próxima ao Aeroporto.",-22.8832603957263,-42.0186864083892,,"Eugenia arenaria Cambess.","",,"GBIF"
