"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","IAP","PACA-AGP","117905","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand","Schneider, P.H.",,"",,"","Schneider, P.H.",2015,5,15,"Brazil","Rs","Santo Antônio da Patrulha","Alto Sinos",-29.711017,-50.685017,"Hábito: terrícola","Eugenia bacopari D.Legrand","",,"GBIF"
"","IAP","PACA-AGP","117907","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand","Schneider, P.H.",,"",,"","Schneider, P.H.",2015,5,15,"Brazil","Rs","Santo Antônio da Patrulha","Alto Sinos",-29.711017,-50.685017,"Hábito: terrícola","Eugenia bacopari D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","49126","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand","Oliveira, AA de",2015,"","2753","","Oliveira, A.A. de",2015,11,19,"Brazil","Santa Catarina","Nova Veneza","São Bonifácio.",-28.708056,-49.588611,,"Eugenia bacopari D.Legrand","",,"GBIF"
"","UFRB","HURB","6207","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand",,,"","3001","","Mazine, F.F.",2013,3,10,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica, trilha do Pico do Urubu;",-13.593056,-39.716667,,"Eugenia bacopari D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00789728","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand",,,"","3001","","F.F. Mazine",2013,3,10,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica, trilha do pico do Urubu.",-13.593055,-39.716667,"Arvoreta, frutos verdes","Eugenia bacopari D.Legrand","",,"GBIF"
"","JBRJ","RB","RB00790341","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand",,,"","3001","","Mazine, F.F",2013,3,10,"Brazil","Bahia","Wenceslau Guimarães","Estação Ecológica, trilha do pico do Urubu. Floresta ombrofila densa ( mata atlantica).",,,"Arvoreta, frutos verdes.","Eugenia bacopari D.Legrand","",,"GBIF"
"","UFSCar","SORO","4432","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand",,,"","3001","",,2013,3,10,"Brazil","Bahia","Wenceslau Guimarães.","Estação Ecológica, trilha do pico do Urubu. Floresta Ombrófila Densa",-13.593056,-39.716667,"Arvoreta, frutos verdes.","Eugenia bacopari D.Legrand","",,"GBIF"
"","UFRGS","ICN","167412","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand","Mondin, CA",2011,"","s.n.","","Mondin, CA; Cruz, F; Zolet, ACT",2011,1,28,"Brazil","Rs","Lagoa de Itapeva",,,,,"Eugenia bacopari D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","36488","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand","Sobral, M",2011,"","387","","Avi, R.C.",2011,2,8,"Brazil","Santa Catarina","Sombrio","Morro dos Macacos.",,,,"Eugenia bacopari D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","22487","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand","Stival-Santos, A",2010,"","1940","","Stival-Santos, A.; Legal, E. & Silveira, S.",2010,3,10,"Brazil","Santa Catarina","Florianópolis","Parque Municipal Lagoa do Peri.",-27.7175,-48.5275,"Florística IFFSC 8003 (Arvoreta) Habitat: Floresta Ombrófila Densa Submontana; Estágio Avançado; entorno do fragmento Habito: arvoreta; Fruto verde;","Eugenia bacopari D.Legrand","",,"GBIF"
"","UFRB","HURB","5318","Eugenia bacopari","","Myrtaceae","Eugenia","bacopari","","D.Legrand","A. Stival-Santos",2010,"","1940","","Stival-Santos, A.; et al.",2010,3,10,"Brazil","Santa Catarina","Florianópolis","Parque Municipal Lagoa do Peri; entorno do fragmento",-27.7175,-48.5275,,"Eugenia bacopari D.Legrand","",,"GBIF"
