"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","Universidade Federal da Bahia","ALCB","134676","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Stadnik, A",2018,"","522","","Stadnik, A; Lucresia, L",2018,1,26,"Brazil","Bahia","Mucugê","Serra do Sincorá (Px)",,,"ca. 50cm. Folhas discolores. Inflorescência castanha, cálice castanho, corola e estames alvos.","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","45478","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Oliveira, AA de",2015,"","883","","Oliveira, A.A. de",2015,1,19,"Brazil","Santa Catarina","Morro Grande","Três Barras.",-28.71,-49.77,"Fito IFFSC 37 /N/29","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","UnB","UB","191295","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Faria, JEQ",2012,"","2531","","Faria, JEQ; Staggemeier, VG",2012,3,31,"Brazil","Espírito Santo","Linhares","Resereva Natural da Vale do Rio Doce, estrada da Mantegueira",-19.145833,-40.064444,"Árvore ca. 15m de altura, caule gretado, esbranquiçado, estéril; Mata de Tabuleiro","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","UnB","UB","191294","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Faria, JEQ",2012,"","2530","","Faria, JEQ; Staggemeier, VG",2012,3,31,"Brazil","Espírito Santo","Linhares","Resereva Natural da Vale do Rio Doce, ao lado do viveiro de vasos ornamentais",-19.136667,-40.058333,"Árvore ca. 10 m de altura, caule gretado, esbranquiçado, estéril; Mata de Tabuleiro","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","IMA","MAC","62198","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","E.C.O.Chagas",2012,"","11605","","M.C.S.Mota; E.C.O.Chagas; C.B.A.Leite",2012,6,21,"Brazil","Alagoas","Coruripe","Usina Coruripe, Fazenda Capiatã.",-10.225833,-36.285278,"Árvore ca. 5 m de alt. Fruto marrom.; Mata Atlântica.","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"",,,,"Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"",,,,"Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"",,,,"Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","Museu de Ciências Naturais - Fundação Zoobotânica do Rio Grande do Sul","HAS","48904","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Grings, M.",,"","1689","","Grings, M.",2012,9,,"Brazil","Santa Catarina","Itaporà","Reserva Vila Velha",,,"Na beira de floresta ombrófila densa de terras baixas, árvore de 11m, flores brancas","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","UFRGS","ICN","192377","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Molz, M",,"","s.n.","","Molz, M; Seger, G",2012,9,1,"Brazil","Rs","Morrinhos do Sul","Vila Três Passos, Rio do Mangue",-29.309722,-49.955278,"Tronco rugoso, flores alvas e 9m de altura","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","UFRGS","ICN","182423","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand",,,"","s.n.","","Molz, M",2012,10,6,"Brazil","Rs","Morrinhos do Sul",,-29.320278,-49.923889,"Árvore 9 m de alt., tronco bege, frutos imaturos","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","IMA","MAC","51043","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","E.C.O.Chagas",2011,"","10075","","Chagas-Mota",2011,1,20,"Brazil","Alagoas","Coruripe","Usina Coruripe, Fazenda Capiatã.",-10.225833,-36.285278,"Árvore ca. 4,5 m de altura. Botões cremes. Frutos verdes.; Mata Atlântica.","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","UFRGS","ICN","167435","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Faria, JEQ",2014,"","s.n.","","Nilson, AD",2011,2,10,"Brazil","Rs","Morrinhos do Sul",,,,,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","USP","SPF","205732","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Mazine, FF; Valdemarin, KS",2018,"","954","","Perdiz, RO",2011,9,12,"Brazil","Bahia","Arataca","Parque Nacional da Serra das Lontras",-15.204167,-39.381389,,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","UFRGS","ICN","173298","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Grings, M",2012,"","1540","","Grings, M",2011,12,21,"Brazil","Sc","Itapoá","Reserva Volta Velha, atrás dos alojamentos",,,"árvore de 12 m de alt.; em frutificação, em geral frutos já passados, mas um fruto amarelo-alaranjado; em borda de mata atlântica de terras baixas","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","IMA","MAC","48214","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","E.C.O.Chagas",2010,"","7760","","Chagas-Mota; A.M.T.Bastos",2010,5,14,"Brazil","Alagoas","Viçosa","Fazenda Mata Verde.",-9.620556,-36.402222,"Árvore ca. 5 m de altura. Flores cremes.; Mata Atlântica.","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","19191","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Faria-Júnior, JEQ",2015,"","823","","Stival-Santos, A.; Legal, E. & Silveira, S.",2009,9,14,"Brazil","Santa Catarina","Navegantes","Leiteiro.",-26.8225,-48.778611,"Florística IFFSC 753 (Arbórea) Habitat: Floresta Ombrófila Densa; entorno do fragmento, beira de estrada Habito: arbórea; Fruto verde e pilosos;","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","17386","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Faria-Júnior, JEQ",2015,"",,"","Volkmann, A.",2009,10,28,"Brazil","Santa Catarina","Gaspar",,-27.011111,-48.949722,,"Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","19212","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Faria-Júnior, JEQ",2015,"","2782","","Verdi, M.; Klettenberg, D.H. & Klemz, G.",2009,10,17,"Brazil","Santa Catarina","Timbé do Sul","Vila Belmiro.",-28.8,-49.86,"Fito IFFSC 28 /L/14 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea; flor branca","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","36430","Eugenia beaurepairiana","","Myrtaceae","Eugenia","beaurepairiana","","(Kiaersk.) D.Legrand","Sobral, M",2011,"","3370","","Verdi, M.; Klettenberg, D.H. & Klemz, G.",2009,10,13,"Brazil","Santa Catarina","Jacinto Machado","Morro São Cristovão.",-28.89,-49.86,"Voucher estéril IFFSC 21 (Regeneração) LR/158 Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração Habito: arbustiva;","Eugenia beaurepairiana (Kiaersk.) D.Legrand","",,"GBIF"
