"modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLatitude","decimalLongitude","occurrenceRemarks","acceptedNameUsage","occurrenceID","comments","bibliographicCitation"
"","UNIVILLE","JOI","18076","Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg","Vieira, F.C.S.",2019,"","2516","","Vieira, F.C.S.",2019,1,25,"Brazil","Santa Catarina","Joinville","Morro do Finder.",,,"Flor Branca","Eugenia capitulifera O.Berg","",,"GBIF"
"","JBRJ","RB","RB01382408","Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg","M. Sobral",,"","1429","","C. Baez; E. Fernandez, R. Gomes, D. Maurenza",2018,2,2,"Brazil","Rio de Janeiro","Valença","Cumeeira acessada por um pasto próximoa Estrada Parque que liga o PESC e o PNM Açude da Concórdia . Parque Estadual da Serra da Concórdia",-22.353611,-43.7325,"Árvore matriz nº 64; CAP 52 cm; casca foliácea de coloração alvacenta. Corte amarelado. Flores alvas.","Eugenia capitulifera O.Berg","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","60451","Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg","Kassner-Filho, A.",2018,"","3354","","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Althoff, L.F.",2018,8,31,"Brazil","Santa Catarina","São Francisco do Sul","Vila da Glória.",-26.19,-48.69,"fruto imaturo Habitat: interior da unidade amostral Habito: árvore","Eugenia capitulifera O.Berg","",,"GBIF"
"","JBRJ","RB","RB01400315","Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg","A.Kassner-Filho",2018,"","3354","","A.Kassner-Filho; D.Santos, G.Bollmann e L.F.Althoff",2018,8,31,"Brazil","Santa Catarina","São Francisco do Sul","Vila da Glória.",-26.19,-48.69,"Árvore com fruto imaturo.   IFFSC - 2/Fito/1052/S/7.","Eugenia capitulifera O.Berg","",,"GBIF"
"","UNIVILLE","JOI","18119","Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg","Vieira, F.C.S.",2019,"","2918","","Vieira, F.C.S.",2018,12,7,"Brazil","Santa Catarina","Joinville","Morro do Finder.",,,"BotÃ£o","Eugenia capitulifera O.Berg","",,"GBIF"
"","UNICAMP","UEC","189003","Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg","Mazine, FF",2015,"","291","","Silva, BG; Castello, ACD; Kataoka, EY; Vidal Junior, JD",2015,2,12,"Brazil","São Paulo","São Miguel Arcanjo","Parque Estadual Carlos Botelho",-24.064722,-47.986667,"Árvore, 22 m de altura e 1,91 cm de DAP; Floresta Ombrófila Densa","Eugenia capitulifera O.Berg","",,"GBIF"
"",,,,"Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Eugenia capitulifera O.Berg","",,"GBIF"
"",,,,"Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg",,,"",,"","R.A.F. Lima",2012,6,1,"Brazil",,,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",-24.18,-47.92,,"Eugenia capitulifera O.Berg","",,"GBIF"
"","Universidade Regional de Blumenau, FURB","FURB","32164","Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg","Sobral, M",2010,"","4121","","Korte, A.; Kniess, A.",2010,8,18,"Brazil","Santa Catarina","Joinville","Barragem do 8º Salto - Serra do Piraí.",-26.280278,-49.050556,"Fito IFFSC 1026 /N/29 Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea; Fruto verde;","Eugenia capitulifera O.Berg","",,"GBIF"
"","MBM","MBM","345116","Eugenia capitulifera","","Myrtaceae","Eugenia","capitulifera","","O.Berg","Ribas, OS",2008,"","7861","","Ribas, OS",2007,7,19,"Brazil","Paraná","Doutor Ulysses","Mata da Porda, Varzeão",,,"Árvore, 5m, fruto imaturo. Floresta Ombrófila Densa.","Eugenia capitulifera O.Berg","",,"GBIF"
